"common_name"	"family"	"order"	"scientific_name"	"status"	"taxon_id"	long_list	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
"milkfish"	"Chanidae"	"Gonorynchiformes"	"Chanos chanos"	"8-NCBI"	"29144"	VGP	VGP	VGP	VGP	VGP	VGP	
"New Caledonian crow"	"Corvidae"	"Passeriformes"	"Corvus moneduloides"	"8-NCBI"	"1196302"	VGP	VGP	VGP	VGP	VGP	VGP	
"peregrine falcon"	"Falconidae"	"Falconiformes"	"Falco peregrinus"	"7-asm_curated"	"8954"	VGP	VGP	VGP	VGP			
"budgerigar"	"Psittaculidae"	"Psittaciformes"	"Melopsittacus undulatus"	"8-NCBI"	"13146"	VGP	VGP	VGP	VGP	VGP	VGP	
"Kakapo"	"Psittacidae"	"Psittaciformes"	"Strigops habroptilus"	"8-NCBI"	"57251"	VGP	VGP	VGP	VGP	VGP	VGP	
"longfin smelt"	"Osmeridae"	"Osmeriformes"	"Spirinchus thaleichthys"	"3-data_done"	"260508"	VGP	VGP	VGP	VGP			
"greater horseshoe bat"	"Rhinolophidae"	"Chiroptera"	"Rhinolophus ferrumequinum"	"8-NCBI"	"59479"	VGP	VGP	VGP	VGP	VGP	VGP	
"lesser salmon catfish"	"Ariidae"	"Siluriformes"	"Neoarius graeffei"	"4-asm_progress"	"443677"	VGP	VGP	VGP	VGP			
"European turtle dove"	"Columbidae"	"Columbiformes"	"Streptopelia turtur"	"8-NCBI"	"177155"	VGP	VGP	VGP	VGP	VGP	VGP	
"Fleay's barred frog"	"Myobatrachidae"	"Anura"	"Mixophyes fleayi"	"2-data_progress"	"000000"	VGP	VGP	VGP	VGP			
"American shad"	"Clupeidae"	"Clupeiformes"	"Alosa sapidissima"	"8-NCBI"	"34773"	VGP	VGP	VGP	VGP	VGP	VGP	
"pig-tailed macaque"	"Cercopithecidae"	"Primates"	"Macaca nemestrina"	"0-data_queued"	"9545"	VGP	VGP	VGP				
"European pond turtle"	"Emydidae"	"Testudines"	"Emys orbicularis"	"4-asm_progress"	"82168"	VGP	VGP	VGP	VGP			
"Common starling"	"Sturnidae"	"Passeriformes"	"Sturnus vulgaris"	"2-data_progress"	"9172"	VGP	VGP	VGP	VGP			
"channel bull blenny"	"Bovichtidae"	"Perciformes"	"Cottoperca gobio"	"8-NCBI"	"56716"	VGP	VGP	VGP	VGP	VGP	VGP	
"Chinese pangolin"	"Manidae"	"Pholidota"	"Manis pentadactyla"	"2-data_progress"	"143292"	VGP	VGP	VGP	VGP			
"Goodes thornscrub tortoise"	"Testudinidae"	"Testudines"	"Gopherus evgoodei"	"8-NCBI"	"1825980"	VGP	VGP	VGP	VGP	VGP	VGP	
