superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	open	insdc_open	published
Laurasiatheria	Chiroptera (Yinpterochiroptera, Rhinolophidae)	Rhinolophus ferrumequinum	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Laurasiatheria	Chiroptera (Yinpterochiroptera, Pteropodidae)	Rousettus aegyptiacus		Bat1K		Chordata	VGP						
Laurasiatheria	Carnivora (Caniformia, Mustelidae)	Lutra lutra	open	Sanger 25G		Chordata	VGP	VGP	VGP	VGP	VGP		
Laurasiatheria	Carnivora (Caniformia, Mustelidae)	Mustela erminea		VGP		Chordata	VGP						
Laurasiatheria	Carnivora (Caniformia, Canidae)	Canis lupus orion		DToL		Chordata	VGP						
Laurasiatheria	Carnivora (Caniformia, Mustelidae)	Meles meles		DToL		Chordata	VGP						
		Meles meles		DToL		Chordata	VGP						
Laurasiatheria	Carnivora (Caniformia, Otariidae)	Zalophus californianus				Chordata	VGP						
Laurasiatheria	Carnivora (Feliformia)	Lynx canadensis	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Laurasiatheria	Carnivora (Feliformia)	Neofelis nebulosa		VGP		Chordata	VGP						
Laurasiatheria	Pholidota	Manis pentadactyla	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Laurasiatheria	Eulipotyphla (Soricidae)	Suncus etruscus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Laurasiatheria	Eulipotyphla (Soricidae)	Sorex araneus				Chordata	VGP						
Laurasiatheria	Eulipotyphla (Talpidae)	Talpa europaea				Chordata	VGP						
Laurasiatheria	Eulipotyphla (Erinaceidae)	Erinaceus europaeus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Eulipotyphla (Solenodontidae)	Solenodon paradoxus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Marsupials	Diprotodontia (Phalangeriformes)	Trichosurus vulpecula	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Marsupials	Diprotodontia (Hypsiprymnodontidae/Macropodidae)	Macropus eugenii	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Marsupials	Diprotodontia (Phascolarctidae/Vombatiformes)	Phascolarctos cinereus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Marsupials	Peramelemorphia	Macrotis lagotis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Marsupials	Dasyuromorphia	Sarcophilus harrisii	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Marsupials	Notoryctemorphia	Notoryctes typhlops				Chordata	VGP						
Marsupials	Microbiotheria	Dromiciops gliroides	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Marsupials	Didelphimorphia	Monodelphis domestica	open	Allen	VGP	Chordata	VGP	VGP	VGP	VGP	VGP		
Marsupials	Paucituberculata	Lestoros inca				Chordata	VGP						
Monotremes	Monotremata	Ornithorhynchus anatinus	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Monotremes	Monotremata	Tachyglossus aculeatus		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Estrildidae)	Taeniopygia guttata	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
		Taeniopygia guttata		VGP		Chordata	VGP						
		Taeniopygia guttata		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Viduidae)	Vidua chalybeata		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Fringillidae)	Haemorhous mexicanus				Chordata	VGP						
Core landbirds	Passeriformes Oscines (Passerellidae)	Melospiza georgiana		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Passerellidae)	Ammodramus caudacutus		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Passerellidae)	Ammospiza nelsoni				Chordata	VGP						
Core landbirds	Passeriformes Oscines (Passerellidae)	Ammospiza maritima		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Sylviidae)	Sylvia borin		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Sylviidae)	Sylvia atricapilla		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Hirundinidae)	Hirundo rustica		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Parulidae)	Geothlypis trichas		VGP		Chordata	VGP						
