ncbi_taxon_id	genus	species	family	target_list_status	sequencing_status	synonym	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
	Schistidium	bryhnii	Grimmiaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
860413	Schistidium	maritimum	Grimmiaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
226488	Schistidium	papillosum	Grimmiaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
13677	Scomber	scombrus	Scombridae	ebpn_other_priority			EBPN	EBPN											
394699	Sebastes	norvegicus	Sebastidae	ebpn_other_priority			EBPN	EBPN											
57947	Sibbaldia	procumbens	Rosaceae	ebpn_other_priority			EBPN	EBPN											
50251	Sitta	europaea	Sittidae	ebpn_other_priority	sample_acquired	europaea	EBPN	EBPN			EBPN	EBPN							
41457	Skeletonema	pseudocostatum	Skeletonemataceae	ebpn_other_priority			EBPN	EBPN											
76058	Somateria	mollissima	Anatidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
231083	Sphagnum	annulatum	Sphagnaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
231083	Sphagnum	annulatum	Sphagnaceae	ebpn_other_priority			EBPN	EBPN											
231084	Sphagnum	arcticum	Sphagnaceae	ebpn_other_priority			EBPN	EBPN											
128182	Sphagnum	austinii	Sphagnaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
128184	Sphagnum	balticum	Sphagnaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
2202591	Sphagnum	beothuk	Sphagnaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
128190	Sphagnum	compactum	Sphagnaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
128203	Sphagnum	fuscum	Sphagnaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
128204	Sphagnum	girgensohnii	Sphagnaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
231099	Sphagnum	inundatum	Sphagnaceae	ebpn_other_priority			EBPN	EBPN											
128206	Sphagnum	jensenii	Sphagnaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
231112	Sphagnum	lindbergii	Sphagnaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
13805	Sphagnum	palustre	Sphagnaceae	ebpn_other_priority			EBPN	EBPN											
231123	Sphagnum	papillosum	Sphagnaceae	ebpn_other_priority			EBPN	EBPN											
128240	Sphagnum	squarrosum	Sphagnaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
128247	Sphagnum	tenellum	Sphagnaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
128251	Sphagnum	troendelagicum	Sphagnaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
160760	Spinus	spinus	Fringillidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
