common_name	family	order	scientific_name	status	taxon_id	vgp_phase	long_list	other_priority	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
American pika	Ochotonidae	Lagomorpha	Ochotona princeps	2-data_progress	9978	phase1	VGP	VGP	VGP	VGP	VGP			
American alligator	Alligatoridae	Crocodylia	Alligator mississippiensis	2-data_progress	8496	phase1	VGP	VGP	VGP	VGP	VGP			
Swainson's thrush	Turdidae	Passeriformes	Catharus ustulatus	8-NCBI	91951	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
ermine	Mustelidae	Carnivora	Mustela erminea	8-NCBI	36723	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
southern bluefin tuna	Scombridae	Scombriformes	Thunnus maccoyii	8-NCBI	8240	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
white-throated sparrow	Passerellidae	Passeriformes	Zonotrichia albicollis	1-DNA_isolation	44394	phase4	VGP	VGP	VGP	VGP	VGP			
North American porcupine	Erethizontidae	Rodentia	Erethizon dorsatum	7-asm_curated	34844	phase1	VGP	VGP	VGP	VGP	VGP			
South Island takahe	Rallidae	Gruiformes	Porphyrio hochstetteri	8-NCBI	439704	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
zebra finch	Estrildidae	Passeriformes	Taeniopygia guttata	8-NCBI	59729	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
two-lined caecilian	Rhinatrematidae	Apoda	Rhinatrema bivittatum	8-NCBI	194408	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Asian bonytongue	Osteoglossidae	Osteoglossiformes	Scleropages formosus	8-NCBI	113540	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Masked duck	Anatidae	Anseriformes	Nomonyx dominicus	5-asm_done	555276	phase3	VGP	VGP	VGP	VGP	VGP			
Florida worm lizard	Rhineuridae	Squamata	Rhineura floridana	2-data_progress	261503	phase1	VGP	VGP	VGP	VGP	VGP			
fire salamander	Salamandridae	Caudata	Salamandra salamandra	2-data_progress	57571	phase1	VGP	VGP	VGP	VGP	VGP			
flier cichlid	Cichlidae	Cichliformes	Archocentrus centrarchus	8-NCBI	63155	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
chimpanzee	Hominidae	Primates	Pan troglodytes	0-data_queued	9598	phase3	VGP	VGP	VGP	VGP				
American robin	Turdidae	Passeriformes	Turdus migratorius	0-data_queued	9188	phase3	VGP	VGP	VGP	VGP				
European robin	Turdidae	Passeriformes	Erithacus rubecula	8-NCBI	37610	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
song sparrow	Passerellidae	Passeriformes	Melospiza melodia	2-data_progress	44397	phase3	VGP	VGP	VGP	VGP	VGP			
spotted scat	Scatophagidae		Scatophagus argus	8-NCBI	75038	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
epaulette shark	Hemiscylliidae	Orectolobiformes	Hemiscyllium ocellatum	8-NCBI	170820	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
black-legged kittiwake	Laridae	Charadriiformes	Rissa tridactyla	2-data_progress	75485	phase2	VGP	VGP	VGP	VGP	VGP			
Downy woodpecker	Picidae	Piciformes	Dryobates pubescens	8-NCBI	118200	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
sterlet	Acipenseridae	Acipenseriformes	Acipenser ruthenus	8-NCBI	7906	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
tufted duck	Anatidae	Anseriformes	Aythya fuligula	8-NCBI	219594	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Red-fronted tinkerbird	Lybiidae	Piciformes	Pogoniulus pusillus	8-NCBI	488313	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
rufous frog	Leptodactylidae	Anura	Leptodactylus fuscus	2-data_progress	238119	phase2	VGP	VGP	VGP	VGP	VGP			
mute swan	Anatidae	Anseriformes	Cygnus olor	8-NCBI	8869	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
southern tamandua	Myrmecophagidae	Pilosa	Tamandua tetradactyla	5-asm_done	48850	phase1	VGP	VGP	VGP	VGP	VGP			
maguari stork	Ciconiidae	Ciconiiformes	Ciconia maguari	8-NCBI	52777	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Kauai elepaio	Monarchidae	Passeriformes	Chasiempis sclateri	2-data_progress	1576535	phase2	VGP	VGP	VGP	VGP	VGP			
European golden plover	Charadriidae	Charadriiformes	Pluvialis apricaria	8-NCBI	670352	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
common pipistrelle	Vespertilionidae	Chiroptera	Pipistrellus pipistrellus	8-NCBI	59474	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
seaside sparrow	Passerellidae	Passeriformes	Ammodramus maritimus	2-data_progress	371905	phase3	VGP	VGP	VGP	VGP	VGP			
Asiatic elephant	Elephantidae	Proboscidea	Elephas maximus	2-data_progress	9783	phase1	VGP	VGP	VGP	VGP	VGP			
New Zealand spotty	Labridae	Perciformes	Notolabrus celidotus	8-NCBI	1203425	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
hourglass treefrog	Hylidae	Anura	Dendropsophus ebraccatus	7-asm_curated	150705	phase1	VGP	VGP	VGP	VGP	VGP			
Aeolian wall lizard	Lacertidae	Squamata	Podarcis raffonei	6-asm_curation	65483	phase3	VGP	VGP	VGP	VGP	VGP			
Norway rat	Muridae	Rodentia	Rattus norvegicus	8-NCBI	10116	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
zebrafish	Danionidae	Cypriniformes	Danio rerio	7-asm_curated	7955	phase1	VGP	VGP	VGP	VGP	VGP			
Eurasian water vole	Cricetidae	Rodentia	Arvicola amphibius	8-NCBI	1047088	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
black rhinoceros	Rhinocerotidae	Perissodactyla	Diceros bicornis	8-NCBI	9805	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Caribbean electric ray	Narcinidae	Torpediniformes	Narcine bancroftii	2-data_progress	1343680	phase1	VGP	VGP	VGP	VGP	VGP			
Seychelles magpie-robin	Muscicapidae	Passeriformes	Copsychus sechellarum	2-data_progress	797021	phase2	VGP	VGP	VGP	VGP	VGP			
zebra finch	Estrildidae	Passeriformes	Taeniopygia guttata	8-NCBI	59729	other	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
platypus	Ornithorhynchidae	Monotremata	Ornithorhynchus anatinus	8-NCBI	9258	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
John dory	Zeidae	Zeiformes	Zeus faber	2-data_progress	64108	phase1	VGP	VGP	VGP	VGP	VGP			
rifleman	Acanthisittidae	Passeriformes	Acanthisitta chloris	8-NCBI	57068	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
pinecone soldierfish	Holocentridae	Holocentriformes	Myripristis murdjan	8-NCBI	586833	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
common cuckoo	Cuculidae	Cuculiformes	Cuculus canorus	8-NCBI	55661	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
longspined bullhead	Cottidae	Perciformes	Taurulus bubalis	8-NCBI	61643	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Black-capped chickadee	Paridae	Passeriformes	Poecile atricapillus	2-data_progress	48891	phase2	VGP	VGP	VGP	VGP	VGP			
white-faced whistling-duck	Anatidae	Anseriformes	Dendrocygna viduata	5-asm_done	8876	phase3	VGP	VGP	VGP	VGP	VGP			
smaller spotted catshark	Scyliorhinidae	Carcharhiniformes	Scyliorhinus canicula	8-NCBI	7830	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
African grass rat	Muridae	Rodentia	Arvicanthis niloticus	8-NCBI	61156	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
red deer	Cervidae	Artiodactyla	Cervus elaphus	8-NCBI	9860	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Korean giant-fin mudskipper	Gobiidae	Gobiiformes	Periophthalmus magnuspinnatus	8-NCBI	409849	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
European eel	Anguillidae	Anguilliformes	Anguilla anguilla	8-NCBI	7936	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
monito del monte	Microbiotheriidae	Microbiotheria	Dromiciops gliroides	8-NCBI	33562	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
grey whale	Eschrichtiidae	Artiodactyla	Eschrichtius robustus	2-data_progress	9764	phase2	VGP	VGP	VGP	VGP	VGP			
corroboree frog	Myobatrachidae	Anura	Pseudophryne corroboree	2-data_progress	495146	phase1	VGP	VGP	VGP	VGP	VGP			
grey crowned-crane	Gruidae	Gruiformes	Balearica regulorum	8-NCBI	925459	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Atlantic stingray	Dasyatidae	Myliobatiformes	Hypanus sabinus	2-data_progress	79690	phase2	VGP	VGP	VGP	VGP	VGP			
Chinese rufous horseshoe bat	Rhinolophidae	Chiroptera	Rhinolophus sinicus	8-NCBI	89399	phase4	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Atlantic horse mackerel	Carangidae	Carangiformes	Trachurus trachurus	8-NCBI	36212	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Bolivian squirrel monkey	Cebidae	Primates	Saimiri boliviensis	2-data_progress	27679	phase3	VGP	VGP	VGP	VGP	VGP			
Egyptian rousette	Pteropodidae	Chiroptera	Rousettus aegyptiacus	8-NCBI	9407	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
blue-and-yellow macaw	Psittacidae	Psittaciformes	Ara ararauna	2-data_progress	9226	phase3	VGP	VGP	VGP	VGP	VGP			
	Vespertilionidae	Chiroptera	Myotis myotis	8-NCBI	51298	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
blue jay	Corvidae	Passeriformes	Cyanocitta cristata	0-data_queued	28727	phase2	VGP	VGP	VGP	VGP				
North Atlantic right whale	Balaenidae	Artiodactyla	Eubalaena glacialis	3-data_done	27606	phase2	VGP	VGP	VGP	VGP	VGP			
Atlantic halibut	Pleuronectidae	Pleuronectiformes	Hippoglossus hippoglossus	8-NCBI	8267	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Common tern	Laridae	Charadriiformes	Sterna hirundo	8-NCBI	108405	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
greater pipefish	Syngnathidae	Syngnathiformes	Syngnathus acus	8-NCBI	161584	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
springhare	Pedetidae	Rodentia	Pedetes capensis	1-DNA_isolation	10023	phase1	VGP	VGP	VGP	VGP	VGP			
great crested grebe	Podicipedidae	Podicipediformes	Podiceps cristatus	0-data_queued	345573	phase1	VGP	VGP	VGP	VGP				
Loggerhead turtle	Cheloniidae	Testudines	Caretta caretta	2-data_progress	8467	phase3	VGP	VGP	VGP	VGP	VGP			
Eurasian nightjar	Caprimulgidae	Caprimulgiformes	Caprimulgus europaeus	8-NCBI	111811	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
human	Hominidae	Primates	Homo sapiens	8-NCBI	9606	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Eurasian badger	Mustelidae	Carnivora	Meles meles	7-asm_curated	9662	phase3	VGP	VGP	VGP	VGP	VGP			
denticle herring	Denticipitidae	Clupeiformes	Denticeps clupeoides	8-NCBI	299321	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
convict blenny	Pholidichthyidae	Cichliformes	Pholidichthys leucotaenia	8-NCBI	390368	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
zig-zag eel	Mastacembelidae	Synbranchiformes	Mastacembelus armatus	8-NCBI	205130	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Eurasian river otter	Mustelidae	Carnivora	Lutra lutra	8-NCBI	9657	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
eastern happy	Cichlidae	Cichliformes	Astatotilapia calliptera	8-NCBI	8154	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Saker falcon	Falconidae	Falconiformes	Falco cherrug	7-asm_curated	345164	phase4	VGP	VGP	VGP	VGP	VGP			
red-winged blackbird	Icteridae	Passeriformes	Agelaius phoeniceus	2-data_progress	39638	phase2	VGP	VGP	VGP	VGP	VGP			
whiskered treeswift	Apodidae	Apodiformes	Hemiprocne comata	8-NCBI	243314	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
white-toothed pygmy shrew	Soricidae	Eulipotyphla	Suncus etruscus	7-asm_curated	109475	phase1	VGP	VGP	VGP	VGP	VGP			
fire-bellied toad	Bombinatoridae	Anura	Bombina bombina	5-asm_done	8345	phase1	VGP	VGP	VGP	VGP	VGP			
milkfish	Chanidae	Gonorynchiformes	Chanos chanos	8-NCBI	29144	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
New Caledonian crow	Corvidae	Passeriformes	Corvus moneduloides	8-NCBI	1196302	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
peregrine falcon	Falconidae	Falconiformes	Falco peregrinus	7-asm_curated	8954	phase4	VGP	VGP	VGP	VGP	VGP			
budgerigar	Psittaculidae	Psittaciformes	Melopsittacus undulatus	8-NCBI	13146	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Kakapo	Psittacidae	Psittaciformes	Strigops habroptilus	8-NCBI	57251	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
longfin smelt	Osmeridae	Osmeriformes	Spirinchus thaleichthys	3-data_done	260508	phase3	VGP	VGP	VGP	VGP	VGP			
greater horseshoe bat	Rhinolophidae	Chiroptera	Rhinolophus ferrumequinum	8-NCBI	59479	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
lesser salmon catfish	Ariidae	Siluriformes	Neoarius graeffei	4-asm_progress	443677	phase1	VGP	VGP	VGP	VGP	VGP			
European turtle dove	Columbidae	Columbiformes	Streptopelia turtur	8-NCBI	177155	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Fleay's barred frog	Myobatrachidae	Anura	Mixophyes fleayi	2-data_progress	000000	phase3	VGP	VGP	VGP	VGP	VGP			
American shad	Clupeidae	Clupeiformes	Alosa sapidissima	8-NCBI	34773	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
pig-tailed macaque	Cercopithecidae	Primates	Macaca nemestrina	0-data_queued	9545	phase2	VGP	VGP	VGP	VGP				
European pond turtle	Emydidae	Testudines	Emys orbicularis	4-asm_progress	82168	phase3	VGP	VGP	VGP	VGP	VGP			
Common starling	Sturnidae	Passeriformes	Sturnus vulgaris	2-data_progress	9172	phase2	VGP	VGP	VGP	VGP	VGP			
channel bull blenny	Bovichtidae	Perciformes	Cottoperca gobio	8-NCBI	56716	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Chinese pangolin	Manidae	Pholidota	Manis pentadactyla	2-data_progress	143292	phase1	VGP	VGP	VGP	VGP	VGP			
Goodes thornscrub tortoise	Testudinidae	Testudines	Gopherus evgoodei	8-NCBI	1825980	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
gray squirrel	Sciuridae	Rodentia	Sciurus carolinensis	8-NCBI	30640	phase4	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
tiny Cayenne caecilian	Siphonopidae	Gymnophiona	Microcaecilia unicolor	8-NCBI	1415580	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
zebra shark	Stegostomatidae	Orectolobiformes	Stegostoma tigrinum	0-data_queued	000000	phase2	VGP	VGP	VGP	VGP				
great white shark	Alopiidae	Lamniformes	Carcharodon carcharias	8-NCBI	13397	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
alpaca	Camelidae	Artiodactyla	Vicugna pacos	0-data_queued	30538	phase2	VGP	VGP	VGP	VGP				
village indigobird	Estrildidae	Passeriformes	Vidua chalybeata	6-asm_curation	81927	phase3	VGP	VGP	VGP	VGP	VGP			
gray short-tailed opossum	Didelphidae	Didelphimorphia	Monodelphis domestica	4-asm_progress	13616	phase1	VGP	VGP	VGP	VGP	VGP			
	Galaxiidae	Galaxiiformes	Aplochiton taeniatus	8-NCBI	946358	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
gilthead seabream	Sparidae	Spariformes	Sparus aurata	8-NCBI	8175	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Kuhl's pipistrelle	Vespertilionidae	Chiroptera	Pipistrellus kuhlii	8-NCBI	59472	phase4	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
kagu	Rhynochetidae	Gruiformes	Rhynochetos jubatus	2-data_progress	54386	phase1	VGP	VGP	VGP	VGP	VGP			
plumbeous ibis	Threskiornithidae	Pelecaniformes	Theristicus caerulescens	8-NCBI	1118847	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
rock gunnel	Pholidae	Perciformes	Pholis gunnellus	8-NCBI	56726	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
barbel	Cyprinidae	Cypriniformes	Barbus barbus	2-data_progress	40830	phase2	VGP	VGP	VGP	VGP	VGP			
Barn swallow	Hirundinidae	Passeriformes	Hirundo rustica	8-NCBI	43150	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Dalmatian pelican	Pelecanidae	Pelecaniformes	Pelecanus crispus	5-asm_done	36300	phase1	VGP	VGP	VGP	VGP	VGP			
tailed frog	Ascaphidae	Anura	Ascaphus truei	2-data_progress	8439	phase1	VGP	VGP	VGP	VGP	VGP			
banded archerfish	Toxotidae		Toxotes jaculatrix	8-NCBI	941984	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
rock ptarmigan	Phasianidae	Galliformes	Lagopus muta	7-asm_curated	64668	phase3	VGP	VGP	VGP	VGP	VGP			
false killer whale	Delphinidae	Artiodactyla	Pseudorca crassidens	2-data_progress	82174	phase2	VGP	VGP	VGP	VGP	VGP			
freshwater garfish	Belonidae	Beloniformes	Xenentodon cancila	8-NCBI	129108	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Micronesian kingfisher	Alcedinidae	Coraciiformes	Todiramphus cinnamominus	2-data_progress	1006542	phase2	VGP	VGP	VGP	VGP	VGP			
Anna's hummingbird	Trochilidae	Apodiformes	Calypte anna	8-NCBI	9244	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Boeseman's rainbowfish	Melanotaeniidae	Atheriniformes	Melanotaenia boesemani	8-NCBI	1250792	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
European starfish	Asteriidae	Forcipulatida	Asterias rubens	8-NCBI	7604	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Sardinian tree frog	Hylidae	Anura	Hyla sarda	2-data_progress	327740	phase3	VGP	VGP	VGP	VGP	VGP			
banded killifish	Fundulidae	Cyprinodontiformes	Fundulus diaphanus	2-data_progress	54267	phase2	VGP	VGP	VGP	VGP	VGP			
American flamingo	Phoenicopteridae	Phoenicopteriformes	Phoenicopterus ruber	8-NCBI	9217	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
American robin	Turdidae	Passeriformes	Turdus migratorius	0-data_queued	9188	phase4	VGP	VGP	VGP	VGP				
trahira	Erythrinidae	Characiformes	Hoplias malabaricus	2-data_progress	27720	phase2	VGP	VGP	VGP	VGP	VGP			
common swift	Apodidae	Apodiformes	Apus apus	8-NCBI	8895	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
cattle	Bovidae	Artiodactyla	Bos taurus	8-NCBI	9913	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
pale spear-nosed bat	Phyllostomidae	Chiroptera	Phyllostomus discolor	8-NCBI	89673	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Harpy eagle	Accipitridae	Falconiformes	Harpia harpyja	6-asm_curation	202280	phase3	VGP	VGP	VGP	VGP	VGP			
eastern musk turtle	Kinosternidae	Testudines	Sternotherus odoratus	2-data_progress	142480	phase1	VGP	VGP	VGP	VGP	VGP			
copperband butterflyfish	Chaetodontidae	Chaetodontiformes	Chelmon rostratus	8-NCBI	109905	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
horn shark	Heterodontidae	Heterodontiformes	Heterodontus francisci	2-data_progress	7792	phase1	VGP	VGP	VGP	VGP	VGP			
olive python	Pythonidae	Squamata	Liasis olivaceus	2-data_progress	283338	phase2	VGP	VGP	VGP	VGP	VGP			
house finch	Fringillidae	Passeriformes	Haemorhous mexicanus	6-asm_curation	30427	phase2	VGP	VGP	VGP	VGP	VGP			
hawaiian crow	Corvidae	Passeriformes	Corvus hawaiiensis	8-NCBI	134902	phase4	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Brown-headed cowbird	Icteridae	Passeriformes	Molothrus ater	0-data_queued	84834	phase3	VGP	VGP	VGP	VGP				
Riggenbach's reed frog	Hyperoliidae	Anura	Hyperolius riggenbachi	2-data_progress	752182	phase1	VGP	VGP	VGP	VGP	VGP			
painted frog	Alytidae	Anura	Discoglossus pictus	7-asm_curated	8351	phase1	VGP	VGP	VGP	VGP	VGP			
lanner falcon	Falconidae	Falconiformes	Falco biarmicus	7-asm_curated	345155	phase4	VGP	VGP	VGP	VGP	VGP			
climbing perch	Anabantidae	Anabantiformes	Anabas testudineus	8-NCBI	64144	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
southern two-toed sloth	Megalonychidae	Folivora	Choloepus didactylus	8-NCBI	27675	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
chicken	Phasianidae	Galliformes	Gallus gallus	8-NCBI	9031	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Eastern phoebe	Tyrannidae	Passeriformes	Sayornis phoebe	1-DNA_isolation	56315	phase2	VGP	VGP	VGP	VGP	VGP			
leatherback sea turtle	Dermochelyidae	Testudines	Dermochelys coriacea	8-NCBI	27794	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
golden eagle	Accipitridae	Falconiformes	Aquila chrysaetos	8-NCBI	8962	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Western terrestrial garter snake	Colubridae	Squamata	Thamnophis elegans	8-NCBI	35005	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Abyssinian ground-hornbill	Bucorvidae	Bucerotiformes	Bucorvus abyssinicus	8-NCBI	153643	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
zebrafish	Danionidae	Cypriniformes	Danio rerio	8-NCBI	7955	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
stoplight loosejaw	Stomiidae	Stomiiformes	Malacosteus niger	2-data_progress	76143	phase2	VGP	VGP	VGP	VGP	VGP			
Philippine flying lemur	Cynocephalidae	Dermoptera	Cynocephalus volans	2-data_progress	110931	phase1	VGP	VGP	VGP	VGP	VGP			
Mexican gopher tortoise	Testudinidae	Testudines	Gopherus flavomarginatus	7-asm_curated	286002	phase4	VGP	VGP	VGP	VGP	VGP			
pejerrey	Atherinopsidae	Atheriniformes	Odontesthes bonariensis	2-data_progress	219752	phase2	VGP	VGP	VGP	VGP	VGP			
acorn worm	Harrimaniidae	Enteropneusta	Saccoglossus kowalevskii	2-data_progress	10224	phase2	VGP	VGP	VGP	VGP	VGP			
barnacle goose	Anatidae	Anseriformes	Branta leucopsis	5-asm_done	184711	phase3	VGP	VGP	VGP	VGP	VGP			
diamondback terrapin	Emydidae	Testudines	Malaclemys terrapin	2-data_progress	8485	phase1	VGP	VGP	VGP	VGP	VGP			
white-tufted-ear marmoset	Cebidae	Primates	Callithrix jacchus	8-NCBI	9483	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
gyrfalcon	Falconidae	Falconiformes	Falco rusticolus	8-NCBI	120794	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
chimpanzee	Hominidae	Primates	Pan troglodytes	5-asm_done	9598	phase4	VGP	VGP	VGP	VGP	VGP			
orbiculate cardinalfish	Apogonidae	Kurtiformes	Sphaeramia orbicularis	8-NCBI	375764	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
shanny	Blenniidae	Blenniiformes	Lipophrys pholis	2-data_progress	56720	phase3	VGP	VGP	VGP	VGP	VGP			
Indian glassy fish	Ambassidae	Ovalentaria	Parambassis ranga	8-NCBI	210632	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
common toad	Bufonidae	Anura	Bufo bufo	8-NCBI	8384	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
river trout	Salmonidae	Salmoniformes	Salmo trutta	8-NCBI	8032	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
carmine bee-eater	Meropidae	Coraciiformes	Merops nubicus	8-NCBI	57421	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
reedfish	Polypteridae	Polypteriformes	Erpetoichthys calabaricus	8-NCBI	27687	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
eastern narrow-mouthed toad	Microhylidae	Anura	Gastrophryne carolinensis	2-data_progress	8429	phase1	VGP	VGP	VGP	VGP	VGP			
