Prefix_TOLID	SPECIES	STRAIN_ID	STATUS	TAX_ID	PHYLUM	FAMILY	GENUS	TAXONOMIC NOTES	other_priority	goat_status
uoBumSicu	Bumilleria sicula	808-1	SUBMITTED	308883	Stramenopiles/ Ochrophyta	Tribonemataceae	Bumilleria		DTOL	sample_collected
uoOphMaju	Ophiocytium majus	855-1	SUBMITTED	73019	Stramenopiles/ Ochrophyta	Ophiocytiaceae	Ophiocytium		DTOL	sample_collected
uoAulGran	Aulacoseira granulata	1002-1	SUBMITTED	285082	Stramenopiles/ Ochrophyta	Aulacoseiraceae	Aulacoseira		DTOL	sample_collected
uoNitEpit	Nitzschia epithemoides	1052-18	SUBMITTED	1034830	Stramenopiles/ Ochrophyta	Bacillariaceae	Nitzschia		DTOL	sample_collected
uoTriMobi	Trieres mobiliensis	1054-4	SUBMITTED	655800	Stramenopiles/ Ochrophyta	Tricertatiaceae	Trieres		DTOL	sample_collected
ukCosBlyt	Cosmarium blytii	612-19	SUBMITTED	328281	Streptophyta/Charophyta	Desmidiaceae	Cosmarium	Cosmarium blytii (blyttii in STS)	DTOL	sample_collected
paTriSieb	Trichosphaerium sieboldi	1585-2	SUBMITTED	2853288	Amoebozoa		Trichosphaerium		DTOL	sample_collected
uoBotArhi	Botrydiopsis arhiza	806-2	SUBMITTED	2853289	Stramenopiles/ Ochrophyta	Botrydiopsidaceae	Botrydiopsis		DTOL	sample_collected
paMayGemm	Mayorella gemmifera	1547-12	SUBMITTED	561864	Amoebozoa	Dermamoebida	Mayorella		DTOL	sample_collected
ucDicFrag	Dictyochloris fragrans	249-3	SUBMITTED	179863	Chlorophyta	Dictyochloridaceae	Dictyochloris		DTOL	sample_collected
ucDicVari	Dictyococcus varians	221-5	SUBMITTED	889455	Chlorophyta	Dictyococcaceae	Dictyococcus		DTOL	sample_collected
paHarCant	Hartmannella cantabrigiensis	1534-11	SUBMITTED	239731	Amoebozoa	Hartmannellidae	Hartmannella		DTOL	sample_collected
ucChaOrbi	Chaetopeltis orbicularis	412-1	SUBMITTED	56002	Chlorophyta	Chaetopeltidaceae	Chaetopeltis		DTOL	sample_collected
ucChaLoba	Chaetophora lobata	413-1	SUBMITTED	1249516	Chlorophyta	Chaetophoraceae	Chaetophora		DTOL	sample_collected
	Asterococcus limneticus	3-4	DEAD		Chlorophyta	Palmellopsidaceae	Asterococcus		DTOL	
ucCarInci	Carteria incisa	8-4	SUBMITTED	1035634	Chlorophyta	Chlamydomonadaceae	Carteria		DTOL	sample_collected
uoCilInfu	Ciliophrys infusionum	1516-1	SUBMITTED	38824	Stramenopiles		Ciliophrys		DTOL	sample_collected
	Cylindrocapsa involuta	314-1	COLLECTED		Chlorophyta	Cylindrocapsaceae	Cylindrocapsa		DTOL	sample_collected
puHetClar	Heteramoeba clara	1536-1	SUBMITTED	63597	Amoebozoa/Discoba		Heteramoeba		DTOL	sample_collected
pyLinPole	Lingulodinium polyedra	1121-2	SUBMITTED	160621	Alveolata/Dinophyta		Lingulodinium		DTOL	sample_collected
	Nutomonas kenti	1953-1	DEAD		Apusozoa		Nutomonas		DTOL	
ucPauTene	Paulschulzia tenera	58-2	SUBMITTED	1993634	Chlorophyta	Tetrasporaceae	Paulschulzia		DTOL	sample_collected
paPolFasc	Polychaos fasciculatum	1564-1	SUBMITTED	2853303	Amoebozoa		Polychaos		DTOL	sample_collected
ucStiBaci	Stichococcus bacillaris	379-1E	SUBMITTED	37433	Chlorophyta	Stichococcaceae	Stichococcus		DTOL	sample_collected
ucStiFarc	Stigeoclonium farctum	477-10A	SUBMITTED	764115	Chlorophyta	Chaetophoraceae	Stigeoclonium		DTOL	sample_collected
ucStiTenu	Stigeoclonium tenue	477-11A	SUBMITTED	764117	Chlorophyta	Chaetophoraceae	Stigeoclonium		DTOL	sample_collected
	Sporotetras  polydermatica	31-5	SUBMITTED	1034627	Chlorophyta	Radiococcaceae	Sporotetras		DTOL	sample_collected
ucCocSimp	Pseudococcomyxa sp.	812-2A	SUBMITTED	464287	Chlorophyta	Oocystaceae	Pseudococcomyxa	Pseudococcomyxa (Coccomyx in sts) simplex	DTOL	sample_collected
ucOedCard	Oedogonium	575-1A	SUBMITTED	55995	Chlorophyta		Oedogonium		DTOL	sample_collected
ucPauPseu	Paulschulzia pseudovolvox	58-3	SUBMITTED	56011	Chlorophyta	Tetrasporaceae	Paulschulzia		DTOL	sample_collected
No_TOLID	Echinamoeba silvestris	1519-1	SUBMITTED	1215984	Amoebozoa	Echinamoebidae	Echinamoeba		DTOL	sample_collected
paTetJugo	Tetramitus jugosus	1559-3	COLLECTED		Amoebozoa/Discoba	Vahlkampfiidae	Tetramitus		DTOL	sample_collected
	Neoparamoeba pemaquidensis	1560-4	SUBMITTED	180228	Amoebozoa		Neoparamoeba		DTOL	sample_collected
No_TOLID	Pseudoparamoeba pagei	1566-1	SUBMITTED	229672	Amoebozoa	Vexilliferidae	Pseudoparamoeba		DTOL	sample_collected
No_TOLID	Rhizamoeba saxonica	1570-2	SUBMITTED	200866	Amoebozoa	Trichosidae	Rhizamoeba		DTOL	sample_collected
	Rosculus ithacus	1571-3	SUBMITTED	1808993	Amoebozoa/Discoba		Rosculus		DTOL	sample_collected
No_TOLID	Tetramitus aberdonicus	1588-4	SUBMITTED	74084	Amoebozoa/Discoba	Vahlkampfiidae	Tetramitus		DTOL	sample_collected
No_TOLID	Vannella anglica	1589-11	SUBMITTED	95229	Amoebozoa	Vannellida	Vannella		DTOL	sample_collected
No_TOLID	Vexillifera minutissima	1590-3	SUBMITTED	242550	Amoebozoa	Vexilliferidae	Vexillifera		DTOL	sample_collected
No_TOLID	Asterionella formosa	1005-9	SUBMITTED		Stramenopiles/ Ochrophyta	Fragilariaceae	Asterionella		DTOL	sample_collected
uoAstGlai	Asterionellopsis glacialis	1009-3	SUBMITTED		Stramenopiles/ Ochrophyta	Fragilariaceae	Asterionellopsis		DTOL	sample_collected
	Achnanthes sp.	1095-1	COLLECTED		Stramenopiles/ Ochrophyta	Achnanthaceae	Achnanthes		DTOL	sample_collected
	Amphora sp.	1001-3	COLLECTED		Stramenopiles/ Ochrophyta	Catenulaceae	Amphora		DTOL	sample_collected
No_TOLID	Micrasterias rotata	649-22	SUBMITTED	130981	Streptophyta/Charophyta	Desmidiaceae	Micrasterias		DTOL	sample_collected
ukSpiVari	Spirogyra varians	678-3	SUBMITTED	332125	Streptophyta/Charophyta	Zygnemataceae	Spirogyra		DTOL	sample_collected
