species	phylum/class/family	kingdom	source	ncbi_taxon_id	proposed_sequencing_centre	target_list_status	sequencing_status	goat_stimated_genome_size_gb	phase	notes	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
Micromeria hispida	PLANTS/Lamiaceae	Plantae	Greece_NHMC	3034265	next	other_priority		369	next	not in GoaT	GREECE-HSP	GREECE-HSP		GREECE-HSP									
Origanum dictamnus	PLANTS/Lamiaceae	Plantae	Greece_NHMC	497761	next	other_priority		742	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Oxychilus superfluus	GASTROPODA/Oxychilidae	Plantae	Greece_NHMC	2832117	next	other_priority		2.850	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Petromarula pinnata	PLANTS/Campanulaceae	Plantae	Greece_NHMC	239464	next	other_priority		1.180	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Platanosphaera ariadnae	MALACOSTRACA/Isopoda	Metazoa	Greece_NHMC	3034273	next	other_priority		1.920	next	not in GoaT	GREECE-HSP	GREECE-HSP		GREECE-HSP									
Pipistrellus hanaki	MAMMALS/Vespertilionidae	Metazoa	Greece_NHMC	412090	next	other_priority		2.120	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Poecilimon cretensis	INSECTS/Orthoptera	Metazoa	Greece_NHMC	473679	next	other_priority		7.440	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Potamon kretaion	MALACOSTRACA/Decapoda	Metazoa	Greece_NHMC	940504	next	other_priority		2.560	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Protaetia opaca cretica	INSECTS/Coleoptera	Metazoa	Greece_NHMC	1586530	next	other_priority		655	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Sideritis syriaca	PLANTS/Lamiaceae	Plantae	Greece_NHMC	155265	next	other_priority		1.770	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Tandonia sowerbyi	GASTROPODA/Milacidae	Plantae	Greece_NHMC	1302814	next	other_priority		2.850	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Telescopus fallax	REPTILES/Colubridae	Metazoa	Greece_NHMC	186607	next	other_priority		1.960	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Verbascum arcturus	PLANTS/Scrophulariaceae	Plantae	Greece_NHMC	39285	next	other_priority		396	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Sargassum (S. acinarium, S. hornschuchii, S. trichocarpum, Sargassum (Sargassum) vulgare)	Phaeophyceae	Plantae	Greece_HCMR		next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Coralline algae (Peyssonnelia codana, Lithophyllum fasciculatum, Mesophyllum macedonis)	Macroalgae	Plantae	Greece_HCMR		next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Ulva lactuca	Macroalgae	Plantae	Greece_HCMR	63410	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Caulerpales (Caulerpa prolifera & C. cylindracea)	Macroalgae	Plantae	Greece_HCMR		next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
