	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
95	1387126	Lipothrix	lubbocki	Sminthuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
96	2340290	Megalothorax		Neelidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
97	2651973	Mesaphorura	macrochaeta	Tullbergiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
98	187659	Micranurida	granulata	Neanuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
99	332381	Neelides	folsomi	Neelidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
100	1348065	Neelus	murinus	Neelidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
101	576794	Orchesella	bifasciata	Orchesellidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
102	48709	Orchesella	cincta	Orchesellidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
103	48711	Orchesella	flavescens	Orchesellidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
104	2581074	Orthonychiurus	folsomi	Onychiuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
105	2041961	Paratullbergia	callipygos	Tullbergiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
106	511703	Pogonognathellus	flavescens	Tomoceridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
107	707266	Pogonognathellus	longicornis	Tomoceridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
108	301521	Proisotoma	minuta	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
109	187684	Protaphorura	armata	Onychiuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
110	187683	Protaphorura	glebata	Onychiuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
111	187683	Protaphorura	quadriocellata	Onychiuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
112	187683	Protaphorura	tricampata	Onychiuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
113	1302326	Pseudosinella	alba	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
114	281415	Sminthurides	aquaticus	Sminthurididae		in_assembly		metainvert			metainvert	metainvert	metainvert			
115	1496267	Sminthurinus	aureus	Katiannidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
116	187699	Sminthurinus	bimaculatus	Katiannidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
117	1190784	Sminthurinus	elegans	Katiannidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
118	2584529	Sminthurinus	signatus	Katiannidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
119	NA	Spatulosminthurus	flaviceps	NA		in_assembly		metainvert			metainvert	metainvert	metainvert			
120	212016	Sphaeridia	pumilis	Sminthuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
121	2583954	Thalassaphorura	encarpata	Onychiuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
122	187706	Tomocerus	minor	Tomoceridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
123	58788	Tomocerus	mixtus	Tomoceridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
124	2041954	Vertagopus	arboreus	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
125	1458441	Willowsia	buskii	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
126	1302335	Willowsia	nigromaculata	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
127	2567731	Xenylla	mediterranea	Hypogastruridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
128	187716	Xenyllodes	armatus	Odontellidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
129	1569510	Chordeuma	sylvestre	Chordeumatidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
130	61981	Cylindroiulus	punctatus	Julidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
131	1392624	Glomeris	hexasticha	Glomeridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
