"common_name"	"family"	"order"	"scientific_name"	"status"	"taxon_id"	"vgp_phase"
"common cuckoo"	"Cuculidae"	"Cuculiformes"	"Cuculus canorus"	"8-NCBI"	"55661"	"phase1"
"longspined bullhead"	"Cottidae"	"Perciformes"	"Taurulus bubalis"	"8-NCBI"	"61643"	"phase2"
"Black-capped chickadee"	"Paridae"	"Passeriformes"	"Poecile atricapillus"	"2-data_progress"	"48891"	"phase2"
"white-faced whistling-duck"	"Anatidae"	"Anseriformes"	"Dendrocygna viduata"	"5-asm_done"	"8876"	"phase3"
"smaller spotted catshark"	"Scyliorhinidae"	"Carcharhiniformes"	"Scyliorhinus canicula"	"8-NCBI"	"7830"	"phase1"
"African grass rat"	"Muridae"	"Rodentia"	"Arvicanthis niloticus"	"8-NCBI"	"61156"	"phase3"
"red deer"	"Cervidae"	"Artiodactyla"	"Cervus elaphus"	"8-NCBI"	"9860"	"phase2"
"Korean giant-fin mudskipper"	"Gobiidae"	"Gobiiformes"	"Periophthalmus magnuspinnatus"	"8-NCBI"	"409849"	"phase2"
"European eel"	"Anguillidae"	"Anguilliformes"	"Anguilla anguilla"	"8-NCBI"	"7936"	"phase1"
"monito del monte"	"Microbiotheriidae"	"Microbiotheria"	"Dromiciops gliroides"	"8-NCBI"	"33562"	"phase1"
"grey whale"	"Eschrichtiidae"	"Artiodactyla"	"Eschrichtius robustus"	"2-data_progress"	"9764"	"phase2"
"corroboree frog"	"Myobatrachidae"	"Anura"	"Pseudophryne corroboree"	"2-data_progress"	"495146"	"phase1"
"grey crowned-crane"	"Gruidae"	"Gruiformes"	"Balearica regulorum"	"8-NCBI"	"925459"	"phase1"
"Atlantic stingray"	"Dasyatidae"	"Myliobatiformes"	"Hypanus sabinus"	"2-data_progress"	"79690"	"phase2"
"Chinese rufous horseshoe bat"	"Rhinolophidae"	"Chiroptera"	"Rhinolophus sinicus"	"8-NCBI"	"89399"	"phase4"
"Atlantic horse mackerel"	"Carangidae"	"Carangiformes"	"Trachurus trachurus"	"8-NCBI"	"36212"	"phase2"
"Bolivian squirrel monkey"	"Cebidae"	"Primates"	"Saimiri boliviensis"	"2-data_progress"	"27679"	"phase3"
"Egyptian rousette"	"Pteropodidae"	"Chiroptera"	"Rousettus aegyptiacus"	"8-NCBI"	"9407"	"phase2"
"blue-and-yellow macaw"	"Psittacidae"	"Psittaciformes"	"Ara ararauna"	"2-data_progress"	"9226"	"phase3"
""	"Vespertilionidae"	"Chiroptera"	"Myotis myotis"	"8-NCBI"	"51298"	"phase3"
"blue jay"	"Corvidae"	"Passeriformes"	"Cyanocitta cristata"	"0-data_queued"	"28727"	"phase2"
"North Atlantic right whale"	"Balaenidae"	"Artiodactyla"	"Eubalaena glacialis"	"3-data_done"	"27606"	"phase2"
"Atlantic halibut"	"Pleuronectidae"	"Pleuronectiformes"	"Hippoglossus hippoglossus"	"8-NCBI"	"8267"	"phase1"
"Common tern"	"Laridae"	"Charadriiformes"	"Sterna hirundo"	"8-NCBI"	"108405"	"phase3"
"greater pipefish"	"Syngnathidae"	"Syngnathiformes"	"Syngnathus acus"	"8-NCBI"	"161584"	"phase1"
"springhare"	"Pedetidae"	"Rodentia"	"Pedetes capensis"	"1-DNA_isolation"	"10023"	"phase1"
"great crested grebe"	"Podicipedidae"	"Podicipediformes"	"Podiceps cristatus"	"0-data_queued"	"345573"	"phase1"
"Loggerhead turtle"	"Cheloniidae"	"Testudines"	"Caretta caretta"	"2-data_progress"	"8467"	"phase3"
"Eurasian nightjar"	"Caprimulgidae"	"Caprimulgiformes"	"Caprimulgus europaeus"	"8-NCBI"	"111811"	"phase1"
"human"	"Hominidae"	"Primates"	"Homo sapiens"	"8-NCBI"	"9606"	"phase1"
"Eurasian badger"	"Mustelidae"	"Carnivora"	"Meles meles"	"7-asm_curated"	"9662"	"phase3"
"denticle herring"	"Denticipitidae"	"Clupeiformes"	"Denticeps clupeoides"	"8-NCBI"	"299321"	"phase1"
"convict blenny"	"Pholidichthyidae"	"Cichliformes"	"Pholidichthys leucotaenia"	"8-NCBI"	"390368"	"phase1"
"zig-zag eel"	"Mastacembelidae"	"Synbranchiformes"	"Mastacembelus armatus"	"8-NCBI"	"205130"	"phase1"
"Eurasian river otter"	"Mustelidae"	"Carnivora"	"Lutra lutra"	"8-NCBI"	"9657"	"phase1"
"eastern happy"	"Cichlidae"	"Cichliformes"	"Astatotilapia calliptera"	"8-NCBI"	"8154"	"phase3"
"Saker falcon"	"Falconidae"	"Falconiformes"	"Falco cherrug"	"7-asm_curated"	"345164"	"phase4"
"red-winged blackbird"	"Icteridae"	"Passeriformes"	"Agelaius phoeniceus"	"2-data_progress"	"39638"	"phase2"
"whiskered treeswift"	"Apodidae"	"Apodiformes"	"Hemiprocne comata"	"8-NCBI"	"243314"	"phase1"
"white-toothed pygmy shrew"	"Soricidae"	"Eulipotyphla"	"Suncus etruscus"	"7-asm_curated"	"109475"	"phase1"
"fire-bellied toad"	"Bombinatoridae"	"Anura"	"Bombina bombina"	"5-asm_done"	"8345"	"phase1"
"milkfish"	"Chanidae"	"Gonorynchiformes"	"Chanos chanos"	"8-NCBI"	"29144"	"phase1"
"New Caledonian crow"	"Corvidae"	"Passeriformes"	"Corvus moneduloides"	"8-NCBI"	"1196302"	"phase3"
"peregrine falcon"	"Falconidae"	"Falconiformes"	"Falco peregrinus"	"7-asm_curated"	"8954"	"phase4"
"budgerigar"	"Psittaculidae"	"Psittaciformes"	"Melopsittacus undulatus"	"8-NCBI"	"13146"	"phase2"
"Kakapo"	"Psittacidae"	"Psittaciformes"	"Strigops habroptilus"	"8-NCBI"	"57251"	"phase1"
"longfin smelt"	"Osmeridae"	"Osmeriformes"	"Spirinchus thaleichthys"	"3-data_done"	"260508"	"phase3"
"greater horseshoe bat"	"Rhinolophidae"	"Chiroptera"	"Rhinolophus ferrumequinum"	"8-NCBI"	"59479"	"phase1"
"lesser salmon catfish"	"Ariidae"	"Siluriformes"	"Neoarius graeffei"	"4-asm_progress"	"443677"	"phase1"
"European turtle dove"	"Columbidae"	"Columbiformes"	"Streptopelia turtur"	"8-NCBI"	"177155"	"phase1"
"Fleay's barred frog"	"Myobatrachidae"	"Anura"	"Mixophyes fleayi"	"2-data_progress"	"000000"	"phase3"
"American shad"	"Clupeidae"	"Clupeiformes"	"Alosa sapidissima"	"8-NCBI"	"34773"	"phase2"
"pig-tailed macaque"	"Cercopithecidae"	"Primates"	"Macaca nemestrina"	"0-data_queued"	"9545"	"phase2"
"European pond turtle"	"Emydidae"	"Testudines"	"Emys orbicularis"	"4-asm_progress"	"82168"	"phase3"
"Common starling"	"Sturnidae"	"Passeriformes"	"Sturnus vulgaris"	"2-data_progress"	"9172"	"phase2"
"channel bull blenny"	"Bovichtidae"	"Perciformes"	"Cottoperca gobio"	"8-NCBI"	"56716"	"phase1"
"Chinese pangolin"	"Manidae"	"Pholidota"	"Manis pentadactyla"	"2-data_progress"	"143292"	"phase1"
"Goodes thornscrub tortoise"	"Testudinidae"	"Testudines"	"Gopherus evgoodei"	"8-NCBI"	"1825980"	"phase1"
"gray squirrel"	"Sciuridae"	"Rodentia"	"Sciurus carolinensis"	"8-NCBI"	"30640"	"phase4"
"tiny Cayenne caecilian"	"Siphonopidae"	"Gymnophiona"	"Microcaecilia unicolor"	"8-NCBI"	"1415580"	"phase1"
"zebra shark"	"Stegostomatidae"	"Orectolobiformes"	"Stegostoma tigrinum"	"0-data_queued"	"000000"	"phase2"
"great white shark"	"Alopiidae"	"Lamniformes"	"Carcharodon carcharias"	"8-NCBI"	"13397"	"phase1"
"alpaca"	"Camelidae"	"Artiodactyla"	"Vicugna pacos"	"0-data_queued"	"30538"	"phase2"
"village indigobird"	"Estrildidae"	"Passeriformes"	"Vidua chalybeata"	"6-asm_curation"	"81927"	"phase3"
"gray short-tailed opossum"	"Didelphidae"	"Didelphimorphia"	"Monodelphis domestica"	"4-asm_progress"	"13616"	"phase1"
""	"Galaxiidae"	"Galaxiiformes"	"Aplochiton taeniatus"	"8-NCBI"	"946358"	"phase1"
"gilthead seabream"	"Sparidae"	"Spariformes"	"Sparus aurata"	"8-NCBI"	"8175"	"phase1"
"Kuhl's pipistrelle"	"Vespertilionidae"	"Chiroptera"	"Pipistrellus kuhlii"	"8-NCBI"	"59472"	"phase4"
"kagu"	"Rhynochetidae"	"Gruiformes"	"Rhynochetos jubatus"	"2-data_progress"	"54386"	"phase1"
"plumbeous ibis"	"Threskiornithidae"	"Pelecaniformes"	"Theristicus caerulescens"	"8-NCBI"	"1118847"	"phase1"
"rock gunnel"	"Pholidae"	"Perciformes"	"Pholis gunnellus"	"8-NCBI"	"56726"	"phase2"
"barbel"	"Cyprinidae"	"Cypriniformes"	"Barbus barbus"	"2-data_progress"	"40830"	"phase2"
"Barn swallow"	"Hirundinidae"	"Passeriformes"	"Hirundo rustica"	"8-NCBI"	"43150"	"phase2"
"Dalmatian pelican"	"Pelecanidae"	"Pelecaniformes"	"Pelecanus crispus"	"5-asm_done"	"36300"	"phase1"
"tailed frog"	"Ascaphidae"	"Anura"	"Ascaphus truei"	"2-data_progress"	"8439"	"phase1"
"banded archerfish"	"Toxotidae"	""	"Toxotes jaculatrix"	"8-NCBI"	"941984"	"phase1"
"rock ptarmigan"	"Phasianidae"	"Galliformes"	"Lagopus muta"	"7-asm_curated"	"64668"	"phase3"
"false killer whale"	"Delphinidae"	"Artiodactyla"	"Pseudorca crassidens"	"2-data_progress"	"82174"	"phase2"
"freshwater garfish"	"Belonidae"	"Beloniformes"	"Xenentodon cancila"	"8-NCBI"	"129108"	"phase1"
"Micronesian kingfisher"	"Alcedinidae"	"Coraciiformes"	"Todiramphus cinnamominus"	"2-data_progress"	"1006542"	"phase2"
"Anna's hummingbird"	"Trochilidae"	"Apodiformes"	"Calypte anna"	"8-NCBI"	"9244"	"phase1"
"Boeseman's rainbowfish"	"Melanotaeniidae"	"Atheriniformes"	"Melanotaenia boesemani"	"8-NCBI"	"1250792"	"phase1"
"European starfish"	"Asteriidae"	"Forcipulatida"	"Asterias rubens"	"8-NCBI"	"7604"	"phase1"
"Sardinian tree frog"	"Hylidae"	"Anura"	"Hyla sarda"	"2-data_progress"	"327740"	"phase3"
"banded killifish"	"Fundulidae"	"Cyprinodontiformes"	"Fundulus diaphanus"	"2-data_progress"	"54267"	"phase2"
"American flamingo"	"Phoenicopteridae"	"Phoenicopteriformes"	"Phoenicopterus ruber"	"8-NCBI"	"9217"	"phase1"
"American robin"	"Turdidae"	"Passeriformes"	"Turdus migratorius"	"0-data_queued"	"9188"	"phase4"
"trahira"	"Erythrinidae"	"Characiformes"	"Hoplias malabaricus"	"2-data_progress"	"27720"	"phase2"
"common swift"	"Apodidae"	"Apodiformes"	"Apus apus"	"8-NCBI"	"8895"	"phase1"
"cattle"	"Bovidae"	"Artiodactyla"	"Bos taurus"	"8-NCBI"	"9913"	"phase1"
"pale spear-nosed bat"	"Phyllostomidae"	"Chiroptera"	"Phyllostomus discolor"	"8-NCBI"	"89673"	"phase1"
"Harpy eagle"	"Accipitridae"	"Falconiformes"	"Harpia harpyja"	"6-asm_curation"	"202280"	"phase3"
"eastern musk turtle"	"Kinosternidae"	"Testudines"	"Sternotherus odoratus"	"2-data_progress"	"142480"	"phase1"
"copperband butterflyfish"	"Chaetodontidae"	"Chaetodontiformes"	"Chelmon rostratus"	"8-NCBI"	"109905"	"phase1"
"horn shark"	"Heterodontidae"	"Heterodontiformes"	"Heterodontus francisci"	"2-data_progress"	"7792"	"phase1"
"olive python"	"Pythonidae"	"Squamata"	"Liasis olivaceus"	"2-data_progress"	"283338"	"phase2"
"house finch"	"Fringillidae"	"Passeriformes"	"Haemorhous mexicanus"	"6-asm_curation"	"30427"	"phase2"
"hawaiian crow"	"Corvidae"	"Passeriformes"	"Corvus hawaiiensis"	"8-NCBI"	"134902"	"phase4"
"Brown-headed cowbird"	"Icteridae"	"Passeriformes"	"Molothrus ater"	"0-data_queued"	"84834"	"phase3"
"Riggenbach's reed frog"	"Hyperoliidae"	"Anura"	"Hyperolius riggenbachi"	"2-data_progress"	"752182"	"phase1"
"painted frog"	"Alytidae"	"Anura"	"Discoglossus pictus"	"7-asm_curated"	"8351"	"phase1"
"lanner falcon"	"Falconidae"	"Falconiformes"	"Falco biarmicus"	"7-asm_curated"	"345155"	"phase4"
"climbing perch"	"Anabantidae"	"Anabantiformes"	"Anabas testudineus"	"8-NCBI"	"64144"	"phase1"
"southern two-toed sloth"	"Megalonychidae"	"Folivora"	"Choloepus didactylus"	"8-NCBI"	"27675"	"phase1"
"chicken"	"Phasianidae"	"Galliformes"	"Gallus gallus"	"8-NCBI"	"9031"	"phase1"
"Eastern phoebe"	"Tyrannidae"	"Passeriformes"	"Sayornis phoebe"	"1-DNA_isolation"	"56315"	"phase2"
"leatherback sea turtle"	"Dermochelyidae"	"Testudines"	"Dermochelys coriacea"	"8-NCBI"	"27794"	"phase1"
"golden eagle"	"Accipitridae"	"Falconiformes"	"Aquila chrysaetos"	"8-NCBI"	"8962"	"phase1"
"Western terrestrial garter snake"	"Colubridae"	"Squamata"	"Thamnophis elegans"	"8-NCBI"	"35005"	"phase1"
"Abyssinian ground-hornbill"	"Bucorvidae"	"Bucerotiformes"	"Bucorvus abyssinicus"	"8-NCBI"	"153643"	"phase1"
"zebrafish"	"Danionidae"	"Cypriniformes"	"Danio rerio"	"8-NCBI"	"7955"	"phase1"
"stoplight loosejaw"	"Stomiidae"	"Stomiiformes"	"Malacosteus niger"	"2-data_progress"	"76143"	"phase2"
"Philippine flying lemur"	"Cynocephalidae"	"Dermoptera"	"Cynocephalus volans"	"2-data_progress"	"110931"	"phase1"
"Mexican gopher tortoise"	"Testudinidae"	"Testudines"	"Gopherus flavomarginatus"	"7-asm_curated"	"286002"	"phase4"
"pejerrey"	"Atherinopsidae"	"Atheriniformes"	"Odontesthes bonariensis"	"2-data_progress"	"219752"	"phase2"
"acorn worm"	"Harrimaniidae"	"Enteropneusta"	"Saccoglossus kowalevskii"	"2-data_progress"	"10224"	"phase2"
"barnacle goose"	"Anatidae"	"Anseriformes"	"Branta leucopsis"	"5-asm_done"	"184711"	"phase3"
"diamondback terrapin"	"Emydidae"	"Testudines"	"Malaclemys terrapin"	"2-data_progress"	"8485"	"phase1"
"white-tufted-ear marmoset"	"Cebidae"	"Primates"	"Callithrix jacchus"	"8-NCBI"	"9483"	"phase1"
"gyrfalcon"	"Falconidae"	"Falconiformes"	"Falco rusticolus"	"8-NCBI"	"120794"	"phase1"
"chimpanzee"	"Hominidae"	"Primates"	"Pan troglodytes"	"5-asm_done"	"9598"	"phase4"
"orbiculate cardinalfish"	"Apogonidae"	"Kurtiformes"	"Sphaeramia orbicularis"	"8-NCBI"	"375764"	"phase1"
"shanny"	"Blenniidae"	"Blenniiformes"	"Lipophrys pholis"	"2-data_progress"	"56720"	"phase3"
"Indian glassy fish"	"Ambassidae"	"Ovalentaria"	"Parambassis ranga"	"8-NCBI"	"210632"	"phase1"
"common toad"	"Bufonidae"	"Anura"	"Bufo bufo"	"8-NCBI"	"8384"	"phase1"
"river trout"	"Salmonidae"	"Salmoniformes"	"Salmo trutta"	"8-NCBI"	"8032"	"phase1"
"carmine bee-eater"	"Meropidae"	"Coraciiformes"	"Merops nubicus"	"8-NCBI"	"57421"	"phase1"
"reedfish"	"Polypteridae"	"Polypteriformes"	"Erpetoichthys calabaricus"	"8-NCBI"	"27687"	"phase1"
"eastern narrow-mouthed toad"	"Microhylidae"	"Anura"	"Gastrophryne carolinensis"	"2-data_progress"	"8429"	"phase1"
"delta smelt"	"Osmeridae"	"Osmeriformes"	"Hypomesus transpacificus"	"4-asm_progress"	"137520"	"phase3"
"common bottlenose dolphin"	"Delphinidae"	"Artiodactyla"	"Tursiops truncatus"	"8-NCBI"	"9739"	"phase3"
"snow crab"	"Majidae"	"Decapoda"	"Chionoecetes opilio"	"2-data_progress"	"41210"	"phase2"
"Nelson's sparrow"	"Passerellidae"	"Passeriformes"	"Ammospiza nelsoni"	"3-data_done"	"2857394"	"phase3"
"garden warbler"	"Sylviidae"	"Passeriformes"	"Sylvia borin"	"8-NCBI"	"73324"	"phase2"
"common myna"	"Sturnidae"	"Passeriformes"	"Acridotheres tristis"	"6-asm_curation"	"279927"	"phase3"
"cunner"	"Labridae"	"Perciformes"	"Tautogolabrus adspersus"	"8-NCBI"	"34787"	"phase3"
"Gabon caecilian"	"Dermophiidae"	"Gymnophiona"	"Geotrypetes seraphini"	"8-NCBI"	"260995"	"phase1"
"Indo-Pacific tarpon"	"Megalopidae"	"Elopiformes"	"Megalops cyprinoides"	"8-NCBI"	"118141"	"phase1"
"Atlantic cod"	"Gadidae"	"Gadiformes"	"Gadus morhua"	"8-NCBI"	"8049"	"phase1"
"nine-banded armadillo"	"Dasypodidae"	"Cingulata"	"Dasypus novemcinctus"	"2-data_progress"	"9361"	"phase1"
"smalltooth sawfish"	"Pristidae"	"Rhinopristiformes"	"Pristis pectinata"	"8-NCBI"	"685728"	"phase1"
"honeycomb rockfish"	"Sebastidae"	"Perciformes"	"Sebastes umbrosus"	"8-NCBI"	"72105"	"phase2"
"Australian echidna"	"Tachyglossidae"	"Monotremata"	"Tachyglossus aculeatus"	"8-NCBI"	"9261"	"phase2"
"midwater eelpout"	"Zoarcidae"	"Perciformes"	"Melanostigma pammelas"	"2-data_progress"	"557412"	"phase2"
"grey catbird"	"Mimidae"	"Passeriformes"	"Dumetella carolinensis"	"0-data_queued"	"111981"	"phase2"
"lesser kestrel"	"Falconidae"	"Falconiformes"	"Falco naumanni"	"8-NCBI"	"148594"	"phase4"
"tawny frogmouth"	"Podargidae"	"Caprimulgiformes"	"Podargus strigoides"	"3-data_done"	"8905"	"phase1"
"red-bellied piranha"	"Serrasalmidae"	"Characiformes"	"Pygocentrus nattereri"	"8-NCBI"	"42514"	"phase1"
"bramble shark"	"Echinorhinidae"	"Echinorhiniformes"	"Echinorhinus brucus"	"1-DNA_isolation"	"862826"	"phase1"
"striped catfish"	"Pangasiidae"	"Siluriformes"	"Pangasianodon hypophthalmus"	"7-asm_curated"	"310915"	"phase2"
"Pallas's mastiff bat"	"Molossidae"	"Chiroptera"	"Molossus molossus"	"8-NCBI"	"27622"	"phase2"
"Whooping crane"	"Gruidae"	"Gruiformes"	"Grus americana"	"4-asm_progress"	"9117"	"phase3"
"California sea lion"	"Otariidae"	"Carnivora"	"Zalophus californianus"	"8-NCBI"	"9704"	"phase2"
"chipping sparrow"	"Passerellidae"	"Passeriformes"	"Spizella passerina"	"1-DNA_isolation"	"40210"	"phase3"
"tarantolino"	"Sphaerodactylidae"	"Squamata"	"Euleptes europaea"	"2-data_progress"	"460621"	"phase1"
""	"Arcidae"	"Arcoida"	"Anadara tuberculosa"	"0-data_queued"	"173065"	"phase2"
"common yellowthroat"	"Parulidae"	"Passeriformes"	"Geothlypis trichas"	"8-NCBI"	"135433"	"phase2"
"Green sea turtle"	"Cheloniidae"	"Testudines"	"Chelonia mydas"	"8-NCBI"	"8469"	"phase1"
""	"Trichomycteridae"	"Siluriformes"	"Trichomycterus rosablanca"	"0-data_queued"	"2290929"	"phase2"
"lumpfish"	"Cyclopteridae"	"Scorpaeniformes"	"Cyclopterus lumpus"	"8-NCBI"	"8103"	"phase1"
"yellow-spotted hyrax"	"Procaviidae"	"Hyracoidea"	"Heterohyrax brucei"	"5-asm_done"	"77598"	"phase1"
"grey catbird"	"Mimidae"	"Passeriformes"	"Dumetella carolinensis"	"0-data_queued"	"111981"	"phase4"
"sand lizard"	"Lacertidae"	"Squamata"	"Lacerta agilis"	"8-NCBI"	"80427"	"phase1"
"common frog"	"Ranidae"	"Anura"	"Rana temporaria"	"8-NCBI"	"8407"	"phase1"
"Humboldt's penguin"	"Spheniscidae"	"Sphenisciformes"	"Spheniscus humboldti"	"2-data_progress"	"9240"	"phase1"
