# project_name DToL	...2	...3	...4	...5
# subproject_name Fungi Working Group	NA	NA	NA	NA
# primary_contact Esther Gaya	NA	NA	NA	NA
# primary_contact_institution Royal Botanic Gardens Kew, Twickenham, London UK	NA	NA	NA	NA
# schema_version dtol_species_goat_2.0	NA	NA	NA	NA
# date_of_update 2021-02-11	NA	NA	NA	NA
# Genus species family status	NA	NA	NA	NA
Cephalotheca	sulfurea	Cephalothecaceae	DTOL	DTOL	DTOL	NA
Ceratium	hydnoides	Ceratiomyxidae	DTOL	DTOL	DTOL	NA
Ceratobasidium	calosporum	Ceratobasidiaceae	DTOL	DTOL	DTOL	NA
Ceratocystis	autographa	Ceratocystidaceae	DTOL	DTOL	DTOL	NA
Sporendocladia	fumosa	Ceratocystidaceae	DTOL	DTOL	DTOL	NA
Helodiomyces	elegans	Ceratomycetaceae	DTOL	DTOL	DTOL	NA
Ceratosphaeria	lampadophora	Ceratosphaeriaceae	DTOL	DTOL	DTOL	NA
Ceratosphaeria	fragilis	Ceratosphaeriaceae	DTOL	DTOL	DTOL	NA
Melanospora	lagenaria	Ceratostomataceae	DTOL	DTOL	DTOL	NA
Sphaerodes	fimicola	Ceratostomataceae	DTOL	DTOL	DTOL	NA
Hainesia	rubi	Chaetomellaceae	DTOL	DTOL	DTOL	NA
Pilidium	concavum	Chaetomellaceae	DTOL	DTOL	DTOL	NA
Chaetomium	globosum	Chaetomiaceae	DTOL	DTOL	DTOL	NA
Chaetosphaerella	phaeostroma	Chaetosphaerellaceae	DTOL	DTOL	DTOL	NA
Chaetosphaeria	innumera	Chaetosphaeriaceae	DTOL	DTOL	DTOL	NA
Ceramothyrium	europaeum	Chaetothyriaceae	DTOL	DTOL	DTOL	NA
Chionosphaera	coppinsii	Chionosphaeraceae	DTOL	DTOL	DTOL	NA
Stilbum	anomalum	Chionosphaeraceae	DTOL	DTOL	DTOL	NA
Chlorociboria	aeruginosa	Chlorociboriaceae	DTOL	DTOL	DTOL	NA
Chlorosplenium	viridulum	Chlorospleniaceae	DTOL	DTOL	DTOL	NA
Desmazierella	acicola	Chorioactidaceae	DTOL	DTOL	DTOL	NA
Chrysothrix	candelaris	Chrysotrichaceae	DTOL	DTOL	DTOL	NA
Chrysothrix	flavovirens	Chrysotrichaceae	DTOL	DTOL	DTOL	NA
Chytridium	isthmiophilum	Chytridiaceae	DTOL	DTOL	DTOL	NA
Phlyctochytrium	planicorne	Chytridiaceae	DTOL	DTOL	DTOL	NA
Chytriomyces	hyalinus	Chytriomycetaceae	DTOL	DTOL	DTOL	NA
Cladochytrium	tenue	Cladochytriaceae	DTOL	DTOL	DTOL	NA
Cladonia	fimbriata	Cladoniaceae	DTOL	DTOL	DTOL	NA
Cladonia	pyxidata	Cladoniaceae	DTOL	DTOL	DTOL	NA
Cladosporium	chlorocephalum	Cladosporiaceae	DTOL	DTOL	DTOL	NA
Cladosporium	epiphyllum	Cladosporiaceae	DTOL	DTOL	DTOL	NA
Classicula	fluitans	Classiculaceae	DTOL	DTOL	DTOL	NA
