Family	Genus	Species	Status	2020	lowest_priority	2021	2022	sample_collected	other_priority	family_representative	long_list
Gymnomitriaceae	Gymnomitrion	concinnatum	dtol								DTOL
Gymnomitriaceae	Gymnomitrion	corallioides	dtol								DTOL
Gymnomitriaceae	Gymnomitrion	crenulatum	dtol								DTOL
Gymnomitriaceae	Gymnomitrion	obtusum	dtol			yes		DTOL			DTOL
Gymnomitriaceae	Marsupella	apiculata	dtol								DTOL
Gymnomitriaceae	Marsupella	aquatica	dtol			yes		DTOL			DTOL
Gymnomitriaceae	Marsupella	arctica	dtol								DTOL
Gymnomitriaceae	Marsupella	boeckii	dtol								DTOL
Gymnomitriaceae	Marsupella	condensata	dtol								DTOL
Gymnomitriaceae	Marsupella	emarginata	dtol_family_representative	yes				DTOL		DTOL	DTOL
Gymnomitriaceae	Marsupella	funckii	dtol								DTOL
Gymnomitriaceae	Marsupella	profunda	dtol								DTOL
Gymnomitriaceae	Marsupella	sparsifolia	dtol								DTOL
Gymnomitriaceae	Marsupella	sphacelata	dtol								DTOL
Gymnomitriaceae	Marsupella	sprucei	dtol								DTOL
Gymnomitriaceae	Marsupella	stableri	dtol								DTOL
Gymnomitriaceae	Nardia	breidleri	dtol								DTOL
Gymnomitriaceae	Nardia	compressa	dtol								DTOL
Gymnomitriaceae	Nardia	geoscyphus	dtol								DTOL
Gymnomitriaceae	Nardia	insecta	dtol								DTOL
Gymnomitriaceae	Nardia	scalaris	dtol_other_priority			yes		DTOL	DTOL		DTOL
Haplomitriaceae	Haplomitrium	hookeri	dtol_family_representative							DTOL	DTOL
Harpanthaceae	Harpanthus	flotovianus	dtol_family_representative			yes		DTOL		DTOL	DTOL
Harpanthaceae	Harpanthus	scutatus	dtol_other_priority						DTOL		DTOL
Herbertaceae	Herbertus	borealis	dtol_other_priority			yes		DTOL	DTOL		DTOL
Herbertaceae	Herbertus	hutchinsiae	dtol_family_representative			yes		DTOL		DTOL	DTOL
Herbertaceae	Herbertus	norenus	dtol								DTOL
Herbertaceae	Herbertus	stramineus	dtol			yes		DTOL			DTOL
Hygrobiellaceae	Hygrobiella	laxifolia	dtol_family_representative							DTOL	DTOL
Jubulaceae	Jubula	hutchinsiae	dtol_family_representative							DTOL	DTOL
Jungermanniaceae	Eremonotus	myriocarpus	dtol								DTOL
