"Order","Family","Genus","Species","femalediploidnumber","malediploidnumber","haploidnumber","reproductivemode","sexchromosome","notes","citation"
"Dermaptera","Labiduridae","Labidura","Labidura riparia","12","12","6","gonochorous","XY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Labidura","Labidura riparia","14","14","7","gonochorous","XY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Labidura","Labidura truncata","10","10","5","gonochorous","XY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Labidura","Labidura truncata","10","10","5","gonochorous","XY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Nala","Nala lividipes","34","34","17","gonochorous","XY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Nala","Nala lividipes","38","37","19","gonochorous","XXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Nala","Nala lividipes","40","40","20","gonochorous","XY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Parisopsalis","Parisopsalis spryi","34","32","17","gonochorous","XXXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiidae","Labia","Labia minor","14","14","7","gonochorous","XY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Plecoptera","Perlidae","Perla","Perla marginata","24","22","12","gonochorous","XXOO","X1X1X2X2/X1X2OO","Junker, H. (1923). Cytologische Untersuchungen an den Geschlechtsorganen der halbzwitterigen Steinfliege Perla marginata (Panzer) (Doctoral dissertation, W. Engelmann)."
"Mantodea","Mantidae","Stagmomantis","Stagmomantis carolina","28","27","14","gonochorous","XXY","","King, R. L. (1931). Chromosomes of three species of Mantidae.Journal of Morphology,52(2), 525-533."
"Mantophasmatodea","Austrophasmatidae","Karoophasma","Karoophasma biedouwense","14","13","7","gonochorous","XO","","Lachowska-Cierlik, D., Marya?ska-Nadachowska, A., Kuznetsova, V., & Picker, M. (2015). First chromosomal study of Mantophasmatodea: Karyotype of Karoophasma biedouwense (Austrophasmatidae).European Journal of Entomology,112(4)."
"Phasmatodea","Diapheromeridae","Phaenopharos","Phaenopharos khaoyaiensis","70","NA","35","parthenogenetic","","","Liehr, T., Buleu, O., Karamysheva, T., Bugrov, A., & Rubtsov, N. (2017). New Insights into Phasmatodea Chromosomes.Genes,8(11), 327."
"Phasmatodea","Heteropterygidae","Sungaya","Sungaya inexpectata","44","NA","22","parthenogenetic","","","Liehr, T., Buleu, O., Karamysheva, T., Bugrov, A., & Rubtsov, N. (2017). New Insights into Phasmatodea Chromosomes.Genes,8(11), 327."
"Phasmatodea","Phasmatidae","Medauroidea","Medauroidea extradentata","38","37","19","gonochorous","XO","","Liehr, T., Buleu, O., Karamysheva, T., Bugrov, A., & Rubtsov, N. (2017). New Insights into Phasmatodea Chromosomes.Genes,8(11), 327."
"Phasmatodea","Phasmatidae","Medauroidea","Medauroidea extradentata","38","NA","19","parthenogenetic","","","Liehr, T., Buleu, O., Karamysheva, T., Bugrov, A., & Rubtsov, N. (2017). New Insights into Phasmatodea Chromosomes.Genes,8(11), 327."
"Phasmatodea","Pseudophasmatidae","Peruphasma","Peruphasma schultei","44","43","22","gonochorous","XO","","Liehr, T., Buleu, O., Karamysheva, T., Bugrov, A., & Rubtsov, N. (2017). New Insights into Phasmatodea Chromosomes.Genes,8(11), 327."
"Isoptera","Kalotermitidae","Bifiditermes","Bifiditermes improbus","36","35","18","gonochorous","XXY","X1X1X2X2/X1X2Y1","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes austrinus","NA","40","20","gonochorous","","","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes brevis","36","37","18","gonochorous","XYY","X1X1/X1Y1Y2","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes cynocephalus","44","43","22","gonochorous","XXY","X1X1X2X2/X1X2Y1","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes dudleyi","40","40","20","gonochorous","","","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes primus","30","NA","15","gonochorous","","","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes queenslandis","42","41","21","gonochorous","XXY","X1X1X2X2/X1X2Y1","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes secundus","40","40","20","gonochorous","","","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Cryptotermes","Cryptotermes secundus","40","NA","20","","","","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Glyptotermes","Glyptotermes brevicornis","42","NA","21","gonochorous","","","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Glyptotermes","Glyptotermes iridipennis","NA","42","21","gonochorous","","","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Neotermes","Neotermes insularis","52","52","26","gonochorous","XXXYYY","","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
