input	suggested
Carabus deyrollei_	carabus deyrollei
Carabus fruhstorferi_	carabus fruhstorferi
Carabus galicianus_	carabus galicianus
Carabus ghiliani_	carabus ghiliani
Carabus ghilianii	carabus ghiliani
Carabus glabratus_	carabus glabratus
Carabus glabratus_glabratus_	carabus glabratus glabratus
Carabus granulatus_	carabus granulatus
Carabus granulatus_granulatus_	carabus granulatus granulatus
Carabus guadarramus_	carabus guadarramus
Carabus hispanus_	carabus hispanus
Carabus hortensis_hortensis_	carabus hortensis hortensis
Carabus intricatus_	carabus intricatus
Carabus intricatus_intricatus_	carabus intricatus intricatus
Carabus lineatus_lateralis_	carabus lineatus lateralis
Carabus lineatus_lineatus_	carabus lineatus lineatus
Carabus lusitanicus_brevis_	carabus lusitanicus brevis
Carabus macrocephalus_	carabus macrocephalus
Carabus macrocephalus_cantabricus_	carabus macrocephalus cantabricus
Carabus melancholicus_costatus_	carabus melancholicus costatus
Carabus monticola_	carabus monticola
Carabus nemoralis_	carabus nemoralis
Carabus nemoralis_nemoralis_	carabus nemoralis nemoralis
Carabus nitens_	carabus nitens
Carabus olympia	carabus olympiae
Carabus problematicus_	carabus problematicus
Carabus punctatoauratus_	carabus punctatoauratus
Carabus rutilans_	carabus rutilans
Carabus serratus_	carabus serratus
Carabus solieri_	carabus solieri
Carenum interruptum_	carenum interruptum
Carterus fulvipes_	carterus fulvipes
Carterus rotundicollis_	carterus rotundicollis
Chlaenius aestivus	chlaenius vestitus
Chlaenius impunctifrons_	chlaenius impunctifrons
Chlaenius laetiusculus	chlaenius laeviusculus
Chlaenius laetiusculus_	chlaenius laeviusculus
Chlaenius pallipes_	chlaenius pallipes
Chlaenius pennsylvanicus_	chlaenius pennsylvanicus
Chlaenius praefectus_	chlaenius praefectus
Chlaenius tricolor_	chlaenius tricolor
Chlaenius vestitus_	chlaenius vestitus
Cicindela ancocisconensis_	cicindela ancocisconensis
Cicindela argentata_	cicindela argentata
Cicindela aterrima_	cicindela aterrima
Cicindela aurulenta_	cicindela aurulenta
Cicindela campestris_	cicindela campestris
Cicindela deserticoloides_	cicindela deserticoloides
Cicindela dorsalis_	cicindela dorsalis
Cicindela duodecimguttata_	cicindela duodecimguttata
Cicindela flohri_	cicindela flohri
Cicindela formosa_generosa_	cicindela formosa generosa
Cicindela fulgoris_	cicindela fulgoris
Cicindela hemichrysea_	cicindela hemichrysea
Cicindela hybrida_	cicindela hybrida
Cicindela lemniscata_	cicindela lemniscata
Cicindela littoralis_	cicindela littoralis
Cicindela marutha_	cicindela marutha
Cicindela nebuligera_	cicindela nebuligera
Cicindela nigrocoerulea_	cicindela nigrocoerulea
Cicindela obsoleta_	cicindela obsoleta
Cicindela ocellata_	cicindela ocellata
Cicindela orego_	cicindela oregona
