family	genus	species	merged_genus_species	number_chromosomes	min_k	reference	ncbi_taxon_code	name	preferred_name_at_ncbi	taxid
Nymphalidae	Hypna	huebneri	Hypna huebneri	6	6	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Hypna huebneri	NA	NA
Nymphalidae	Hypoleria	aelia pachiteae	Hypoleria aelia pachiteae	8	8	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Hypoleria aelia pachiteae	NA	NA
Nymphalidae	Hypoleria	orolina	Hypoleria orolina	15	15	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Hypoleria orolina	NA	NA
Nymphalidae	Hypoleria	sarepta virginia ,	Hypoleria sarepta virginia ,	44-45	44	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Hypoleria sarepta virginia ,	NA	NA
Nymphalidae	Hypolimnas	bolina kezia	Hypolimnas bolina kezia	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Hypolimnas bolina kezia	NA	NA
Nymphalidae	Hypomenitis	cyrcilla	Hypomenitis cyrcilla	24	24	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Hypomenitis cyrcilla	NA	NA
Nymphalidae	Hyposcada	attilodes	Hyposcada attilodes	13	13	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Hyposcada attilodes	NA	NA
Nymphalidae	Hypothyris	daeta	Hypothyris daeta	18-19	18	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Hypothyris daeta	NA	NA
Nymphalidae	Hypothyris	evanescens	Hypothyris evanescens	21-22	21	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Hypothyris evanescens	NA	NA
Nymphalidae	Hypothyris	rowena	Hypothyris rowena	9	9	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Hypothyris rowena	NA	NA
Nymphalidae	Hypothyris	vallonia	Hypothyris vallonia	20	20	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Hypothyris vallonia	NA	NA
Nymphalidae	Hypothyris	valora	Hypothyris valora	16	16	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Hypothyris valora	NA	NA
Nymphalidae	Inachus	io geisha	Inachus io geisha	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Inachus io geisha	NA	NA
Nymphalidae	Ithomia	pellucida	Ithomia pellucida	14	14	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Ithomia pellucida	NA	NA
Nymphalidae	Junonia	chorimene	Junonia chorimene	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Junonia chorimene	NA	NA
Nymphalidae	Kalkasia	philyra	Kalkasia philyra	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Kalkasia philyra	NA	NA
Nymphalidae	Kaniska	canace drilon	Kaniska canace drilon	31	31	Maeki, K. & ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera  3. Nymphalidae and Libytheidae. Kontyu 37: 91–98.	3	Kaniska canace drilon	NA	NA
Nymphalidae	Ladoga	glorifica	Ladoga glorifica	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Ladoga glorifica	NA	NA
Nymphalidae	Limenitis	anonyma	Limenitis anonyma	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Limenitis anonyma	NA	NA
Nymphalidae	Limenitis	astyanax	Limenitis astyanax	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Limenitis astyanax	NA	NA
Nymphalidae	Lycorea	pasinuntia	Lycorea pasinuntia	22	22	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Lycorea pasinuntia	NA	NA
Nymphalidae	Manataria	hyrnethia	Manataria hyrnethia	28	28	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Manataria hyrnethia	NA	NA
Nymphalidae	Mcclungia	fallens	Mcclungia fallens	13	13	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Mcclungia fallens	NA	NA
Nymphalidae	Mechanitis	dariensis	Mechanitis dariensis	20	20	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Mechanitis dariensis	NA	NA
Nymphalidae	Mechanitis	menecles	Mechanitis menecles	15	15	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Mechanitis menecles	NA	NA
Nymphalidae	Melinaea	maelus	Melinaea maelus	15	15	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Melinaea maelus	NA	NA
Nymphalidae	Melinaea	paraiya	Melinaea paraiya	23	23	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Melinaea paraiya	NA	NA
Nymphalidae	Melinaea	phasiana	Melinaea phasiana	15	15	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Melinaea phasiana	NA	NA
Nymphalidae	Melitaea	iduna	Melitaea iduna	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Melitaea iduna	NA	NA
Nymphalidae	Melitaea	maturna	Melitaea maturna	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Melitaea maturna	NA	NA
Nymphalidae	Melitaea	transcaucasica	Melitaea transcaucasica	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Melitaea transcaucasica	NA	NA
Nymphalidae	Memphis	glauce felderi	Memphis glauce felderi	50	50	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Memphis glauce felderi	NA	NA
Nymphalidae	Memphis	laura balboa	Memphis laura balboa	26	26	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Memphis laura balboa	NA	NA
Nymphalidae	Memphis	nenia a	Memphis nenia a	26	26	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Memphis nenia a	NA	NA
Nymphalidae	Memphis	nenia b	Memphis nenia b	31	31	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Memphis nenia b	NA	NA
Nymphalidae	Memphis	perenna austrina	Memphis perenna austrina	30	30	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Memphis perenna austrina	NA	NA
Nymphalidae	Mesoacidalia	charlotta	Mesoacidalia charlotta	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Mesoacidalia charlotta	NA	NA
Nymphalidae	Mesoacidalia	charlotta basalis	Mesoacidalia charlotta basalis	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Mesoacidalia charlotta basalis	NA	NA
Nymphalidae	Mestra	dorcas apicalis	Mestra dorcas apicalis	31	31	Brown, K.S., Freitas, A.V.L., Wahlberg, N., Schoultz, Von, B., Saura, A.O. & Saura, A. (2007). Chromosomal evolution in the South American Nymphalidae. Hereditas 144: 137–148.	3	Mestra dorcas apicalis	NA	NA
Nymphalidae	Mestra	dorcas hersilia	Mestra dorcas hersilia	31	31	Brown, K.S., Freitas, A.V.L., Wahlberg, N., Schoultz, Von, B., Saura, A.O. & Saura, A. (2007). Chromosomal evolution in the South American Nymphalidae. Hereditas 144: 137–148.	3	Mestra dorcas hersilia	NA	NA
Nymphalidae	Mestra	dorcas semifulva	Mestra dorcas semifulva	33	33	Brown, K.S., Freitas, A.V.L., Wahlberg, N., Schoultz, Von, B., Saura, A.O. & Saura, A. (2007). Chromosomal evolution in the South American Nymphalidae. Hereditas 144: 137–148.	3	Mestra dorcas semifulva	NA	NA
Nymphalidae	Metamorpha	stelenes	Metamorpha stelenes	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Metamorpha stelenes	NA	NA
Nymphalidae	Methona	megisto	Methona megisto	14	14	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Methona megisto	NA	NA
Nymphalidae	Morpho	anakreon	Morpho anakreon	28	28	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Morpho anakreon	NA	NA
Nymphalidae	Morpho	coeruleus	Morpho coeruleus	30	30	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Morpho coeruleus	NA	NA
Nymphalidae	Morpho	insularis	Morpho insularis	28	28	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Morpho insularis	NA	NA
Nymphalidae	Morpho	leontius	Morpho leontius	28	28	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Morpho leontius	NA	NA
Nymphalidae	Morpho	pindarus	Morpho pindarus	28	28	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Morpho pindarus	NA	NA
Nymphalidae	Morpho	rugitaeniatus	Morpho rugitaeniatus	28	28	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Morpho rugitaeniatus	NA	NA
Nymphalidae	Morpho	violaceus	Morpho violaceus	28	28	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Morpho violaceus	NA	NA
Nymphalidae	Napeogenes	cyrianassa	Napeogenes cyrianassa	32	32	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Napeogenes cyrianassa	NA	NA
Nymphalidae	Napeogenes	harbona domiduca	Napeogenes harbona domiduca	6	6	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Napeogenes harbona domiduca	NA	NA
Nymphalidae	Napeogenes	inachia johnsoni , pozziana (NW)	Napeogenes inachia johnsoni , pozziana (NW)	13-14	13	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Napeogenes inachia johnsoni , pozziana (NW)	NA	NA
Nymphalidae	Napeogenes	pyrois	Napeogenes pyrois	22	22	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Napeogenes pyrois	NA	NA
Nymphalidae	Narope	cyllarus	Narope cyllarus	29	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Narope cyllarus	NA	NA
Nymphalidae	Narope	panniculus	Narope panniculus	29	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Narope panniculus	NA	NA
Nymphalidae	Neptis	ananta taiwana	Neptis ananta taiwana	31-33	31	Maeki, K. & ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera  3. Nymphalidae and Libytheidae. Kontyu 37: 91–98.	3	Neptis ananta taiwana	NA	NA
Nymphalidae	Neptis	columella columella	Neptis columella columella	30	30	Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74.	3	Neptis columella columella	NA	NA
Nymphalidae	Neptis	morosa	Neptis morosa	28	28	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Neptis morosa	NA	NA
Nymphalidae	Neptis	praslini staudingercana	Neptis praslini staudingercana	30	30	Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14.	3	Neptis praslini staudingercana	NA	NA
Nymphalidae	Neptis	shepherdi	Neptis shepherdi	30	30	Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14.	3	Neptis shepherdi	NA	NA
Nymphalidae	Neptis	soma lutatia	Neptis soma lutatia	29	29	Maeki, K. & ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera  3. Nymphalidae and Libytheidae. Kontyu 37: 91–98.	3	Neptis soma lutatia	NA	NA
Nymphalidae	Nessaea	batesii	Nessaea batesii	11	11	Brown, K.S., Freitas, A.V.L., Wahlberg, N., Schoultz, Von, B., Saura, A.O. & Saura, A. (2007). Chromosomal evolution in the South American Nymphalidae. Hereditas 144: 137–148.	3	Nessaea batesii	NA	NA
Nymphalidae	Nessaea	hewitsonii	Nessaea hewitsonii	7	7	Brown, K.S., Freitas, A.V.L., Wahlberg, N., Schoultz, Von, B., Saura, A.O. & Saura, A. (2007). Chromosomal evolution in the South American Nymphalidae. Hereditas 144: 137–148.	3	Nessaea hewitsonii	NA	NA
Nymphalidae	Nessaea	obrinus b	Nessaea obrinus b	8	8	Brown, K.S., Freitas, A.V.L., Wahlberg, N., Schoultz, Von, B., Saura, A.O. & Saura, A. (2007). Chromosomal evolution in the South American Nymphalidae. Hereditas 144: 137–148.	3	Nessaea obrinus b	NA	NA
Nymphalidae	Nymphalis	canace	Nymphalis canace	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Nymphalis canace	NA	NA
Nymphalidae	Nymphalis	xanthomelas japonica	Nymphalis xanthomelas japonica	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Nymphalis xanthomelas japonica	NA	NA
Nymphalidae	Oleria	manora	Oleria manora	14	14	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Oleria manora	NA	NA
Nymphalidae	Oleria	onega crispinilla	Oleria onega crispinilla	22	22	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Oleria onega crispinilla	NA	NA
Nymphalidae	Oleria	peruvicola	Oleria peruvicola	13	13	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Oleria peruvicola	NA	NA
Nymphalidae	Oleria	victorine graziella	Oleria victorine graziella	9	9	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Oleria victorine graziella	NA	NA
Nymphalidae	Opsiphanes	cassiae crameri	Opsiphanes cassiae crameri	29	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Opsiphanes cassiae crameri	NA	NA
Nymphalidae	Opsiphanes	meridionalis	Opsiphanes meridionalis	29	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Opsiphanes meridionalis	NA	NA
Nymphalidae	Opsiphanes	remoliatus	Opsiphanes remoliatus	29	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Opsiphanes remoliatus	NA	NA
Nymphalidae	Opsiphanes	strophios	Opsiphanes strophios	29	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Opsiphanes strophios	NA	NA
Nymphalidae	Oxeoschistus	puerta simplex	Oxeoschistus puerta simplex	29	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Oxeoschistus puerta simplex	NA	NA
Nymphalidae	Pampasatyrus	nilesi	Pampasatyrus nilesi	41	41	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Pampasatyrus nilesi	NA	NA
Nymphalidae	Panacea	procilla	Panacea procilla	31	31	Brown, K.S., Freitas, A.V.L., Wahlberg, N., Schoultz, Von, B., Saura, A.O. & Saura, A. (2007). Chromosomal evolution in the South American Nymphalidae. Hereditas 144: 137–148.	3	Panacea procilla	NA	NA
Nymphalidae	Pandoriana	maja	Pandoriana maja	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Pandoriana maja	NA	NA
Nymphalidae	Paraneptis	pryeri	Paraneptis pryeri	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Paraneptis pryeri	NA	NA
Nymphalidae	Paraneptis	rivularis	Paraneptis rivularis	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Paraneptis rivularis	NA	NA
Nymphalidae	Pedaliodes	palaepolis	Pedaliodes palaepolis	29	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Pedaliodes palaepolis	NA	NA
Nymphalidae	Perisama	lebasii hilara	Perisama lebasii hilara	31-32	31	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Perisama lebasii hilara	NA	NA
Nymphalidae	Perisama	morona	Perisama morona	31	31	Brown, K.S., Freitas, A.V.L., Wahlberg, N., Schoultz, Von, B., Saura, A.O. & Saura, A. (2007). Chromosomal evolution in the South American Nymphalidae. Hereditas 144: 137–148.	3	Perisama morona	NA	NA
Nymphalidae	Pharneuptychia	pharnaces	Pharneuptychia pharnaces	25	25	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Pharneuptychia pharnaces	NA	NA
Nymphalidae	Pierella	chalybaea	Pierella chalybaea	29	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Pierella chalybaea	NA	NA
Nymphalidae	Pierella	rubecula	Pierella rubecula	29	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Pierella rubecula	NA	NA
Nymphalidae	Polygonia	vau-album samurai	Polygonia vau-album samurai	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Polygonia vau-album samurai	NA	NA
Nymphalidae	Polygrapha	suprema	Polygrapha suprema	29-30	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Polygrapha suprema	NA	NA
Nymphalidae	Polyura	agrerius	Polyura agrerius	26	26	Saitoh, K. & Abe, A. (1970). Chromosome studies in sixteen species of Himalayan butterflies (Nymphalidae and Lycaenidae). Special Bulletin of the Lepidopteran Society of Japan 4: 141–152.	3	Polyura agrerius	NA	NA
Nymphalidae	Precis	almana	Precis almana	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Precis almana	NA	NA
Nymphalidae	Precis	atlites atlites	Precis atlites atlites	31	31	Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74.	3	Precis atlites atlites	NA	NA
Nymphalidae	Precis	lemonias lemonias	Precis lemonias lemonias	31	31	Maeki, K. & Ae, S.A. (1968). A chromosomal study of seventeen species of butterflies from Hong Kong (Lepidopetera, Rhopalocera). Kontyu 36: 65–74.	3	Precis lemonias lemonias	NA	NA
Nymphalidae	Precis	orithya	Precis orithya	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Precis orithya	NA	NA
Nymphalidae	Precis	pelarga	Precis pelarga	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Precis pelarga	NA	NA
Nymphalidae	Precis	pelarga leodice	Precis pelarga leodice	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Precis pelarga leodice	NA	NA
Nymphalidae	Prepona	pylene bahiana	Prepona pylene bahiana	12	12	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Prepona pylene bahiana	NA	NA
Nymphalidae	Prepona	pylene laertides	Prepona pylene laertides	11	11	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Prepona pylene laertides	NA	NA
Nymphalidae	Prittwitzia	hymenaea	Prittwitzia hymenaea	15	15	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Prittwitzia hymenaea	NA	NA
Nymphalidae	Pronophila	cordillera	Pronophila cordillera	29	29	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Pronophila cordillera	NA	NA
