taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
	Ophiostoma mucronatum	CHROMADOREA	RHABDITIDA	SPIRURINA	CYSTIDICOLIDAE	6	2				Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	
	Seuratum mucronatum	CHROMADOREA	RHABDITIDA	SPIRURINA	CYSTIDICOLIDAE	6	2				AC Walton in Chitwood 1974	
	Cystidicola sp.	CHROMADOREA	RHABDITIDA	SPIRURINA	GNATHOSTOMATIDAE	6	2	XX/X0			** Mulsow, 1912 ex Terry et al., 1961 http://dx.doi.org/10.1051/parasite/2000073175	
	Ganguleterakis spumosa	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	6	2				Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	10, 11, 12
	Dipetalonema setariosum	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/12	
	Foleyella agamae	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	2	2				Obiamiwe et al., 1995 http://dx.doi.org/10.1051/parasite/2000073193	
	Onchocerca tarsicola	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/34	3, 4
	Hammerschmidtiella andersoni	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Mehdiella microstoma	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4 Adamson and Nasher (1987)	
	Mehdiella uncinata	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Tachygonetria conica	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Tachygonetria dentata	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Tachygonetria longicollis	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Tachygonetria macrolaimus	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Tachygonetria numidica	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Tachygonetria pusilla	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Tachygonetria setosa	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Tachygonetria vivipara	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	3	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Thelastoma sp.	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	4	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Proleptus robustus	CHROMADOREA	RHABDITIDA	SPIRURINA	PHYSALOPTERIDAE	8	2				Carnoy, 1886, Walton, 1940	
	Cystidicola cristiwomeri	CHROMADOREA	RHABDITIDA	SPIRURINA	RHABDOCHONIDAE	6	2	XX/X0			Boyes & Anderson, 1961 https://doi.org/10.1139/g61-026	
	Spirura talpae	CHROMADOREA	RHABDITIDA	SPIRURINA	SPIRURIDAE	8	2				Carnoy, 1886, Walton, 1940	6
	Anguina graminophila	CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	9	2				Parazitologiia. Jul-Aug 1977;11(4):366-8.	
	Aphelenchoides fragrariae	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	4	2			amphimixis	https://core.ac.uk/download/pdf/39878708.pdf	
	Aphelenchoides tuzeli	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	3	2			parthenogenesis	https://core.ac.uk/download/pdf/39878708.pdf	
	Seinura celeris	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	3	2			automixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Hechler & Taylor 1966	
	Seinura oliveiri	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	3	2			automixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Hechler & Taylor 1966	
	Seinura oxyurus	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2			automixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Hechler & Taylor 1966	
	Seinura tenuicaudata	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2	XX/X0		amphimixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Hechler 1963	
	Heterodera tabacum	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2			amphimixis	Triantaphyllou J Nem 2 26-32	
	Meloidogyne ardensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	51				apomixis	Janssen T, Karssen G, Topalović O, Coyne D, Bert W. Integrative taxonomy of root-knot nematodes reveals multiple independent origins of mitotic parthenogenesis. PLoS One. 2017;12: e0172190. doi:10.1371/journal.pone.0172190	
	Meloidogyne carolinensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2			amphimixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
	Meloidogyne graminia	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18				mitotic parthenogen	Triantaphyllou J Nem 2 26-32	
	Meloidogyne megatyla	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2			amphimixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
	Meloidogyne microcephala	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36				apomixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
	Meloidogyne morrociensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	47				apomixis	Rammah A, Hirschmann H: Meloidogyne morocciensis n. sp. (MELOIDOGYNIDAE), a Root-knot Nematode from Morocco. J Nematol 1990, 22:279–291.                                                                                                                                                                                 	
