institute	id_number	project	higher_group	family	genus	species	standard	buffer	mean1	mean2	cv1	cv2	ratio	ave_sample	ave_standard	gs_pg_2c_replicate	gs_pg_2c	gs_pg_1c	x1c_gbp	cv_sample	cv_standard	sd_r_sample	stdv_gs	measured_by	date	d_to_l_specimen_id	previous_estimate_2c_prime	comments_on_d_to_l_sample	x30	x31	x32	primary
RBGE	DB1635	DTOL	Bryophyte	Anastrophyllaceae	Neoorthocaulis	attenatus	<Solanum	GPB3%PVP	99.88	242.05	4.22	3.28	2.429	102.23	245.64	NA	1.66	0.83	0.81	4.36	3.12	0.023	NA	Sahr Mian	14/12/21	NA	NA	NA	NA	NA	NA	1
RBGE	DB1642	DTOL	Bryophyte	Notothyladaceae	Phaeoceros	laevis	<Oryza	GPB3%PVP	113.52	636.77	9.88	2.82	5.609	115.1	660.01	NA	0.35	0.17	0.17	8	2.79	0.181	NA	Sahr Mian	16/02/2022	NA	0.24 (1C)	Difficult sample, use previous estimate	NA	NA	NA	1
RBGE	DB1640	DTOL	Bryophyte	Orthotrichaceae	Lewinskya	affinis	<Oryza	GPB3%PVP	161.34	467.52	4.56	4.8	2.898	165.13	496.33	NA	0.67	0.33	0.33	4.86	3.98	0.062	NA	Sahr Mian	16/02/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1641	DTOL	Bryophyte	Pottiaceae	Syntrichia	papillosa	>Oryza	GPB3%PVP	459.71	549.71	5.11	3.55	NA	562.15	470.36	NA	2.39	1.2	1.17	5.03	3.77	#DIV/0!	NA	Sahr Mian	16/02/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1643	DTOL	Bryophyte	Bryaceae	Ptychostomum	moravicum	<Solanum	OXPRO	210.25	385.75	3.09	2.87	1.835	216.11	395.2	NA	2.19	1.09	1.07	3.57	3.16	0.010	NA	Sahr Mian	23/02/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1644	DTOL	Bryophyte	Brachytheciaceae	Rhynchostegiella	tenella	<Oryza	OXPRO	122.03	322.78	4.62	4.27	2.645	126.73	339.51	NA	0.75	0.37	0.37	3.49	3.13	0.037	NA	Sahr Mian	23/02/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1646	DTOL	Bryophyte	Cryphaeaceae	Cryphaea	heteromalla	<Oryza	OXPRO	97.89	353.28	6.57	4.62	3.609	104.18	375.52	NA	0.55	0.28	0.27	5.28	4.03	0.005	NA	Sahr Mian	23/02/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1647	DTOL	Bryophyte	Metzgeriaceae	Metzgeria	violacea	<Oryza	OXPRO	130.04	344.99	6.93	3.69	2.653	130.46	349.37	NA	0.75	0.37	0.37	6.13	4.15	0.027	NA	Sahr Mian	23/02/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1648	DTOL	Bryophyte	Plagiotheciaceae	Pseudotaxiphyllum	elegans	<Oryza	OXPRO	135.60	361.91	4.79	4.09	2.669	141.72	375.48	NA	0.75	0.38	0.37	5.31	4.33	0.022	NA	Sahr Mian	23/02/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1649	DTOL	Bryophyte	Hypnaceae	Hypnum	jutlandicum	<Oryza	OXPRO	148.31	330.84	6.65	4.5	2.231	160.82	359.68	NA	0.89	0.45	0.44	6.28	3.67	0.021	NA	Sahr Mian	23/02/2022	NA	NA	NA	NA	NA	NA	1
