taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7293711	Cissus campestris Planch.	7293711	Cissus campestris Planch.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Vitales	7222050	Vitaceae	6672	Cissus	3039160	Cissus campestris	7293711	NE
7638104	Madrepora rus Forskål, 1775	5184764	Porites rus (Forskål, 1775)	1	SPECIES	SYNONYM	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Poritidae	9241	Porites	3250147	Porites rus	5184764	NE
8652794	Coscinodiscus curvatulus Grunow	7693232	Coscinodiscus curvatulus var. curvatulus	1	SPECIES	SYNONYM	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Coscinodiscales	1098	Coscinodiscaceae	2920	Coscinodiscus	3191512	Coscinodiscus curvatulus	5421565	NE
9791354	Cerithidea costata (da Costa, 1778)	7482825	Cerithideopsis costata (da Costa, 1778)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225			Potamididae	7067	Cerithideopsis	4614478	Cerithideopsis costata	7482825	NE
7527192	Cerithium ambiguum C.B.Adams, 1845	7482825	Cerithideopsis costata (da Costa, 1778)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225			Potamididae	7067	Cerithideopsis	4614478	Cerithideopsis costata	7482825	NE
7482825	Cerithideopsis costata (da Costa, 1778)	7482825	Cerithideopsis costata (da Costa, 1778)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Potamididae	7067	Cerithideopsis	4614478	Cerithideopsis costata	7482825	NE
2301192	Tectarius antonii (Philippi, 1846)	2301192	Tectarius antonii (Philippi, 1846)	2	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Littorinidae	2668	Tectarius	2301191	Tectarius antonii	2301192	NE
2369472	Gerres gula Quoy & Gaimard, 1824	2369471	Eucinostomus gula (Quoy & Gaimard, 1824)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44			Perciformes	587	Gerreidae	4273	Eucinostomus	2369470	Eucinostomus gula	2369471	LC
2376749	Elacatinus evelynae (Böhlke & Robins, 1968)	2376749	Elacatinus evelynae (Böhlke & Robins, 1968)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Gobiidae	4274	Elacatinus	2376682	Elacatinus evelynae	2376749	LC
5208928	Gobiosoma evelynae Böhlke & Robins, 1968	2376749	Elacatinus evelynae (Böhlke & Robins, 1968)	5	SPECIES	SYNONYM	Animalia	1	Chordata	44			Perciformes	587	Gobiidae	4274	Elacatinus	2376682	Elacatinus evelynae	2376749	LC
2388809	Cephalopholis fulva (Linnaeus, 1758)	2388809	Cephalopholis fulva (Linnaeus, 1758)	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Serranidae	8597	Cephalopholis	2388808	Cephalopholis fulva	2388809	LC
2489888	Dendroica striata (J.R.Forster, 1772)	6092935	Setophaga striata (J.R.Forster, 1772)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga striata	6092935	NT
6092935	Setophaga striata (J.R.Forster, 1772)	6092935	Setophaga striata (J.R.Forster, 1772)	30	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga striata	6092935	NT
