phylum	ECHabs92	scientific_name	subspecies	authority_subspecies
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Borderea chouardii		(Gaussen) Heslot
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Aldrovanda vesiculosa		L.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Elatine gussonei		(Sommier) Brullo et al
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Rhododendron luteum		Sweet
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Euphorbia margalidiana		Kuhbier & Lewejohann
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Euphorbia transtagana		Boiss.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurium rigualii		Esteve
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurium somedanum		Lainz
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Gentiana ligustica		R. de Vilm. & Chopinet
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Gentianella anglica		(Pugsley) E.F. Warburg
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Gentianella bohemica		Skalicky
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Erodium astragaloides		Boiss. & Reuter
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Erodium paularense		Fernández-González & Izco
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Erodium rupicola		Boiss.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Globularia stygia		Orph. ex Boiss.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Arctagrostis latifolia		(R. Br.) Griseb.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Arctophila fulva		(Trin.) N.J. Anderson
