taxId	organismName	genbankAssmAccession	bioProjectAccession
1684307	Pseudomicrostroma glucosiphilum	GCA_003144135.1	PRJNA330883;1KFG
72124	Hygrophoropsis aurantiaca	GCA_021014935.1	PRJNA346268;1KFG
1132860	Paxillus ammoniavirescens	GCA_014904835.1	PRJNA333096;1KFG
1231657	Clohesyomyces aquaticus	GCA_002105025.1	PRJNA330694;1KFG
370292	Thelephora ganbajun	GCA_014904855.1	PRJNA332932;1KFG
1763456	Calycina marina	GCA_019669825.1	PRJNA347008;1KFG
78915	Thamnocephalis sphaerospora	GCA_003614735.1	PRJNA421763;1KFG
50730	Ampelomyces quisqualis	GCA_010094095.1	PRJNA333829;1KFG
1340428	Sporormia fimetaria CBS 119925	GCA_010093795.1	PRJNA205956;1KFG
1314786	Dissoconium aciculare CBS 342.82	GCA_010015565.1	PRJNA196071;1KFG
1314789	Lichtheimia hyalospora FSU 10163	GCA_025094155.1	PRJNA196074;1KFG
1176131	Aulographum hederae CBS 113979	GCA_010015705.1	PRJNA195869;1KFG
1392251	Karstenula rhodostoma CBS 690.94	GCA_010093485.1	PRJNA217209;1KFG
147560	Delphinella strobiligena	GCA_009982845.1	PRJNA333968;1KFG
1447943	Bimuria novae-zelandiae CBS 107.79	GCA_010015655.1	PRJNA234400;1KFG
1469910	Ophiobolus disseminans	GCA_010093685.1	PRJNA239491;1KFG
112417	Gautieria morchelliformis	GCA_015179125.1	PRJNA256705;1KFG
390896	Trematosphaeria pertusa	GCA_010094035.1	PRJNA234397;1KFG
706981	Clathrospora elynae	GCA_010015635.1	PRJNA245624;1KFG
1506992	Thozetella sp. PMI_491	GCA_021432635.1	PRJNA251777;1KFG
1673888	Violaceomyces palustris	GCA_003144235.1	PRJNA254893;1KFG
48021	Artomyces pyxidatus	GCA_022160305.1	PRJNA239090;1KFG
1522189	Ceraceosorus guamensis	GCA_003144195.1	PRJNA254921;1KFG
1314779	Zopfia rhizophila CBS 207.26	GCA_010093925.1	PRJNA196051;1KFG
1882483	Testicularia cyperi	GCA_003144125.1	PRJNA330884;1KFG
302913	Elsinoe ampelina	GCA_010093995.1	PRJNA334356;1KFG
48587	Suillus subaureus	GCA_016647635.1	PRJNA346342;1KFG
90262	Absidia repens	GCA_002105175.1	PRJNA330702;1KFG
1897646	Russula aff. rugulosa BPL654	GCA_022496225.1	PRJNA340738;1KFG
264951	Paecilomyces variotii	GCA_004022145.1	PRJNA444022;1KFG
1555241	Caulochytrium protostelioides	GCA_003615045.1	PRJNA421608;1KFG
1314801	Pleomassaria siparia CBS 279.74	GCA_010093715.1	PRJNA196086;1KFG
1314787	Saccharata proteae CBS 121410	GCA_010015785.1	PRJNA196072;1KFG
150792	Hysterangium stoloniferum	GCA_015178975.1	PRJNA234406;1KFG
161662	Teratosphaeria nubilosa	GCA_010093825.1	PRJNA245625;1KFG
1504668	Rhizodiscina lignyota	GCA_010015805.1	PRJNA263052;1KFG
305860	Ceratobasidium sp. AG-I	GCA_015039395.1	PRJNA333964;1KFG
1448308	Corynespora cassiicola Philippines	GCA_003016335.1	PRJNA234811;1KFG
1408161	Plenodomus tracheiphilus IPT5	GCA_010093695.1	PRJNA223133;1KFG
1770614	Phaeosphaeriaceae sp. PMI808	GCA_021365335.1	PRJNA251767;1KFG
184978	Decorospora gaudefroyi	GCA_010015605.1	PRJNA333973;1KFG
341454	Ascodesmis nigricans	GCA_004786065.1	PRJNA247594;1KFG
329046	Rhizoclosmatium globosum	GCA_002104985.1	PRJNA330693;1KFG
1907218	Pestalotiopsis sp. NC0098	GCA_022432395.1	PRJNA346296;1KFG
110093	Polychytrium aggregatum	GCA_025602895.1	PRJNA346301;1KFG
1141098	Pseudomassariella vexata	GCA_002105095.1	PRJNA330698;1KFG
139407	Terfezia claveryi	GCA_015179025.1	PRJNA340578;1KFG
215637	Dimargaris cristalligena	GCA_003614675.1	PRJNA346215;1KFG
64571	Lobosporangium transversale	GCA_002105155.1	PRJNA330701;1KFG
76405	Cunninghamella echinulata	GCA_025201675.1	PRJNA347074;1KFG
13706	Syncephalastrum racemosum	GCA_002105135.1	PRJNA330704;1KFG
1851187	Syncephalis fuscata	GCA_025786725.1	PRJNA332249;1KFG
1907521	Lactarius psammicola	GCA_025769895.1	PRJNA345982;1KFG
27322	Metschnikowia bicuspidata	GCA_003614695.1	PRJNA421585;1KFG
1168546	Myriangium duriaei CBS 260.36	GCA_010093895.1	PRJNA196043;1KFG
1346257	Patellaria atrata CBS 101060	GCA_010093705.1	PRJNA208393;1KFG
1314677	Wilcoxina mikolae CBS 423.85	GCA_014904905.1	PRJNA196022;1KFG
27342	Schizopora paradoxa	GCA_001020605.1	PRJNA239088;1KFG
61395	Linderina pennispora	GCA_002104995.1	PRJNA243942;1KFG
1450172	Aaosphaeria arxii CBS 175.79	GCA_010015735.1	PRJNA234399;1KFG
215250	Acaromyces ingoldii	GCA_003144295.1	PRJNA247834;1KFG
58919	Tilletiopsis washingtonensis	GCA_003144115.1	PRJNA247833;1KFG
61414	Martensiomyces pterosporus	GCA_025201845.1	PRJNA251778;1KFG
673940	Lindgomyces ingoldianus	GCA_010093535.1	PRJNA333498;1KFG
110081	Obelidium mucronatum	GCA_025765595.1	PRJNA333499;1KFG
1907226	Chytriomyces cf. hyalinus JEL632	GCA_025435555.1	PRJNA346871;1KFG
196109	Microdochium bolleyi	GCA_001566295.1	PRJNA308023;1KFG
886606	Acephala macrosclerotiorum	GCA_014904845.1	PRJNA334316;1KFG
1907220	Xylariales sp. AK1849	GCA_022432505.1	PRJNA346300;1KFG
181527	Pluteus cervinus	GCA_004369065.1	PRJNA333101;1KFG
2025994	Coniella lustricola	GCA_003019895.1	PRJNA334659;1KFG
35722	Parasitella parasitica	GCA_025201805.1	PRJNA334778;1KFG
4999	Kockovaella imperatae	GCA_002102565.1	PRJNA334695;1KFG
101103	Circinella umbellata	GCA_025093555.1	PRJNA331974;1KFG
765915	Catenaria anguillulae PL171	GCA_002102555.1	PRJNA330705;1KFG
97359	Auriculariopsis ampla	GCA_007026445.1	PRJNA334997;1KFG
1555241	Caulochytrium protostelioides	GCA_003615035.1	PRJNA421603;1KFG
578093	Lineolata rhizophorae	GCA_010093515.1	PRJNA334192;1KFG
36058	Imleria badia	GCA_015039435.1	PRJNA265603;1KFG
703497	Microthyrium microscopicum	GCA_010405405.1	PRJNA234668;1KFG
1314806	Vararia minispora EC-137	GCA_022160365.1	PRJNA196070;1KFG
1392247	Morchella conica CCBAS932	GCA_003790465.1	PRJNA217205;1KFG
1485229	Cadophora sp. DSE1049	GCA_003073865.1	PRJNA243951;1KFG
390894	Lophium mytilinum	GCA_010093605.1	PRJNA234407;1KFG
318751	Westerdykella ornata	GCA_010094085.1	PRJNA245619;1KFG
40419	Auriscalpium vulgare	GCA_022160275.1	PRJNA247917;1KFG
109936	Cladochytrium replicatum	GCA_025526935.1	PRJNA346872;1KFG
106004	Leucosporidium creatinivorum	GCA_002105055.1	PRJNA330695;1KFG
71784	Naematelia encephala	GCA_002105065.1	PRJNA330699;1KFG
2754530	Protomyces lactucae-debilis	GCA_002105105.1	PRJNA330697;1KFG
45428	Amylocarpus encephaloides	GCA_019669835.1	PRJNA347005;1KFG
1851185	Syncephalis plumigaleata	GCA_025201365.1	PRJNA332252;1KFG
101115	Spinellus fusiger	GCA_025094145.1	PRJNA332244;1KFG
47213	Trichophaea hybrida	GCA_015178995.1	PRJNA332041;1KFG
1712513	Syncephalis pseudoplumigaleata	GCA_003614755.1	PRJNA421590;1KFG
2614577	Emericellopsis atlantica	GCA_019669845.1	PRJNA571189;1KFG
5210	Filobasidium floriforme	GCA_021052385.1	PRJNA621322;1KFG
