species	taxid	comment	synonym	family	long_list	other_priority	family_representative
Pleurostoma richardsiae	41990	Listed as: Pleurostomophora richardsiae	Pleurostomophora richardsiae	Pleurostomataceae	DTOL	DTOL	DTOL
Vanderbylia fraxinea	1350006	Listed as: Perenniporia fraxinea	Perenniporia fraxinea	Polyporaceae	DTOL		
Luapeleamoeba arachisporum	668371	Listed as: Protostelium arachisporum	Protostelium arachisporum	Protosteliida	DTOL		
Pseudapiospora corni	1699702	Listed as: Pseudomassaria corni	Pseudomassaria corni	Pseudomassariaceae	DTOL		
Coryneum lanciforme	2494355	Listed as: Pseudovalsa lanciformis	Pseudovalsa lanciformis	Pseudovalsaceae	DTOL	DTOL	DTOL
Macgarvieomyces juncicola	1577608	Listed as: Pyricularia juncicola	Pyricularia juncicola	Pyriculariaceae	DTOL	DTOL	DTOL
Tubifera ferruginosa	435428	Listed as: Tubulifera arachnoidea	Tubulifera arachnoidea	Reticulariidae	DTOL		
Rhizopus oryzae	64495	Listed as: Rhizopus arrhizus	Rhizopus arrhizus	Rhizopodaceae	DTOL	DTOL	DTOL
Hyphopichia burtonii	717740	Listed as: Pichia burtonii	Pichia burtonii	Saccharomycetaceae	DTOL		
Auriculariopsis ampla	97359	Listed as: Schizophyllum amplum	Schizophyllum amplum	Schizophyllaceae	DTOL		
Schizosaccharomyces pombe	4896	Listed as: Schizosaccharomyces malidevorans	Schizosaccharomyces malidevorans	Schizosaccharomycetaceae	DTOL		
Schizothyrium pomi	286617	Listed as: Zygophiala jamaicensis	Zygophiala jamaicensis	Schizothyriaceae	DTOL		
Sclerotinia pseudotuberosa	262103	Listed as: Ciboria batschiana	Ciboria batschiana	Sclerotiniaceae	DTOL	DTOL	DTOL
Dasyscyphus nidulus	47807	Listed as: Lasiobelonium nidulus	Lasiobelonium nidulus	Solenopeziaceae	DTOL	DTOL	DTOL
Sparassis spathulata	40467	Listed as: Sparassis simplex	Sparassis simplex	Sparassidaceae	DTOL		
Sphinctrina tubiformis	gpSphTubi	Listed as: Sphinctrina tubaeformis	Sphinctrina tubaeformis	Sphinctrinaceae	DTOL		
Rhodotorula mucilaginosa	5537	Listed as: Rhodotorula rubra	Rhodotorula rubra	Sporidiobolaceae	DTOL	DTOL	DTOL
