"Order","Suborder","Family","species","Reproductive mode","Meioformula","Sex chromosome system","Ploidy level","B chromosomes","Notes","Citation",Ploidy,Chrnum,Haploid_autosome_num,Sex_chromosomes,estimated_haploid
"Coleoptera","Adephaga","Carabidae","Anisodactylus virens","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Yadav (1984)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Anomoglossus emargitus","Sexual diplodiploidy","2n=37M 18+XO","XO",NA,"","","Serrano and Yadav (1984)",2,37,18,XO,19/18
"Coleoptera","Adephaga","Carabidae","Anthia sexguttata","Sexual diplodiploidy","2n=35M 17+XO","XO",NA,"","","Serrano and Yadav (1984)",2,35,17,XO,18/17
"Coleoptera","Adephaga","Carabidae","Apenes margilis","Sexual diplodiploidy","2n=36M","",NA,"","","Serrano and Yadav (1984)",2,36,,,
"Coleoptera","Adephaga","Carabidae","Aptinus displosor","Sexual diplodiploidy","2n=32M","",NA,"","","Serrano and Yadav (1984)",2,32,,,
"Coleoptera","Adephaga","Carabidae","Arthropterus sp. 1","Sexual diplodiploidy","2n=46M/2n=46F","",NA,"","","Galian and Moore (1994)",2/2,46/46,,,
"Coleoptera","Adephaga","Carabidae","Asaphidion caraboides","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"yes","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Asaphidion curtum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Asaphidion cyanicorne","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Asaphidion rossii","","2n=24M","",NA,"","","Serrano and Galian (1998)",2,24,,,
"Coleoptera","Adephaga","Carabidae","Baudia anomala","Sexual diplodiploidy","2n=45M 22+XO","XO",NA,"","","Serrano and Yadav (1984)",2,45,22,XO,23/22
"Coleoptera","Adephaga","Carabidae","Bembidion 'graphicum-Nr 1'","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion 'graphicum-Nr 2'","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion aeneicolle","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion aenulum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion alaskense","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion ambiguum","Sexual diplodiploidy","2n=24M/2n=24F","",NA,"","","Serrano and Yadav (1984)",2/2,24/24,,,
"Coleoptera","Adephaga","Carabidae","Bembidion americanum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion anchonoderum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion andreae andreae","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion andreae bualei","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion antiquum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion aratum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion arcticum","Sexual diplodiploidy","2n=26M 12+XY","XY",NA,"","","D. Maddison (1985)",2,26,12,XY,13/13
"Coleoptera","Adephaga","Carabidae","Bembidion arenobilis","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (2008)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion arizoe","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion articulatum","Sexual diplodiploidy","2n=24F","",NA,"","","Serrano and Yadav (1984)",2,24,,,
"Coleoptera","Adephaga","Carabidae","Bembidion ascendens","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Galian (1998)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion assimile","Sexual diplodiploidy","2n=24M","",NA,"","","Serrano and Yadav (1984)",2,24,,,
"Coleoptera","Adephaga","Carabidae","Bembidion atrocoeruleum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion balli","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion basicorne","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion bellorum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (2008)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion bifossulatum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion biguttatum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion bimaculatum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion bipunctatum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion bowditchi","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion brachythorax","Sexual diplodiploidy","2n=23M 11+XO","XO",NA,"","","D. Maddison (1985)",2,23,11,XO,12/11
"Coleoptera","Adephaga","Carabidae","Bembidion brevistriatum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion californicum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion callosum","Sexual diplodiploidy","2n=24M/2n=24F 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2/2,24/24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion carinula","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion carolinense","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion carpetanum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion castor","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion castum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion cf anguliferum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion cf. immaturum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion chalceum","Sexual diplodiploidy","2n=26M 12+XY","XY",NA,"","","D. Maddison (1985)",2,26,12,XY,13/13
"Coleoptera","Adephaga","Carabidae","Bembidion coeruleum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion coloradense","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion complanulum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion compressum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion concolor","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion concretum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion confusum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion connivens","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion consanguineum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion constricticolle","Sexual diplodiploidy","2n=22M","",NA,"","","D. Maddison (1985)",2,22,,,
"Coleoptera","Adephaga","Carabidae","Bembidion contraetum-group contractum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion contraetum-group viridicolle","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion convexulum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion cordatum","Sexual diplodiploidy","2n=22M","",NA,"","","D. Maddison (1985)",2,22,,,
"Coleoptera","Adephaga","Carabidae","Bembidion coxendix","Sexual diplodiploidy","2n=23M 11+XO","XO",NA,"","","D. Maddison (1985)",2,23,11,XO,12/11
"Coleoptera","Adephaga","Carabidae","Bembidion coxendix","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion cribum","Sexual diplodiploidy","2n=25M","",NA,"","","Serrano and Yadav (1984)",2,25,,,
"Coleoptera","Adephaga","Carabidae","Bembidion dahli","Sexual diplodiploidy","2n=25M","",NA,"","","Serrano and Yadav (1984)",2,25,,,
"Coleoptera","Adephaga","Carabidae","Bembidion dauricum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion decorum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
