Species_name_Stace4,#BSBI_name,Family_number,Family,Vernacular,Distribution_number_hectads,Distribution_UK,Ploidy_inferred,"Chromosome_numbers","Chromosome_numbers (Stace index, counts made on non-BI material) [other sources]",Frieda cytology notes,Annual_perennial,GS_1C_pg_min,GS_1C_pg_max,GS_counts,GB status,UoE_prioritisation,Earlham_prioritisation,RBGE_prioritization,York_prioritisation,UoCam comments,Kew priorities,RBGE,Kew living collection,Kew living collection status,MSB,Wytham,Other collection,Easy_availability_living_cols_or_ubiquitous,Species_name_Stace4,Family_number,Family,YEAR 1,YEAR 2,Notes,Buxton PRIORITY
Gymnocarpium robertianum,Gymnocarpium robertianum,13,Cystopteridaceae,Limestone Fern,135,Infrequent,,160-168,,,P,5.687485726,5.687485726,1,native,,,,,,,Y,,,,,,Y,Gymnocarpium robertianum,13,Cystopteridaceae,1,,,
Asplenium adiantum-nigrum,Asplenium adiantum-nigrum,14,Aspleniaceae,Black Spleenwort,2877,Ubiquitous,,144,,,P,9.04,9.04,1,native,,,,,,,,,,,Y,,,Asplenium adiantum-nigrum,14,Aspleniaceae,,,,
Asplenium ceterach,Asplenium ceterach,14,Aspleniaceae,Rustyback,1881,Ubiquitous,,144,,,P,4.11,8.001273638,2,native,,,,,,,,,,,Y,,,Asplenium ceterach,14,Aspleniaceae,,,,
Asplenium marinum,Asplenium marinum,14,Aspleniaceae,Sea Spleenwort,#N/A,,,72,,,P,4.15,9,2,native,,,,,,,,,,,,,,Asplenium marinum,14,Aspleniaceae,,,,
Asplenium obovatum,Asplenium obovatum,14,Aspleniaceae,Lanceolate Spleenwort,167,Infrequent,,144,,,P,,,,native,,,,,,,,,,,,,,Asplenium obovatum,14,Aspleniaceae,,,,
Asplenium onopteris,Asplenium onopteris,14,Aspleniaceae,Irish moonwort,,Irish endemic,,,,,,,,,native,,,,,,,,,,,,,,Asplenium obovatum,14,Aspleniaceae,,,,
Asplenium ruta-muraria,Asplenium ruta-muraria,14,Aspleniaceae,Wall-rue,3102,Ubiquitous,,144,,,P,6.084575637,6.084575637,1,native,,,,,,,Y,,,,Y,,Y,Asplenium ruta-muraria,14,Aspleniaceae,,,,
Asplenium scolopendrium,Asplenium scolopendrium,14,Aspleniaceae,Hart's-tongue,3077,Ubiquitous,,72,,,P,8.429517479,8.429517479,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain;Unrestricted--;Unrestricted-Natural Source-North Caucasus;Unrestricted--Europe,,Y,,Y,Asplenium scolopendrium,14,Aspleniaceae,1,,,
Asplenium septentrionale,Asplenium septentrionale,14,Aspleniaceae,Forked Spleenwort,64,Rare,,144,,,P,6.105323676,6.105323676,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-North Caucasus,,,,Y,Asplenium septentrionale,14,Aspleniaceae,,,,
Asplenium trichomanes,#N/A,14,Aspleniaceae,Maidenhair Spleenwort,3225,Ubiquitous,,"72, 144",144,,,4.002055765,9.06,2,native,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-Spain,,Y,,Y,Asplenium trichomanes,14,Aspleniaceae,,,,
Asplenium viride,Asplenium viride,14,Aspleniaceae,Green Spleenwort,485,Common,,72,,,P,3.925069914,3.925069914,1,native,,,,,,,,,,,,,Y,Asplenium viride,14,Aspleniaceae,,1,,
Oreopteris limbosperma,Oreopteris limbosperma,15,Thelypteridaceae,Lemon-scented Fern,1724,Abundant,,68,,,P,,,,native,,,,,,,Y,,,,Y,,Y,Oreopteris limbosperma,15,Thelypteridaceae,,,,
Phegopteris connectilis,Phegopteris connectilis,15,Thelypteridaceae,Beech Fern,1100,Abundant,,90,,,P,6.295537389,6.295537389,1,native,,,,,,,,Y,Unrestricted-Natural Source-Japan;Restricted by Agreement--,,,,Y,Phegopteris connectilis,15,Thelypteridaceae,1,,,
Thelypteris palustris,Thelypteris palustris,15,Thelypteridaceae,Marsh Fern,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,,70,,,P,6.744822835,6.744822835,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain,,Y,,Y,Thelypteris palustris,15,Thelypteridaceae,,1,,
Athyrium distentifolium,Athyrium distentifolium,16,Woodsiaceae,Alpine Lady-fern,#N/A,,,80,,,P,6.439654217,6.439654217,1,native,,,,,,,Y,Y,Unrestricted--,,,,Y,Athyrium distentifolium,16,Woodsiaceae,1,,,
Athyrium filix-femina,Athyrium filix-femina,16,Woodsiaceae,Lady-fern,3437,Ubiquitous,,80,,,P,7.38,7.38,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain;Unrestricted--;Unrestricted-Natural Source-Ireland;Unrestricted-Natural Source-Iran,,Y,,Y,Athyrium filix-femina,16,Woodsiaceae,,,,
Woodsia alpina,Woodsia alpina,16,Woodsiaceae,Alpine Woodsia,24,Very rare,,164-168,,,P,3.15,5.687709754,2,native,,,,,,,Y,,,,,,Y,Woodsia alpina,16,Woodsiaceae,,,,
Woodsia ilvensis,Woodsia ilvensis,16,Woodsiaceae,Oblong Woodsia,12,Very rare,,82-84,,,P,3.77,3.77,1,native,,,,,,,Y,,,,,,Y,Woodsia ilvensis,16,Woodsiaceae,1,,,
Blechnum spicant,Blechnum spicant,18,Blechnaceae,Hard-fern,3002,Ubiquitous,,68,,,P,7.13,7.13,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain;Unrestricted--,,Y,,Y,Blechnum spicant,18,Blechnaceae,1,,,
Dryopteris aemula,Dryopteris aemula,20,Dryopteridaceae,Hay-scented Buckler-fern,831,Abundant,,82,,,P,8.21,8.21,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain,,,,Y,Dryopteris aemula,20,Dryopteridaceae,1,,,
Dryopteris affinis,Dryopteris affinis,20,Dryopteridaceae,,3041,Ubiquitous,,82,,,P,8.3,8.3,1,native,,,,,,,Y,Y,Unrestricted--;Unrestricted-Natural Source-Great Britain;Unrestricted-Natural Source-Iran,,,,Y,Dryopteris affinis,20,Dryopteridaceae,,,,
Dryopteris carthusiana,Dryopteris carthusiana,20,Dryopteridaceae,Narrow Buckler-fern,1954,Ubiquitous,,164,,,P,15.79817067,15.79817067,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain;Unrestricted--,,,,Y,Dryopteris carthusiana,20,Dryopteridaceae,,,,
Dryopteris cristata,Dryopteris cristata,20,Dryopteridaceae,Crested Buckler-fern,31,Very rare,,164,,,P,16.22256777,16.22256777,1,native,,,,,,,Y,,,,,,Y,Dryopteris cristata,20,Dryopteridaceae,,,,
Dryopteris dilatata,Dryopteris dilatata,20,Dryopteridaceae,Broad Buckler-fern,3635,Ubiquitous,,164,,,P,8.05,16.98202913,2,native,,,,,,,Y,Y,Unrestricted--;Unrestricted-Natural Source-Great Britain,,Y,,Y,Dryopteris dilatata,20,Dryopteridaceae,,,,
Dryopteris expansa,Dryopteris expansa,20,Dryopteridaceae,Northern Buckler-fern,254,Common,,82,,,P,10.45,10.45,1,native,,,,,,,Y,,,,,,Y,Dryopteris expansa,20,Dryopteridaceae,,,,
Dryopteris filix-mas,Dryopteris filix-mas,20,Dryopteridaceae,Male-fern,3595,Ubiquitous,,164,,,P,8.7,14.23403713,2,native,,,,,,,Y,Y,Unrestricted--;Unrestricted-Natural Source-Great Britain,,Y,,Y,Dryopteris filix-mas,20,Dryopteridaceae,,,,
Dryopteris oreades,Dryopteris oreades,20,Dryopteridaceae,Mountain Male-fern,319,Common,,82,,,P,,,,native,,,,,,,Y,,,,,,Y,Dryopteris oreades,20,Dryopteridaceae,,,,
Dryopteris remota,Dryopteris remota,20,Dryopteridaceae,Scaly Buckler-fern,2,Very rare,,123,,,P,,,,native,,,,,,,,,,,,,,Dryopteris remota,20,Dryopteridaceae,,,,
Dryopteris submontana,Dryopteris submontana,20,Dryopteridaceae,Rigid Buckler-fern,37,Rare,,164,,,P,,,,native,,,,,,,,,,,,,,Dryopteris submontana,20,Dryopteridaceae,,,,
Polystichum aculeatum,Polystichum aculeatum,20,Dryopteridaceae,Hard Shield-fern,1952,Ubiquitous,,164,,,P,12.98226871,12.98226871,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Iran;Unrestricted--,,Y,,Y,Polystichum aculeatum,20,Dryopteridaceae,,,,
Polystichum lonchitis,Polystichum lonchitis,20,Dryopteridaceae,Holly-fern,212,Infrequent,,82,,,P,5.719661549,5.719661549,1,native,,,,,,,Y,Y,Unrestricted--;Restricted by Agreement-Natural Source-Spain,,,,Y,Polystichum lonchitis,20,Dryopteridaceae,,1,,
Polystichum setiferum,Polystichum setiferum,20,Dryopteridaceae,Soft Shield-fern,2038,Ubiquitous,,82,,,P,6.757056131,6.757056131,1,native,,,,,,,,Y,Restricted by Agreement--;Unrestricted--Northern Europe;Unrestricted--;Unrestricted-Natural Source-Great Britain,,Y,,Y,Polystichum setiferum,20,Dryopteridaceae,,,,
Polypodium cambricum,Polypodium cambricum,21,Polypodiaceae,Southern Polypody,354,Common,,74,,,P,7.5,7.5,1,native,,,,,,,Y,Y,Unrestricted--,,,,Y,Polypodium cambricum,21,Polypodiaceae,1,,,
Polypodium interjectum,Polypodium interjectum,21,Polypodiaceae,Intermediate Polypody,1705,Abundant,,222,,,P,19.9382288,19.9382288,1,native,,,,,,,Y,,,,,,Y,Polypodium interjectum,21,Polypodiaceae,,,,
Polypodium vulgare,Polypodium vulgare,21,Polypodiaceae,,2365,Ubiquitous,,148,,,P,12.7809159,12.7809159,1,native,,,,,,,,Y,Unrestricted--North Caucasus;Unrestricted-Natural Source-Great Britain;Unrestricted--;Restricted by Agreement--;Restricted by Agreement-Natural Source-Great Britain,,,,Y,Polypodium vulgare,21,Polypodiaceae,,,,
Pinus sylvestris,Pinus sylvestris,23,Pinaceae,Scots Pine,2912,Ubiquitous,,24,,,P,20.94123185,20.94123185,1,native,,,,,,"Iconic, the of 3 UK gymnosperms. Surprsingly, a reference genome sequences doesn't seem available yet in spite of the very wide global range.",Y,Y,Unrestricted-Natural Source-Norway;Unrestricted-Natural Source-Great Britain;Unrestricted--;Unrestricted--Heilongjiang;Unrestricted-Natural Source-North Caucasus;Restricted--,MANAGEMENT DECISION-NV,Y,,Y,Pinus sylvestris,23,Pinaceae,,1,,
Pseudotsuga menziesii,0,23,Pinaceae,Douglas Fir,946,Abundant,,,26,,,,,,neophyte,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-California;Unrestricted-Natural Source-Arizona;Restricted-Natural Source-California;Restricted by Agreement-Natural Source-Oregon;Unrestricted-Natural Source-Oregon;Unrestricted-Natural Source-British Columbia,,Y,,Y,Pseudotsuga menziesii,23,Pinaceae,,1,,
Juniperus communis,Juniperus communis,25,Cupressaceae,Common Juniper,1240,Abundant,,22,,,P,11.49,11.49,1,native,,,,York-RCP British Medicinal Plant List Category 2,,Iconic plant and one of only 3 native gymnosperms,Y,Y,Unrestricted-Natural Source-Great Britain;Unrestricted--Montana;Unrestricted-Natural Source-Armeniya;Restricted by Agreement-Natural Source-Spain;Unrestricted--;Unrestricted-Natural Source-Japan;Restricted by Agreement--Europe;Unrestricted-Natural Source-Sakhalin;Unrestricted-Natural Source-Iran;Unrestricted-Natural Source-North Caucasus,FOR DISTRIBUTION-NV,Y,,Y,Juniperus communis,25,Cupressaceae,1,,,
Taxus baccata,Taxus baccata,26,Taxaceae,Yew,2163,Ubiquitous,,24,,,P,6.6,10.13897477,2,native,,,,York-RCP British Medicinal Plant List Category 2,,Very iconics tree!,Y,Y,Unrestricted-Natural Source-Iran;Restricted by Agreement--;Unrestricted--Ireland;Unrestricted--Great Britain;Restricted by Agreement-Natural Source-Italy;Unrestricted--;Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Taxus baccata,26,Taxaceae,1,,,
Cabomba caroliniana,0,27,Cabombaceae,Carolina Water-shield,2,Very rare,,,"24, 96, 104",,,,,,neophyte,,,,,,,,,,,,,,Cabomba caroliniana,27,Cabombaceae,,1,,
Nuphar lutea,Nuphar lutea,28,Nymphaeaceae,Yellow Water-lily,1659,Abundant,2,34,,,P,2.418567128,2.418567128,1,native,,,,,,,,Y,Unrestricted--;Restricted by Agreement-Natural Source-Great Britain,,Y,,Y,Nuphar lutea,28,Nymphaeaceae,,,,
Nuphar pumila,Nuphar pumila,28,Nymphaeaceae,Least Water-lily,71,Rare,2,34,,,P,2.220001145,2.220001145,1,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain,,,,Y,Nuphar pumila,28,Nymphaeaceae,,1,,
Nymphaea alba,Nymphaea alba,28,Nymphaeaceae,White Water-lily,1862,Ubiquitous,6,84,,,P,1.871739443,1.871739443,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,,Y,,Y,Nymphaea alba,28,Nymphaeaceae,,1,,
Ceratophyllum demersum,Ceratophyllum demersum,33,Ceratophyllaceae,Rigid Hornwort,1013,Abundant,,,"24, 28, 34, 38, 48, 72",,P,0.877625887,0.877625887,1,native,,,,,,,,Y,Unrestricted--Northern America,FOR DISTRIBUTION-NV,Y,,Y,Ceratophyllum demersum,33,Ceratophyllaceae,,1,,
