Species_name_Stace4,#BSBI_name,Family_number,Family,Vernacular,Distribution_number_hectads,Distribution_UK,Ploidy_inferred,"Chromosome_numbers","Chromosome_numbers (Stace index, counts made on non-BI material) [other sources]",Frieda cytology notes,Annual_perennial,GS_1C_pg_min,GS_1C_pg_max,GS_counts,GB status,UoE_prioritisation,Earlham_prioritisation,RBGE_prioritization,York_prioritisation,UoCam comments,Kew priorities,RBGE,Kew living collection,Kew living collection status,MSB,Wytham,Other collection,Easy_availability_living_cols_or_ubiquitous,Species_name_Stace4,Family_number,Family,YEAR 1,YEAR 2,Notes,Buxton PRIORITY
Silene vulgaris,Silene vulgaris,94,Caryophyllaceae,Bladder Campion,2017,Ubiquitous,2,24,,,P,,,,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Kirgizstan;Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Silene vulgaris,94,Caryophyllaceae,,,,
Spergularia marina,Spergularia marina,94,Caryophyllaceae,Lesser Sea-spurrey,1303,Abundant,2,36,,,A,0.537108703,0.537108703,1,native,,,,,y,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,,,Y,Spergularia marina,94,Caryophyllaceae,,1,,
Spergularia media,Spergularia media,94,Caryophyllaceae,Greater Sea-spurrey,868,Abundant,"2, 2, 4","18, 18, 36",,,P,0.282732852,0.282732852,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Portugal,FOR DISTRIBUTION-VV,,,Y,Spergularia media,94,Caryophyllaceae,,,,
Spergularia rubra,Spergularia rubra,94,Caryophyllaceae,Sand Spurrey,1473,Abundant,2,36,,,A,0.525835141,0.525835141,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Spergularia rubra,94,Caryophyllaceae,,,,
Spergularia rupicola,Spergularia rupicola,94,Caryophyllaceae,Rock Sea-spurrey,423,Common,2,36,,,P,,,,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-;Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-VV,,,Y,Spergularia rupicola,94,Caryophyllaceae,,,,
Stellaria alsine,Stellaria alsine,94,Caryophyllaceae,Bog Stitchwort,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,,24,,,P,0.700814632,0.700814632,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Stellaria alsine,94,Caryophyllaceae,,,,
Stellaria aquatica,Myosoton aquaticum,94,Caryophyllaceae,Water Chickweed,959,Abundant,,28,,,,,,,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Stellaria aquatica,94,Caryophyllaceae,,,,
Stellaria graminea,Stellaria graminea,94,Caryophyllaceae,Lesser Stitchwort,3318,Ubiquitous,2,26,,,P,0.96,1.70804815,2,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Stellaria graminea,94,Caryophyllaceae,,,,
Stellaria holostea,Stellaria holostea,94,Caryophyllaceae,Greater Stitchwort,3056,Ubiquitous,2,26,,,P,1.067606632,1.067606632,1,native,,,,,,,Y,Y,Unrestricted--,FOR DISTRIBUTION-VV,Y,,Y,Stellaria holostea,94,Caryophyllaceae,,,,
Stellaria media,Stellaria media,94,Caryophyllaceae,Common Chickweed,3733,Ubiquitous,"7, 4, 2, 4 (-4)","42, 44, 22, 40",,,A,0.954202817,0.954202817,1,native,,In the list of top 2 arable weeds,,,,,,Y,Restricted by Agreement-Natural Source-Jordan,FOR DISTRIBUTION-VV,Y,,Y,Stellaria media,94,Caryophyllaceae,1,,,
Stellaria neglecta,Stellaria neglecta,94,Caryophyllaceae,Greater Chickweed,802,Abundant,,22,,,A,1.335,1.335,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Stellaria neglecta,94,Caryophyllaceae,,,,
Stellaria nemorum,Stellaria nemorum,94,Caryophyllaceae,Wood Stitchwort,430,Common,2,26,,,P,0.840530882,0.840530882,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Stellaria nemorum,94,Caryophyllaceae,,,,
Stellaria pallida,Stellaria pallida,94,Caryophyllaceae,Lesser Chickweed,652,Common,,22,,,A,0.57,0.57,1,native,,,,,,,,,,,,,Y,Stellaria pallida,94,Caryophyllaceae,,,,
Stellaria palustris,Stellaria palustris,94,Caryophyllaceae,Marsh Stitchwort,462,Common,10,130,,,P,3.221821774,3.221821774,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,Y,Stellaria palustris,94,Caryophyllaceae,,,,
Atriplex glabriuscula,Atriplex glabriuscula,95,Amaranthaceae,Babington's Orache,962,Abundant,2,18,,,A,0.91,0.91,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Atriplex glabriuscula,95,Amaranthaceae,,,,
Atriplex laciniata,Atriplex laciniata,95,Amaranthaceae,Frosted Orache,528,Common,2,18,,,A,0.79,0.79,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,Y,Atriplex laciniata,95,Amaranthaceae,,,,
Atriplex littoralis,Atriplex littoralis,95,Amaranthaceae,Grass-leaved Orache,649,Common,2,18,,,A,0.815,0.815,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Atriplex littoralis,95,Amaranthaceae,,,,
Atriplex longipes,Atriplex longipes,95,Amaranthaceae,Long-stalked Orache,42,Rare,2,18,,,A,,,,native,,,,,,,,,,,,,,Atriplex longipes,95,Amaranthaceae,,,,
Atriplex patula,Atriplex patula,95,Amaranthaceae,Common Orache,3128,Ubiquitous,4,36,,,A,1.895609008,1.895609008,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Atriplex patula,95,Amaranthaceae,,,,
Atriplex pedunculata,Atriplex pedunculata,95,Amaranthaceae,Pedunculate Sea-purslane,19,Very rare,,,18,,A,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Atriplex pedunculata,95,Amaranthaceae,,,,
Atriplex portulacoides,Atriplex portulacoides,95,Amaranthaceae,Sea-purslane,408,Common,4,36,,,P,0.915,0.915,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,Y,Atriplex portulacoides,95,Amaranthaceae,,,,
Atriplex praecox,Atriplex praecox,95,Amaranthaceae,Early Orache,#N/A,,2,18,,,A,,,,native,,,,,,,Y,,,,,,Y,Atriplex praecox,95,Amaranthaceae,1,,Needed? Use cambridge priority?,
Atriplex prostrata,Atriplex prostrata,95,Amaranthaceae,Spear-leaved Orache,2228,Ubiquitous,2,18,,,A,0.755,0.755,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Atriplex prostrata,95,Amaranthaceae,,,,
Blitum bonus-henricus,Chenopodium bonus-henricus,95,Amaranthaceae,Good-King-Henry,1438,Abundant,4,36,,,,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-NV,Y,,,Blitum bonus-henricus,95,Amaranthaceae,,,,
Chenopodiastrum hybridum,Chenopodium hybridum,95,Amaranthaceae,Maple-leaved Goosefoot,286,Common,,18,,,,,,,archaeophyte,,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Chenopodiastrum hybridum,95,Amaranthaceae,,,,
Chenopodiastrum murale,Chenopodium murale,95,Amaranthaceae,Nettle-leaved Goosefoot,433,Common,,18,,,,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-NV,Y,,Y,Chenopodiastrum murale,95,Amaranthaceae,,,,
Chenopodium album,Chenopodium album,95,Amaranthaceae,,2638,Ubiquitous,"2, 6","18, 54",,,A,1.514620344,1.514620344,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Chenopodium album,95,Amaranthaceae,,,,
Chenopodium ficifolium,Chenopodium ficifolium,95,Amaranthaceae,Fig-leaved Goosefoot,776,Abundant,2,18,,,A,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Chenopodium ficifolium,95,Amaranthaceae,,,,
Chenopodium vulvaria,Chenopodium vulvaria,95,Amaranthaceae,Stinking Goosefoot,179,Infrequent,2,18,,,A,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-VV,,,,Chenopodium vulvaria,95,Amaranthaceae,,,,
Lipandra polysperma,Chenopodium polyspermum,95,Amaranthaceae,Many-seeded Goosefoot,1027,Abundant,,18,,,,,,,archaeophyte,,,,,,,,,,,Y,,,Lipandra polysperma,95,Amaranthaceae,,,,
Oxybasis chenopodioides,Chenopodium chenopodioides,95,Amaranthaceae,Saltmarsh Goosefoot,40,Rare,,,18,,,,,,native,,,,,,,,,,,,,,Oxybasis chenopodioides,95,Amaranthaceae,,,,
Oxybasis glauca,Chenopodium glaucum,95,Amaranthaceae,Oak-leaved Goosefoot,162,Infrequent,,18,,,,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Oxybasis glauca,95,Amaranthaceae,,,,
Oxybasis rubra,Chenopodium rubrum,95,Amaranthaceae,Red Goosefoot,1452,Abundant,,36,,,,,,,native,,,,,,,,,,,,,,Oxybasis rubra,95,Amaranthaceae,,,,
Oxybasis urbica,Chenopodium urbicum,95,Amaranthaceae,Upright Goosefoot,237,Common,,36,,,,,,,archaeophyte,,,,,,,,,,,,,Y,Oxybasis urbica,95,Amaranthaceae,,,,
Salicornia disarticulata,Salicornia pusilla,95,Amaranthaceae,One-flowered Glasswort,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,2,18,,,,,,,native,,,,,,,,,,,,,,Salicornia disarticulata,95,Amaranthaceae,,,,
Salicornia dolichostachya,Salicornia dolichostachya,95,Amaranthaceae,Long-spiked Glasswort,177,Infrequent,4,36,,,A,,,,native,,,,,,,,,,,,,,Salicornia dolichostachya,95,Amaranthaceae,,,,
Salicornia emerici,Salicornia emerici,95,Amaranthaceae,Shiny Glasswort,138,Infrequent,4,36,,,A,,,,native,,,,,,,,,,,,,,Salicornia emerici,95,Amaranthaceae,,,,
Salicornia europaea,Salicornia europaea,95,Amaranthaceae,Common Glasswort,366,Common,"2, 4","18, 36",,,A,1.375,1.375,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Salicornia europaea,95,Amaranthaceae,,,,
Salicornia fragilis,Salicornia fragilis,95,Amaranthaceae,Yellow Glasswort,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,4,36,,,A,,,,native,,,,,,,,,,,,,,Salicornia fragilis,95,Amaranthaceae,,,,
Salicornia nitens,Salicornia nitens,95,Amaranthaceae,Shiny Glasswort,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,4,36,,,A,,,,native (inferred),,,,,,,,,,,,,,Salicornia nitens,95,Amaranthaceae,,,,
Salicornia obscura,Salicornia obscura,95,Amaranthaceae,Glaucous Glasswort,13,Very rare,2,18,,,A,,,,native,,,,,y,,,,,MANAGEMENT DECISION-VV,,,,Salicornia obscura,95,Amaranthaceae,,1,,
Salicornia ramosissima,Salicornia ramosissima,95,Amaranthaceae,Purple Glasswort,247,Common,"2, 2, 4","18, 18, 36",,,A,,,,native,,,,,,,,,,,,,Y,Salicornia ramosissima,95,Amaranthaceae,,,,
Sarcocornia perennis,Sarcocornia perennis,95,Amaranthaceae,Perennial Glasswort,85,Infrequent,2,18,,,P,,,,native,,,,,y,,,,,,,,,Sarcocornia perennis,95,Amaranthaceae,,1,,
Suaeda maritima,Suaeda maritima,95,Amaranthaceae,Annual Sea-blite,680,Common,4,36,,,A,1.055,1.055,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,Y,Suaeda maritima,95,Amaranthaceae,,,,
Suaeda vera,Suaeda vera,95,Amaranthaceae,Shrubby Sea-blite,56,Rare,4,36,,,P,,,,native,,,,,,,,Y,Unrestricted-Natural Source-Morocco;Unrestricted-Natural Source-Portugal,MANAGEMENT DECISION-VV,,,Y,Suaeda vera,95,Amaranthaceae,,1,Needed? Use cambridge priority?,
Carpobrotus edulis,0,96,Aizoaceae,Hottentot-Fig,98,Infrequent,,,18,,,,,,neophyte,,,,,,,,,,,,,,Carpobrotus edulis,96,Aizoaceae,,,,
Disphyma crassifolium,0,96,Aizoaceae,Purple Dewplant,23,Very rare,,,[36],,,,,,neophyte,,,,,,,,,,,,,,Disphyma crassifolium,96,Aizoaceae,,1,https://pdfs.semanticscholar.org/18bb/8801e9bcdbb4701491ff1489ec8feb51380b.pdf,
Claytonia perfoliata,0,99,Montiaceae,Spring Beauty,729,Abundant,,36,,,,,,,neophyte,,,,,,,,,,,,,,Claytonia perfoliata,99,Montiaceae,,,,
Claytonia sibirica,0,99,Montiaceae,Pink Purslane,1209,Abundant,,,"24, 36, 48",,,,,,neophyte,,,,,,,,Y,Unrestricted--,,,,Y,Claytonia sibirica,99,Montiaceae,,,,
Montia fontana,Montia fontana,99,Montiaceae,Blinks,2768,Ubiquitous,2,18,,,A,0.291968964,0.6,2,native,,,,,y,,,Y,Restricted by Agreement-Natural Source-South Georgia,MANAGEMENT DECISION-VV,Y,,Y,Montia fontana,99,Montiaceae,1,,,
Cornus sanguinea,Cornus sanguinea,102,Cornaceae,Dogwood,1443,Abundant,2,22,,,P,1.130908713,1.130908713,1,native,,,,,,,Y,Y,Unrestricted--;Restricted by Agreement--;Unrestricted-Natural Source-Great Britain;Unrestricted-Natural Source-Russia North;Unrestricted-Natural Source-Turkey;Unrestricted-Natural Source-Greece;Unrestricted-Natural Source-Spain,FOR DISTRIBUTION-VV,Y,,Y,Cornus sanguinea,102,Cornaceae,1,,,
Cornus sericea,0,102,Cornaceae,Red-Osier Dogwood,549,Common,,,22,,,,,,neophyte,,,,,,,,Y,Unrestricted-Natural Source-Idaho;Unrestricted--;Unrestricted-Natural Source-California,,,,Y,Cornus sericea,102,Cornaceae,,,,
Cornus suecica,Cornus suecica,102,Cornaceae,Dwarf Cornel,221,Infrequent,,,22,,P,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Cornus suecica,102,Cornaceae,,,,
Impatiens glandulifera,0,103,Balsaminaceae,Himalayan Balsam,1915,Ubiquitous,,18,,,,,,,neophyte,,,,,,,,Y,Unrestricted--,FOR DISTRIBUTION-VV,Y,,Y,Impatiens glandulifera,103,Balsaminaceae,1,,,
Impatiens noli-tangere,Impatiens noli-tangere,103,Balsaminaceae,Touch-me-not Balsam,127,Infrequent,,,"20, 40",,A,0.592084629,0.592084629,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Impatiens noli-tangere,103,Balsaminaceae,,,,
Polemonium caeruleum,Polemonium caeruleum,104,Polemoniaceae,Jacob's-ladder,391,Common,,18,,,P,5.705635115,5.705635115,1,native,,,,,,,,Y,Unrestricted-Natural Source-British Columbia;Unrestricted--,MANAGEMENT DECISION-NV,,,Y,Polemonium caeruleum,104,Polemoniaceae,,1,,
Hottonia palustris,Hottonia palustris,105,Primulaceae,Water-violet,488,Common,,,20,,P,0.782342617,0.782342617,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,Y,,Y,Hottonia palustris,105,Primulaceae,,,,
Lysimachia arvensis,Anagallis arvensis,105,Primulaceae,Scarlet Pimpernel,2613,Ubiquitous,,40,,,,,,,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Lysimachia arvensis,105,Primulaceae,,,,
Lysimachia europaea,Trientalis europaea,105,Primulaceae,Chickweed-wintergreen,513,Common,,,c.160,,,,,,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Lysimachia europaea,105,Primulaceae,,,,
Lysimachia maritima,Glaux maritima,105,Primulaceae,Sea-milkwort,1218,Abundant,,30,,,,,,,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Lysimachia maritima,105,Primulaceae,,,,
Lysimachia minima,Anagallis minima,105,Primulaceae,Chaffweed,629,Common,,,22,,,,,,native (inferred),,,,,,,,,,MANAGEMENT DECISION-NV,,,Y,Lysimachia minima,105,Primulaceae,,,,
Lysimachia nemorum,Lysimachia nemorum,105,Primulaceae,Yellow Pimpernel,2969,Ubiquitous,,"16, 18",,,P,1.42502971,1.42502971,1,native,,,,,,,,Y,Unrestricted-Natural Source-Azores,FOR DISTRIBUTION-NV,Y,,Y,Lysimachia nemorum,105,Primulaceae,1,,,
Lysimachia nummularia,Lysimachia nummularia,105,Primulaceae,Creeping-Jenny,1712,Abundant,,43,,,P,1.403880408,1.403880408,1,native,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-Greece,FOR DISTRIBUTION-NV,Y,,Y,Lysimachia nummularia,105,Primulaceae,,,,
Lysimachia tenella,Anagallis tenella,105,Primulaceae,Bog Pimpernel,1296,Ubiquitous,2,22,,,,,,,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Lysimachia tenella,105,Primulaceae,,,,
Lysimachia thyrsiflora,Lysimachia thyrsiflora,105,Primulaceae,Tufted Loosestrife,64,Rare,,,42,,P,1.45,1.45,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Lysimachia thyrsiflora,105,Primulaceae,,,,
Lysimachia vulgaris,Lysimachia vulgaris,105,Primulaceae,Yellow Loosestrife,1578,Abundant,,84,"42, 84",,P,3.810633546,3.810633546,1,native,,,,,,,,Y,Unrestricted-Natural Source-Japan;Unrestricted-Natural Source-Great Britain;Unrestricted--,FOR DISTRIBUTION-VV,Y,,Y,Lysimachia vulgaris,105,Primulaceae,,,,
Primula elatior,Primula elatior,105,Primulaceae,Oxlip,55,Rare,2,22,,,P,0.482472103,0.482472103,1,native,,,,,longstanding interest in whether hybrid - good public story,,,Y,Unrestricted--;Unrestricted-Natural Source-Great Britain;Restricted by Agreement-Natural Source-France;Unrestricted-Natural Source-North Caucasus,MANAGEMENT DECISION-NV,,,Y,Primula elatior,105,Primulaceae,,1,Focal group cambridge,
Primula farinosa,Primula farinosa,105,Primulaceae,Bird's-eye Primrose,105,Infrequent,2,18,,,P,1.87,1.87,1,native,,,,,potential parent of endemic scotica,,Y,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Primula farinosa,105,Primulaceae,,1,Focal group cambridge,
Primula scotica,Primula scotica,105,Primulaceae,Scottish Primrose,44,Rare,5,54,,,P,,,,native,,,,,"endemic, endangered",,Y,Y,Unrestricted--;Unrestricted-Natural Source-Great Britain;Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Primula scotica,105,Primulaceae,,1,,
Primula veris,Primula veris,105,Primulaceae,Cowslip,2099,Ubiquitous,2,22,,,P,0.425875854,0.425875854,1,native,,,,,possible parent elatior,,Y,Y,Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-Great Britain;Unrestricted--;Restricted--Great Britain;Restricted by Agreement-Natural Source-Great Britain;Restricted-Natural Source-Great Britain,MANAGEMENT DECISION-VV,Y,,Y,Primula veris,105,Primulaceae,1,,Focal group cambridge,
Primula vulgaris,Primula vulgaris,105,Primulaceae,Primrose,3613,Ubiquitous,2,22,,,P,0.440295903,0.440295903,1,native,,,,,possible parent elatior,,Y,Y,Unrestricted--;Restricted by Agreement--,MANAGEMENT DECISION-NV,,,Y,Primula vulgaris,105,Primulaceae,1,,Focal group cambridge,
Samolus valerandi,Samolus valerandi,105,Primulaceae,Brookweed,1265,Abundant,,26,,,P,0.72,0.72,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Samolus valerandi,105,Primulaceae,,,,
Diapensia lapponica,Diapensia lapponica,106,Diapensiaceae,Diapensia,1,Very rare,,,12,,P,,,,native,,,,,,,,,,,,,,Diapensia lapponica,106,Diapensiaceae,,1,,
Sarracenia purpurea,0,107,Sarraceniaceae,Pitcher Plant,24,Very rare,,,26,,,,,,neophyte,,,,,,,,Y,Unrestricted-Natural Source-North Carolina;Unrestricted-Natural Source-;Unrestricted-Natural Source-Florida;Unrestricted--;Unrestricted-Natural Source-Great Britain;Unrestricted-Natural Source-Wisconsin;Unrestricted-Natural Source-Ontario,,,,Y,Sarracenia purpurea,107,Sarraceniaceae,,1,,
Andromeda polifolia,Andromeda polifolia,108,Ericaceae,Bog-rosemary,373,Common,,48,,,P,0.983610727,0.983610727,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Norway;Unrestricted--,MANAGEMENT DECISION-VV,,,Y,Andromeda polifolia,108,Ericaceae,,,,
Arbutus unedo,Arbutus unedo,108,Ericaceae,Strawberry tree,,,,,,,P,,,,Irish endemic,,,,,,,,,,,,,,Arbutus unedo,108,Ericaceae,,,,
Arctostaphylos alpinus,Arctostaphylos alpinus,108,Ericaceae,Alpine Bearberry,135,Infrequent,,26,,,P,,,,native,,,,,,,Y,,,,,,Y,Arctostaphylos alpinus,108,Ericaceae,,,,
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,108,Ericaceae,Bearberry,507,Common,,52,,,P,1.106634252,1.106634252,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Washington;Unrestricted-Natural Source-North Caucasus;Unrestricted--;Unrestricted-Natural Source-California,FOR DISTRIBUTION-NV,,,Y,Arctostaphylos uva-ursi,108,Ericaceae,,,,
Calluna vulgaris,Calluna vulgaris,108,Ericaceae,Heather,3347,Ubiquitous,,16,,,P,0.534196219,0.534196219,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain;Restricted by Agreement-Natural Source-Southern Africa;Unrestricted--,MANAGEMENT DECISION-VV,,,Y,Calluna vulgaris,108,Ericaceae,1,,,
Empetrum nigrum,Empetrum nigrum,108,Ericaceae,Crowberry,1598,Abundant,2,26,52,,P,0.574394807,0.574394807,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Sakhalin,FOR DISTRIBUTION-NV,,,Y,Empetrum nigrum,108,Ericaceae,,,,
Erica ciliaris,Erica ciliaris,108,Ericaceae,Dorset Heath,30,Very rare,2,24,,,P,,,,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain;Unrestricted-Natural Source-Portugal,MANAGEMENT DECISION-NV,,,Y,Erica ciliaris,108,Ericaceae,,,,
Erica cinerea,Erica cinerea,108,Ericaceae,Bell Heather,2729,Ubiquitous,2,24,,,P,0.395,0.395,1,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain;Unrestricted--,FOR DISTRIBUTION-VV,,,Y,Erica cinerea,108,Ericaceae,1,,,
Erica tetralix,Erica tetralix,108,Ericaceae,Cross-leaved Heath,2749,Ubiquitous,2,24,,,P,0.429006653,0.429006653,1,native,,,,,,,Y,Y,Unrestricted--;Restricted by Agreement-Natural Source-Great Britain;Unrestricted-Natural Source-Portugal,FOR DISTRIBUTION-NV,,,Y,Erica tetralix,108,Ericaceae,,,,
Erica vagans,Erica vagans,108,Ericaceae,Cornish Heath,72,Rare,2,24,,,P,,,,native,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-Spain,MANAGEMENT DECISION-VV,,,Y,Erica vagans,108,Ericaceae,,,,
Gaultheria shallon,0,108,Ericaceae,Shallon,200,Infrequent,,,88,,,,,,neophyte,,,,,,,,Y,Unrestricted-Natural Source-British Columbia;Unrestricted--California;Unrestricted--,,,,Y,Gaultheria shallon,108,Ericaceae,,,,
Hypopitys monotropa,Monotropa hypopitys,108,Ericaceae,Yellow Bird's-nest,308,Common,,"16, 48",,,P,,,,native,,,,,,,,,,,Y,,Y,Hypopitys monotropa,108,Ericaceae,,,,
Kalmia procumbens,Loiseleuria procumbens,108,Ericaceae,Trailing Azalea,184,Infrequent,,,24,,P,,,,native (inferred),,,,,,,Y,,,,,,Y,Kalmia procumbens,108,Ericaceae,,,,
Moneses uniflora,Moneses uniflora,108,Ericaceae,One-flowered Wintergreen,26,Very rare,,,26,,P,8.540735123,8.540735123,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Moneses uniflora,108,Ericaceae,,,,
Orthilia secunda,Orthilia secunda,108,Ericaceae,Serrated Wintergreen,241,Common,,,38,,P,8.098255068,8.098255068,1,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Orthilia secunda,108,Ericaceae,,,,
Phyllodoce caerulea,Phyllodoce caerulea,108,Ericaceae,Blue Heath,3,Very rare,,,24,,P,,,,native,,,,,,,,Y,Unrestricted-Natural Source-Japan,MANAGEMENT DECISION-NV,,,Y,Phyllodoce caerulea,108,Ericaceae,,,,
Pyrola media,Pyrola media,108,Ericaceae,Intermediate Wintergreen,307,Common,,46,,,P,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,Y,Pyrola media,108,Ericaceae,,,,
Pyrola minor,Pyrola minor,108,Ericaceae,Common Wintergreen,621,Common,,,46,,P,3.563429622,3.563429622,1,native,,,,,,,Y,Y,Unrestricted--Poland,FOR DISTRIBUTION-NV,,,Y,Pyrola minor,108,Ericaceae,,,,
Pyrola rotundifolia,Pyrola rotundifolia,108,Ericaceae,Round-leaved wintergreen,,,2,46,,,,,,,,,,,,,,,,,,,,,Pyrola rotundifolia,108,Ericaceae,,,,
Rhododendron ponticum,0,108,Ericaceae,Rhododendron,2487,Ubiquitous,,,26,,,,,,neophyte,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-Portugal;Restricted by Agreement-Natural Source-Spain;Unrestricted-Natural Source-Turkey,,,,Y,Rhododendron ponticum,108,Ericaceae,,,,
Vaccinium microcarpum,Vaccinium microcarpum,108,Ericaceae,Small Cranberry,110,Infrequent,2,24,,,P,0.518236065,0.518236065,1,native,,,,,,,,,,MANAGEMENT DECISION-VV,,,,Vaccinium microcarpum,108,Ericaceae,,,,
Vaccinium myrtillus,Vaccinium myrtillus,108,Ericaceae,Bilberry,2591,Ubiquitous,2,24,,,P,0.538168153,0.538168153,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-North Caucasus,FOR DISTRIBUTION-VV,,,Y,Vaccinium myrtillus,108,Ericaceae,1,,,
Vaccinium oxycoccos,Vaccinium oxycoccos,108,Ericaceae,Cranberry,979,Abundant,,,"48, 72",,P,0.59,2.388697178,2,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Vaccinium oxycoccos,108,Ericaceae,,,,
Vaccinium uliginosum,Vaccinium uliginosum,108,Ericaceae,Bog Bilberry,254,Common,3,39,,,P,1.294999649,1.294999649,1,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Vaccinium uliginosum,108,Ericaceae,,,,
Vaccinium vitis-idaea,Vaccinium vitis-idaea,108,Ericaceae,Cowberry,1023,Abundant,2,24,,,P,0.996752811,0.996752811,1,native,,,,,,,Y,Y,Unrestricted--,FOR DISTRIBUTION-VV,,,Y,Vaccinium vitis-idaea,108,Ericaceae,,,,
Asperula cynanchica,Asperula cynanchica,110,Rubiaceae,Squinancywort,382,Common,4,40,,,P,0.81775216,1.925,2,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Asperula cynanchica,110,Rubiaceae,,,,
Cruciata laevipes,Cruciata laevipes,110,Rubiaceae,Crosswort,1519,Abundant,2,22,,,P,0.29271513,0.29271513,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Cruciata laevipes,110,Rubiaceae,,,,
Galium album,Galium album,110,Rubiaceae,,1773,Ubiquitous,4,44,,,P,1.667212367,1.667212367,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Galium album,110,Rubiaceae,,,,
Galium aparine,Galium aparine,110,Rubiaceae,Cleavers,3651,Ubiquitous,6,66,,,A,0.905018992,1.45,2,native,,In the list of top 2 arable weeds,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Galium aparine,110,Rubiaceae,1,,,
Galium boreale,Galium boreale,110,Rubiaceae,Northern Bedstraw,667,Common,4,44,,,P,0.968722753,1.6,2,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Galium boreale,110,Rubiaceae,,,,
