Order	Family	Genus	Species	species author	infraspecific	common name	Hybrid	Sexual system	selfing	Growth Form	Woodiness count	Life_Form	gametophytic	gametophytic_min	sporophytic	sporophytic_min	karyotype	mol_basis	genotypic
Sapindales	Sapindaceae	Acer	opalus	(Waldst. & Kit. ex Willd.) Gams	subsp. obtusatum														
Sapindales	Sapindaceae	Acer	opalus		subsp. opalus														
Sapindales	Sapindaceae	Acer	opalus	Mill.				androdioecy			0;0;8				26;26	26			
Sapindales	Sapindaceae	Acer	palmatum	(Carrière) H.Hara	subsp. amoenum														
Sapindales	Sapindaceae	Acer	palmatum		subsp. palmatum														
Sapindales	Sapindaceae	Acer	palmatum	Thunb.		(Japanese maple)		monoecy|androdioecy		tree	0;0;9		13	13	26	26			
Sapindales	Sapindaceae	Acer	pauciflorum	W.P.Fang						tree									
Sapindales	Sapindaceae	Acer	paxii	Franch.						tree									
Sapindales	Sapindaceae	Acer	pectinatum	(Hub.-Mor.) A.E.Murray	subsp. taronense														
Sapindales	Sapindaceae	Acer	pectinatum	Wall. ex G.Nicholson						tree	0;0;1		13	13					
Sapindales	Sapindaceae	Acer	pehpeiense	W.P.Fang & H.Y.Su															
Sapindales	Sapindaceae	Acer	pensylvanicum	L.		(striped maple)		other			0;0;38				26	26			
Sapindales	Sapindaceae	Acer	pentaphyllum	Diels						tree									
Sapindales	Sapindaceae	Acer	pentapomicum	Stewart ex Brandis						tree|shrub					26	26			
Sapindales	Sapindaceae	Acer	pictum	Thunb.						tree	0;0;1		13	13					
Sapindales	Sapindaceae	Acer	pilosum	Maxim.				monoecy		tree	0;0;1								
Sapindales	Sapindaceae	Acer	platanoides	L.		(Norway maple)		monoecy			0;0;56		13	13	26;26;26;26;26;26	26			
Sapindales	Sapindaceae	Acer	pluridens	T.Z.Hsu & H.Sun															
Sapindales	Sapindaceae	Acer	poliophyllum	W.P.Fang & Y.T.Wu						tree									
Sapindales	Sapindaceae	Acer	pseudoplatanus	L.		(sycamore maple)		monoecy		tree	0;0;40		26;26;26	26	52;52;52;52;52;52;52;52;52	52			
Sapindales	Sapindaceae	Acer	pseudosieboldianum		subsp. pseudosieboldianum														
Sapindales	Sapindaceae	Acer	pseudosieboldianum	Nakai	var. koreanum														
Sapindales	Sapindaceae	Acer	pseudosieboldianum	(Pax) Kom.						tree|shrub	0;0;5				26;26;26;26	26			
Sapindales	Sapindaceae	Acer	pubinerve	Rehder						tree									
Sapindales	Sapindaceae	Acer	pubinerve	W.P.Fang & P.L.Chiu	var. apiferum														
Sapindales	Sapindaceae	Acer	pubipalmatum	W.P.Fang															
