Species_name	NCBI_TXID	species_name_status	Class	Order	Suborder	Family	chromosome_number_female	ploidy_of_female	heterogametic_chromosomes_female-male	sexual_system	programmed_DNA_elimination_present	alternate_karyotypes	reference
Meloidogyne minor	235213		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	34	polyploid		p-me*			96
Meloidogyne morrociensis			CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	47	polyploid		p-mi		47-49	97
Meloidogyne naasi	244176		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	polyploid		p-me*			38
Meloidogyne nataliei	107756		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	8	2		m/f			98
Meloidogyne oryzae	325757		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	51	polyploid		p-mi		51-55	38
Meloidogyne ottersoni			CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	polyploid		p-me*			38
Meloidogyne paranaensis	189293		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	50	polyploid		p-mi		50-52	99
Meloidogyne partityla	285957		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	40	polyploid		p-mi		40-42	100
Meloidogyne platani			CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	42	polyploid		p		42-44	38
Meloidogyne querciana			CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	30	polyploid		p		30-32	38
Meloidogyne spartinae	436084		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	14	2		m/f			76
Meloidogyne subarctica			CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	2		m/f			38
Meloidogyne trifoliophila	79066		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	polyploid		p-me			90
Mesorhabditis belari	2138241		CHROMADOREA	RHABDITIDA	RHABDITINA	MESORHABDITIDAE	20	2	XX/X0	gy	yes+?		12
Mesorhabditis monhystera	2715832	revised	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	14	2					101
Metastrongylus apri	1705085	revised	CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	12	2					26
Monanema martini	992335		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	12	2	XX/X0	m/f			41
Onchocerca armillata	36091		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	10	2	XX/XY	m/f			41
Onchocerca dukei	173668		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	10	2	XX/XY	m/f		12	102
Onchocerca gibsoni	6284		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	8	2	XX/XY	m/f			41
Onchocerca gutturosa	6283		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	10	2	XX/XY	m/f			41
Onchocerca linealis	263205		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	10	2	XX/XY	m/f			103
Onchocerca ochengi	42157		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	10	2	XX/XY	m/f			41
Onchocerca tarsicola			CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	10	2	XX/XY	m/f		4,6,8	41
Onchocerca volvulus	6282		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	8	2	XX/XY	m/f			41
Ophidascaris filaria	2511119		CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	14	2					104
Ophiostoma mucronatum		revised	CHROMADOREA	RHABDITIDA	SPIRURINA	CYSTIDICOLIDAE	12	2					27
Oscheius dolichura	473156		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	12	2	XX/X0	m/h	yes+7		105
Oscheius onirici	1559960		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	12	2	XX/X0	m/h	yes+0		105
Oscheius sp. DF5120	2879420	n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	12	2	XX/X0	m/h	yes+2		105
Oscheius sp. JU1382	2879419	n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	12	2	XX/X0	m/h	yes+10		105
Oscheius tipulae	141969		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	12	2	XX/X0	m/h	yes+0		106
Panagrellus redivivus	6233		CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	10	2	XX/X0	m/f			42
Panagrolaimus davidi	277884		CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	14	2		p			107
Panagrolaimus rigidus	591433		CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	8	2	XX/X0	m/f			30
Panagrolaimus sp. DAWI		n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	12	3		p-me			43
Panagrolaimus sp. ES5	591445	n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	8	2		m/f			43
Panagrolaimus sp. PS1159	55785	n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	12	3		p-me			43
Panagrolaimus sp. PS1579	310962	n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	12	3		p-me			43
Panagrolaimus superbus	310955		CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	8	2		m/f			43
Paramermis contorta			DORYLAIMIA	MERMITHIDA	MERMITHINA	MERMITHIDAE	12	2		m/f			30
Parascaris equorum	6256		CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	2	2				4,6,8,10	27
Passalurus ambiguus	451380		CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	8	2	XX/X0	m/f			108
Pellioditis pellio	51036	revised	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	14	2					26
Physaloptera clausa			CHROMADOREA	RHABDITIDA	SPIRURINA	PHYSALOPTERIDAE	10	2	XX/X0	m/f			71
Physaloptera turgida	75559		CHROMADOREA	RHABDITIDA	SPIRURINA	PHYSALOPTERIDAE	10	2	XX/X0	m/f			79
Poikilolaimus oxycercus	96659		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	10	2					42
Pratylenchus coffeae	45937		CHROMADOREA	RHABDITIDA	TYLENCHINA	PRATYLENCHIDAE	18	2		m/f			37
Pratylenchus penetrans	45929		CHROMADOREA	RHABDITIDA	TYLENCHINA	PRATYLENCHIDAE	10	2		m/f			109
Pratylenchus scribneri	45936		CHROMADOREA	RHABDITIDA	TYLENCHINA	PRATYLENCHIDAE	12	2		h			37
Pratylenchus vulnus	45931		CHROMADOREA	RHABDITIDA	TYLENCHINA	PRATYLENCHIDAE	12	2		m/f			37
Pratylenchus zeae	137663		CHROMADOREA	RHABDITIDA	TYLENCHINA	PRATYLENCHIDAE	26	2		h			109
Pristionchus exspectatus	1195656		CHROMADOREA	RHABDITIDA	RHABDITINA	DIPLOGASTERIDAE	12	2	XX/XY	m/f			110
Pristionchus pacificus	54126		CHROMADOREA	RHABDITIDA	RHABDITINA	DIPLOGASTERIDAE	12	2	XX/X0	m/h			77
Prodontorhabditis wirthi	281684	revised	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	12	2					42
Proleptus robustus			CHROMADOREA	RHABDITIDA	SPIRURINA	PHYSALOPTERIDAE	16	2					26
Propanagrolaimus sp. JU765	591449	n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	10	2		m/f			43
Protorhabditis prodontis			CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	14	2					42
Protorhabditis sp. 2 SB406		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	2	2		p			42
Protorhabditis sp. 4 JB122	473172	n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	2	2		ps			42
Protospirura muricola	1766045	revised	CHROMADOREA	RHABDITIDA	SPIRURINA	SPIRURIDAE	10	2	XX/X0	m/f			79
Radopholus similis	46012		CHROMADOREA	RHABDITIDA	TYLENCHINA	PRATYLENCHIDAE	10	2		h			111
Rhabdias bufonis	174716		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDIASIDAE	12	2	XX/X0	m/f | h			112
Rhabdias fuelleborni	2986572	revised	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDIASIDAE	12	2	XX/X0	m/f | h			113
Rhabdias ranae	357927		CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDIASIDAE	12	2	XX/X0	m/f | h			30
Rhabditis aberrans			CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	18	2	XX/X0	m/f			26
Rhabditis anomala			CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	20	3		p			114
