order	lineage	superorder	family_scientific_name	scientific_name	english_name	ncbi_taxon_id	status	iucn_2016-2024	cites	main_project	second_project	publication	project	all_projects	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published	sequencing_status
m26	Mammals	Supraprimates (Euarchontoglires)	Geomyoidea	Thomomys bottae	Botta's pocket gopher	10013	4	Least Concern		CCGP			VGP	CCGP,VGP	CCGP,VGP	CCGP,VGP	CCGP,VGP				CCGP,VGP			open
m27	Mammals	Supraprimates (Euarchontoglires)	Castoridae	Castor canadensis	North American beaver	51338	4	Least Concern					VGP	VGP	VGP	VGP	VGP				VGP			open
m28	Mammals	Supraprimates (Euarchontoglires)	Leporidae	Oryctolagus cuniculus	European rabbit	9986	4	Endangered		DToL			VGP	DToL,VGP	DToL,VGP	DToL,VGP	DToL,VGP				DToL,VGP			open
m29	Mammals	Supraprimates (Euarchontoglires)	Ochotonidae	Ochotona princeps	American pika	9978	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m30	Mammals	Supraprimates (Euarchontoglires)	Tupaiidae	Tupaia tana	large treeshrew	70687	4	Least Concern					VGP	VGP	VGP	VGP	VGP				VGP			open
m31	Mammals	Supraprimates (Euarchontoglires)	Ptilocercidae	Ptilocercus lowii	pen-tailed treeshrew	320338	2	Least Concern					VGP	VGP										
m32	Mammals	Laurasiatheria	Phocoenidae	Phocoena sinus	vaquita	42100	4	Critically Endangered		VGP	Cetacean GP		VGP	CGP,VGP	CGP,VGP	CGP,VGP	CGP,VGP				CGP,VGP			open
m32	Mammals	Laurasiatheria	Phocoenidae	Phocoena phocoena	harbor porpoise	9742		Least Concern		DToL			VGP	DToL,VGP										
m32	Mammals	Laurasiatheria	Delphinidae	Tursiops truncatus	bottlenose dolphin	9739		Least Concern		VGP	Cetacean GP		VGP	CGP,VGP										
m32	Mammals	Laurasiatheria	Delphinidae	Pseudorca crassidens	false killer whale	82174		Near Threatened		Cetacean GP	VGP		VGP	CGP,VGP										
m32	Mammals	Laurasiatheria	Delphinidae	Peponocephala electra	melon-headed whale	103596		Least Concern				https://www.scidb.cn/en/detail?dataSetId=b4a00568b9cc4f67b6f2945627e9abbf	VGP	VGP										
m32	Mammals	Laurasiatheria	Delphinidae	Lagenorhynchus acutus	Atlantic white-sided dolphin	90246		Least Concern		DToL			VGP	DToL,VGP										
m32	Mammals	Laurasiatheria	Delphinidae	Orcinus orca	killer whale	9733		Not evaluated		DToL	Cetacean GP		VGP	Cetacean GP,DToL,VGP										
m32	Mammals	Laurasiatheria	Delphinidae	Lagenorhynchus albirostris	white-beaked dolphin	27610		Least Concern		DToL			VGP	DToL,VGP										
m32	Mammals	Laurasiatheria	Delphinidae	Globicephala melas	long-finned pilot whale	9731		Least Concern		DToL			VGP	DToL,VGP										
m32	Mammals	Laurasiatheria	Delphinidae	Grampus griseus	Risso's dolphin	83653		Least Concern		DToL			VGP	DToL,VGP										
m32	Mammals	Laurasiatheria	Iniidae	Inia geoffrensis	Amazon river dolphin	9725		Endangered		Cetacean GP	VGP		VGP	CGP,VGP										
m32	Mammals	Laurasiatheria	Iniidae	Delphinus delphis	saddleback dolphin	9728		Least Concern		DToL			VGP	DToL,VGP										
m32	Mammals	Laurasiatheria	Balaenopteridae	Balaenoptera musculus	blue whale	9771		Endangered		VGP			VGP	VGP										
m32	Mammals	Laurasiatheria	Balaenopteridae	Stenella coeruleoalba	striped dolphin	9737		Least Concern		Cetacean GP			VGP	CGP,VGP										
m33	Mammals	Laurasiatheria	Balaenopteridae	Eschrichtius robustus	grey whale	9764		Least Concern		Cetacean GP			VGP	CGP,VGP										
m32	Mammals	Laurasiatheria	Balaenopteridae	Balaenoptera ricei	Rice's whale	2746895		Critically Endangered		Cetacean GP			VGP	CGP,VGP										
m32	Mammals	Laurasiatheria	Balaenopteridae	Balaenoptera acutorostrata	common minke whale	9767		Least Concern		DToL			VGP	DToL,VGP										
m32	Mammals	Laurasiatheria	Balaenopteridae	Megaptera novaeangliae	humpback whale	9773		Least Concern		Individual			VGP	Individual,VGP										
m32	Mammals	Laurasiatheria	Ziphiidae	Mesoplodon densirostris	Blainville's beaked whale	48708		Least Concern		Cetacean GP			VGP	CGP,VGP										
m32	Mammals	Laurasiatheria	Ziphiidae	Mesoplodon bidens	Sowerby's beaked whale	48745		Least Concern		DToL			VGP	DToL,VGP										
m32	Mammals	Laurasiatheria	Ziphiidae	Mesoplodon mirus	True's beaked whale	52113		Least Concern		DToL			VGP	DToL,VGP										
m32	Mammals	Laurasiatheria	Ziphiidae	Hyperoodon ampullatus	North Atlantic bottlenose whale	48744		Near Threatened		DToL			VGP	DToL,VGP										
m32	Mammals	Laurasiatheria	Kogiidae	Kogia breviceps	pygmy sperm whale	27615		Least Concern		Cetacean GP			VGP	CGP,VGP										
m32	Mammals	Laurasiatheria	Balaenidae	Eubalaena glacialis	North Atlantic right whale	27606		Critically Endangered		Cetacean GP			VGP	CGP,VGP										
m32	Mammals	Laurasiatheria	Balaenidae	Monodon monocero	narwhal	40151		Least Concern		Narwhal project			VGP	Narwhal project,VGP										
m33	Mammals	Laurasiatheria	Hippopotamidae	Hippopotamus amphibius	common hippopotamus	9833	4	Vulnerable		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m34	Mammals	Laurasiatheria	Bovidae	Bos taurus	Brahman cow	9913	4	Least Concern		Cattle			VGP	Cattle,VGP	Cattle,VGP	Cattle,VGP	Cattle,VGP				Cattle,VGP			open
m34	Mammals	Laurasiatheria	Bovidae	Cephalophula zebra	zebra duiker	129233		Vulnerable		Collosal			VGP	Collosal,VGP										
m34	Mammals	Laurasiatheria	Cervidae	Cervus elaphus	red deer	9860		Least Concern		DToL			VGP	DToL,VGP										
m34	Mammals	Laurasiatheria	Cervidae	Muntiacus reevesi	Reeves' muntjac	9886		Least Concern		DToL			VGP	DToL,VGP										
m34	Mammals	Laurasiatheria	Cervidae	Dama dama	fallow deer	30532				Yggdrasil			VGP	VGP,YGG										
m35	Mammals	Laurasiatheria	Suidae	Sus scrofa	pig	9823	4	Least Concern		Individual contribution, Ruminant T2T			VGP	Individual contribution, Ruminant T2T,VGP	Individual contribution, Ruminant T2T,VGP	Individual contribution, Ruminant T2T,VGP	Individual contribution, Ruminant T2T,VGP				Individual contribution, Ruminant T2T,VGP			open
m35	Mammals	Laurasiatheria	Suidae	Babyrousa celebensis	North Sulawesi babirusa	1303000		Vulnerable		VGP	Collosal		VGP	Collosal,VGP										
