ncbi_taxon_id	species	family	target_list_status	sequencing_status	publication_id	taxonomic_group	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
63812	Peumus boldus	Monimiaceae	long_list			Vascular plant	1000GCH	1000GCH											
4707	Lapageria rosea	Smilacaceae	long_list			Vascular plant	1000GCH	1000GCH											
22303	Lactoris fernandeziana	Lactoridaceae	long_list			Vascular plant	1000GCH	1000GCH											
1279153	Pitavia punctata	Rutaceae	long_list			Vascular plant	1000GCH	1000GCH											
1913609	Metharme lanata	Zygophyllaceae	long_list			Vascular plant	1000GCH	1000GCH											
361528	Thyrsopteris elegans	Thyrsopteridaceae	long_list			Vascular plant	1000GCH	1000GCH											
128215	Sphagnum magellanicum	Sphagnaceae	long_list			Vascular plant	1000GCH	1000GCH											
120634	Prumnopitys andina	Podocarpaceae	long_list			Vascular plant	1000GCH	1000GCH											
2809278	Paposoa laeta	Amaryllidaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Phycella fulgens	Amaryllidaceae	long_list			Vascular plant	1000GCH	1000GCH											
1910960	Marticorenia foliosa	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
540062	Oxyphyllum ulicinum	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
39268	Aextoxicon punctatum	Aextoxicaceae	long_list			Vascular plant	1000GCH	1000GCH											
2511894	Atriplex vallenarensis	Chenopodiaceae	long_list			Vascular plant	1000GCH	1000GCH											
267725	Eulychnia acida	Cactaceae	long_list			Vascular plant	1000GCH	1000GCH											
106974	Maihuenia poeppigii	Cactaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Neltuma chilensis	Fabaceae	long_list			Vascular plant	1000GCH	1000GCH											
28931	Nothofagus alessandri	Nothofagaceae	long_list			Vascular plant	1000GCH	1000GCH											
168495	Buddleja globosa	Scrophulariaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Menodora linoides	Oleaceae	long_list			Vascular plant	1000GCH	1000GCH											
136114	Cryptocarya alba	Lauraceae	long_list			Vascular plant	1000GCH	1000GCH											
375235	Legrandia concinna	Myrtaceae	long_list			Vascular plant	1000GCH	1000GCH											
54939	Gevuina avellana	Proteaceae	long_list			Vascular plant	1000GCH	1000GCH											
186729	Berberis microphylla	Berberidaceae	long_list			Vascular plant	1000GCH	1000GCH											
385351	Vestia foetida	Solanaceae	long_list			Vascular plant	1000GCH	1000GCH											
90533	Pintoa chilensis	Zygophyllaceae	long_list			Vascular plant	1000GCH	1000GCH											
42754	Araucaria araucana	Araucariaceae	long_list			Vascular plant	1000GCH	1000GCH											
103972	Fitzroya cupressoides	Cupressaceae	long_list			Vascular plant	1000GCH	1000GCH											
56905	Saxegothaea conspicua	Podocarpaceae	long_list			Vascular plant	1000GCH	1000GCH											
1263703	Paraphymatoceros diadematus	Notothyladaceae	long_list			Vascular plant	1000GCH	1000GCH											
324404	Catagoniopsis berteroana	Stereophyllaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Herzogiaria teres	Pseudolepicoleaceae	long_list			Vascular plant	1000GCH	1000GCH											
2029538	Costesia macrocarpa	Gigaspermaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Rhodobryum chilense	Bryaceae	long_list			Vascular plant	1000GCH	1000GCH											
168113	Schimperobryum splendidissimum	Schimperobryaceae	long_list			Vascular plant	1000GCH	1000GCH											
2959405	Syntrichia muricata	Pottiaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Zostera chilensis	Zosteraceae	long_list			Vascular plant	1000GCH	1000GCH											
681577	Apium fernandezianum	Apiaceae	long_list			Vascular plant	1000GCH	1000GCH											
344358	Azorella compacta	Apiaceae	long_list			Vascular plant	1000GCH	1000GCH											
477861	Eryngium fernandezianum	Apiaceae	long_list			Vascular plant	1000GCH	1000GCH											
993469	Bipinnula volkmannii	Orchidaceae	long_list			Vascular plant	1000GCH	1000GCH											
993481	Chloraea heteroglossa	Orchidaceae	long_list			Vascular plant	1000GCH	1000GCH											
2778497	Conanthera urceolata	Tecophilaeaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Gavilea kingii	Orchidaceae	long_list			Vascular plant	1000GCH	1000GCH											
51479	Gilliesia atropurpurea	Amaryllidaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Latace serenense	Alliaceae	long_list			Vascular plant	1000GCH	1000GCH											
3060853	Phycella amoena	Amaryllidaceae	long_list			Vascular plant	1000GCH	1000GCH											
1263207	Phycella maulensis	Amaryllidaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Tristagma subbiflorum	Alliaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Ulantha apinnula	Orchidaceae	long_list			Vascular plant	1000GCH	1000GCH											
2528738	Baccharis tola	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
1177005	Erigeron rupicola	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
	Gutierrezia neaeana	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
2732271	Leucheria cantillanensis	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
	Nardophyllum genistoides	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
	Plectocephalus formosus	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
189224	Robinsonia berteroi	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
	Senecio balsamicus	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
2841769	Senecio nutans	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
1548622	Tessaria absinthioides	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
	Wahlenbergia fernandeziana	Campanulaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Heliotropium jaffuelii	Heliotropiaceae	long_list			Vascular plant	1000GCH	1000GCH											
2585149	Selkirkia limensis	Boraginaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Cardamine kruesselii	Brassicaceae	long_list			Vascular plant	1000GCH	1000GCH											
946224	Ivania juncalensis	Brassicaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Lepidium horstii	Brassicaceae	long_list			Vascular plant	1000GCH	1000GCH											
1400626	Menonvillea minima	Brassicaceae	long_list			Vascular plant	1000GCH	1000GCH											
326748	Tropaeolum beuthii	Tropaeolaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Frankenia vidalii	Frankeniaceae	long_list			Vascular plant	1000GCH	1000GCH											
2021619	Sanctambrosia manicata	Caryophyllaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Chenopodium sancti-ambrosii	Chenopodiaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Chorizanthe novoana	Polygonaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Cistanthe cachinalensis	Portulacaceae	long_list			Vascular plant	1000GCH	1000GCH											
1001091	Copiapoa humilis	Cactaceae	long_list			Vascular plant	1000GCH	1000GCH											
1131669	Eriosyce chilensis	Cactaceae	long_list			Vascular plant	1000GCH	1000GCH											
1677732	Eriosyce esmeraldana	Cactaceae	long_list			Vascular plant	1000GCH	1000GCH											
2749205	Eulychnia aricensis	Cactaceae	long_list			Vascular plant	1000GCH	1000GCH											
1131693	Neowerdermannia chilensis	Cactaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Suaeda nesophila	Amaranthaceae	long_list			Vascular plant	1000GCH	1000GCH											
