taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
2511119	Ophidascaris filaria	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	7	2				Homedes, 1933	
6256	Parascaris equorum	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	1	2		yes		Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.; Walton, 1924; Li, 1934; Li, 1937	2, 3, 4, 5, 6, 9
59264	Toxascaris leonina	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	20	2				Mutafova (1995)	
6265	Toxocara canis	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	18	2	X8X8/X80	yes +8 chr		Walton, 1924; Mutafova (1995); Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	11, 12, 22, 23, 24
6266	Toxocara cati	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	9	2	X6X6/X60	yes		Walton, 1924	10, 11
62080	Toxocara vitulorum	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	9	2				Homedes, 1933	
219738	Trichuris vulpis	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	12	2				Walton, 1924	
378086	Camallanus lacustris	CHROMADOREA	RHABDITIDA	SPIRURINA	CAMALLANIDAE	6	2				Walton, 1940	
637853	Gongylonema pulchrum	CHROMADOREA	RHABDITIDA	SPIRURINA	GONGYLONEMATIDAE	5	2	XX/X0			Valero et al, 1982 http://dx.doi.org/10.1051/parasite/2000073180	
46685	Ascaridia galli	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2	XX/X0		male | female | amphimixis	Walton, 1940 	4
596441	Heterakis dispar	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2				Gulick, 1911, Walton, 1940	
65465	Heterakis gallinarum	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2				Mutafova (1995)	
596456	Heterakis papillosa	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2	XX/X0			Gulick, 1911, Walton, 1940	
2731334	Heterakis sp.	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2				Walton, 1924	
596462	Heterakis spumosa	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2				Walton, 1924	
2689298	Cruzia tentaculata	CHROMADOREA	RHABDITIDA	SPIRURINA	KATHLANIIDAE	6	2	XX/X0			Walton, 1924	
6277	Acanthocheilonema viteae	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/10	
6279	Brugia malayi	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/26	
6280	Brugia pahangi	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/25	
6287	Dirofilaria immitis	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/21	6
221929	Litomosoides galizai	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/18 Wade & Post, unpublished	
42156	Litomosoides sigmodontis	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/16	6
7209	Loa loa	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/20	
992335	Monanema martini	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/19	
36091	Onchocerca armillata	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/33	
173668	Onchocerca dukei	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	XX/XY			Post et al, 1991 http://dx.doi.org/10.1051/parasite/2000073202	5
6284	Onchocerca gibsoni	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	4	2	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/38	
6283	Onchocerca gutturosa	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/29	
263205	Onchocerca linealis	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	XX/XY			Post et al, 1989 http://dx.doi.org/10.1051/parasite/2000073205	
