taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	Chromosome_number	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
	Heterakis vesicularis	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2	10				Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	
2689298	Cruzia tentaculata	CHROMADOREA	RHABDITIDA	SPIRURINA	KATHLANIIDAE	6	2	12	XX/X0			Walton, 1924	
6277	Acanthocheilonema viteae	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	12	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/10	
6279	Brugia malayi	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	10	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/26	
6280	Brugia pahangi	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	10	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/25	
6287	Dirofilaria immitis	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	10	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/21	6
221929	Litomosoides galizai	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	12	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/18 Wade & Post, unpublished	
42156	Litomosoides sigmodontis	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	10	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/16	6
7209	Loa loa	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	12	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/20	
992335	Monanema martini	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	12	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/19	
36091	Onchocerca armillata	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	10	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/33	
173668	Onchocerca dukei	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	12	XX/XY			Post et al, 1991 http://dx.doi.org/10.1051/parasite/2000073202	5
6284	Onchocerca gibsoni	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	4	2	8	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/38	
6283	Onchocerca gutturosa	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	10	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/29	
42157	Onchocerca ochengi	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	10	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/37	
6282	Onchocerca volvulus	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	4	2	8	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/46	2, 5
