"Infra Class","Order","Family","Common name","Species","Synonym*","2n","Estimated_haploid_2n/2","Reference"
"NEOGNATHAE","CHARADRIIFORMES","Charadriidae","","Vanellus cinereus","","78","39","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Charadriidae","","Vanellus miles","","76","38","Les Christidis 1990"
"NEOGNATHAE","CHARADRIIFORMES","Charadriidae","","Vanellus spinosus","","72","36","Ebied et al. 2005"
"NEOGNATHAE","CHARADRIIFORMES","Charadriidae","","Vanellus vanellus","","76","38","Hammar 1970; Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Chionidae","Sheathbills","Chionis albus","","76","38","Ledesma et al. 2005"
"NEOGNATHAE","CHARADRIIFORMES","Haematopodidae","Oystercatchers","Haematopus ostralegus","","66","33","Hammar 1970"
"NEOGNATHAE","CHARADRIIFORMES","Haematopodidae","","Haematopus unicolor","","72","36","Baker et al. 1981"
"NEOGNATHAE","CHARADRIIFORMES","Jacanidae","Jacanas","Hydrophasianus chirurgus","","82","41","Samanta and Prasad 1981"
"NEOGNATHAE","CHARADRIIFORMES","Jacanidae","","Jacana jacana","","82","41","Kretschmer et al. 2020a"
"NEOGNATHAE","CHARADRIIFORMES","Jacanidae","","Metopidius indicus","","84","42","Samanta and Prasad 1981"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","Gulls, Terns and Skimmers","Chroicocephalus genei","Larus genei","54","27","Ebied et al. 2005"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","","Gelochelidon nilotica","Sterna nilotica","60","30","Ebied et al. 2005"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","","Larus argentatus","","72","36","Itoh et al. 1969"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","","Larus canus","","70","35","Hammar 1966"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","","Larus crassirostris","","68","34","Bian et al. 1991"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","","Larus dominicanus","","68","34","Ledesma et al. 2005"
