taxon	est_size_mb	length_mb
988048	773	NA
1830392	639	NA
1806703	687	NA
59067	82	NA
2882400	799	NA
987903	793	NA
295702	505	NA
29786	332	NA
1351858	543	NA
1155751	871	NA
1126395	651	NA
878349	522	NA
1436830	808	NA
1870097	666	NA
873510	455	NA
34588	613	NA
2126142	578	NA
2724438	349	NA
758714	736	NA
484362	586	NA
226174	476	NA
1124549	750	NA
1511241	NA	1232
347710	482	NA
242269	856	NA
132697	534	NA
987999	492	NA
62006	261	NA
3082	88	NA
1608261	810	NA
752065	386	NA
345916	189	NA
1553471	359	NA
107885	849	NA
110027	392	NA
65466	534	NA
559660	814	NA
446444	622	NA
111886	455	NA
986958	399	NA
2561279	564	NA
1660634	540	NA
572788	500	NA
934889	984	NA
1101050	832	NA
753423	408	NA
997289	354	NA
465493	394	NA
10212	255	NA
326965	527	NA
1281420	497	NA
722665	705	NA
2769	145	NA
280203	545	NA
312236	892	NA
65147	770	NA
189839	279	NA
1869417	551	NA
3116	245	NA
2801	329	NA
753213	319	NA
1507147	291	NA
13632	506	NA
1594247	620	NA
107782	700	NA
1178152	708	NA
1100904	571	NA
2567737	621	NA
466568	593	NA
585852	341	NA
309358	691	NA
152008	966	NA
63410	472	NA
143736	550	NA
240811	492	NA
27933	706	NA
227532	358	408
242262	480	934
292571	NA	1752
624169	532	472
214181	NA	1390
115357	454	739
938226	422	437
233164	547	478
753202	569	590
721163	313	466
116126	825	871
9662	NA	2490
9662	NA	2503
