row_number	ncbi_taxid	phylum	subphylum	class	order	family	genus_species	common_name	c_value	chromosome_number	c_value_method	cell_type	standard_species	references
6084	7988	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Megaleporinus elongatus	Leporinus	1.47	54	FD	RBC	CP, GD, OM	77
6085	137515	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Leporinus friderici	Threespot leporinus	1.29	54	FD	RBC	CP, GD, OM	76
6086	42626	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Megaleporinus obtusidens	Leporinus	1.42	54	FD	RBC	CP, GD, OM	76
6087	327006	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Leporinus octofasciatus	Leporinus	1.74	54	FD	RBC	CP, GD, OM	76
6088	490527	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Leporinus piau	Leporinus	1.45	54	FD	RBC	CP, GD, OM	77
6089	490528	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Megaleporinus reinhardti	Leporinus	1.43	54	FD	RBC	CP, GD, OM	77
6090	42500	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Leporinus sp.	Leporinus	1.51	NA	FD	RBC	CP, GD, OM	77
6091	304048	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Leporinus striatus	Leporinus	1.56	NA	FD	RBC	CP, GD, OM	76
6092	304048	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Leporinus striatus	Leporinus	1.7	54	BFA	RBC	SP	216
6093	1165828	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Schizodon borellii	Headstander	1.49	NA	FD	RBC	CP, GD, OM	77
6094	490544	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Schizodon intermedius	Headstander	1.43	54	FD	RBC	CP, GD, OM	76
6095	1123856	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Schizodon nasutus	Headstander	1.56	54	FD	RBC	CP, GD, OM	76
6097	681886	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Aphyocharax anisitsi	Bloodfin tetra	1.33	NA	FD	RBC	CP, GD, OM	77
6098	681886	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Aphyocharax anisitsi	Bloodfin tetra	1.7	NA	BFA	RBC	SP	215, 216
6099	1123822	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Aphyocharax dentatus	Tetra	1.23	NA	FD	RBC	CP, GD, OM	77
6100	642541	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Astyanax abramis	Mojara	1.62	50	FD	RBC	CP, GD, OM	77
6101	1769427	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Astyanax asuncionensis	N/A	1.19	50	FD	RBC	CP, GD, OM	77
6102	178767	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Astyanax bimaculatus	Twospot astyanax	1.05	NA	FD	RBC	CP, GD, OM	76
6103	178767	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Astyanax bimaculatus	Twospot astyanax	1.77	50	FCM	RBC	MM	359
6104	1053555	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Astyanax lacustris	Twospot astyanax	1.47	50	FD	RBC	CP, GD, OM	77
6106	223369	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Psalidodon fasciatus	N/A	1.38	50	FD	RBC	CP, GD, OM	77
6107	223369	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Psalidodon fasciatus	N/A	1.75	46	FD	RBC	CP, GD, OM	76
6110	126314	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Brycon microlepis	N/A	1.2	50	FD	RBC	CP, GD, OM	77
6111	681890	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Bryconamericus stramineus	N/A	1.64	52	FD	RBC	CP, GD, OM	76
6112	930236	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Bryconops affinis	Orangefin tetra	1.1	NA	FD	RBC	CP, GD, OM	77
6113	42552	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Chalceus macrolepidotus	Pinktail chalceus	1.03	NA	FD	RBC	HS	342
6114	42552	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Chalceus macrolepidotus	Pinktail chalceus	1.1	54	BFA	RBC	SP	216
6115	303993	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Characidium fasciatum	Darter characin	1.19	50	FD	RBC	CP, GD, OM	76
6116	767249	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Charax leticiae	N/A	1.44	NA	FD	RBC	CP, GD, OM	77
6117	42526	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Colossoma macropomum	Tambaqui	1.5	NA	FIA	RBC	BS, GD, OM, RP	203, 204
6118	304005	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Exodon paradoxus	Bucktooth tetra	1.7	52	BFA	RBC	SP	215, 216
6119	681917	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Galeocharax knerii	N/A	1.6	52	FD	RBC	CP, GD, OM	76
6120	42494	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Gymnocorymbus ternetzi	Black tetra	1.67	NA	FD	RBC	CP, GD, OM	77
6121	42494	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Gymnocorymbus ternetzi	Black tetra	1.86	NA	FCM	RBC	HS, RT	542
6122	42494	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Gymnocorymbus ternetzi	Black tetra	2.1	48	BFA	RBC	SP	215, 216
6123	681894	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Hyphessobrycon anisitsi	Buenos Aires tetra	1.7	50	BFA	RBC	SP	216
6124	681894	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Hyphessobrycon anisitsi	Buenos Aires tetra	1.7	NA	BFA	RBC	SP	215
6125	681894	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Hyphessobrycon anisitsi	Buenos Aires tetra	1.9	NA	FCM	RBC	HS, RT	542
6126	304018	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Hemigrammus erythrozonus	Glowlight tetra	2.02	48	FCM	RBC	MM	359
6127	1828400	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Hemigrammus ocellifer	Head-and-taillight tetra	1.49	48	FCM	RBC	HS, RT	542
6128	1828400	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Hemigrammus ocellifer	Head-and-taillight tetra	1.7	NA	BFA	RBC	SP	216
6129	1828400	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Hemigrammus ocellifer	Head-and-taillight tetra	1.7	NA	BFA	RBC	SP	215
