"Order","Suborder","Family","species","Reproductive mode","Meioformula","Sex chromosome system","Ploidy level","B chromosomes","Notes","Citation","Ploidy","Chrnum","Haploid_autosome_num","Sex_chromosomes","estimated_haploid"
"Coleoptera","Polyphaga","Chrysomelidae","Isotes multipunctata","Sexual diplodiploidy","2n=23M 11+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","23","11","XO","12/11"
"Coleoptera","Polyphaga","Chrysomelidae","Jolivetia obscura","Sexual diplodiploidy","2n=28M/2n=28F 13+Xyp","Xyp","NA","","","Petitpierre and Elgueta (2012)","2/2","28/28","13","Xyp","14/14"
"Coleoptera","Polyphaga","Chrysomelidae","Labidomera clivicollis","Sexual diplodiploidy","2n=33M 16+XO","XO","NA","","","Hsiao and Hsiao (1983)","2","33","16","XO","17/16"
"Coleoptera","Polyphaga","Chrysomelidae","Labidomera clivicollis","Sexual diplodiploidy","2n=33M 16+XY","XY","NA","","Subsequent studies failed to replicate","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","33","16","XY","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Laccoptera quadrimaculata","Sexual diplodiploidy","2n=18M 8+XY","XY","NA","","","De Julio,Ferndes,Costa,Almeida,and Cella (2010)","2","18","8","XY","9/9"
"Coleoptera","Polyphaga","Chrysomelidae","Laccoptera quadrimaculata","Sexual diplodiploidy","2n=18M 8+Xyp","Xyp","NA","yes","","De Julio,Ferndes,Costa,Almeida,and Cella (2010)","2","18","8","Xyp","9/9"
"Coleoptera","Polyphaga","Chrysomelidae","Laccoptera quadrimaculata","Sexual diplodiploidy","2n=18M 8+Xyr","Xyr","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","18","8","Xyr","9/9"
"Coleoptera","Polyphaga","Chrysomelidae","Laccoptera quadrimaculata","Sexual diplodiploidy","2n=19M 8+Xyyp","Xyyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","19","8","Xyyp","9/10"
"Coleoptera","Polyphaga","Chrysomelidae","Lema cirsicola","Sexual diplodiploidy","2n=18M","","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","18","","",""
"Coleoptera","Polyphaga","Chrysomelidae","Lema cyanea","Sexual diplodiploidy","2n=24M 11+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","24","11","Xyp","12/12"
"Coleoptera","Polyphaga","Chrysomelidae","Lema cyanella","Sexual diplodiploidy","2n=16M 7+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","16","7","Xyp","8/8"
"Coleoptera","Polyphaga","Chrysomelidae","Lema praeusta","Sexual diplodiploidy","2n=16M 7+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","16","7","Xyp","8/8"
"Coleoptera","Polyphaga","Chrysomelidae","Lema trilineata","Sexual diplodiploidy","2n=32M 15+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","32","15","Xyp","16/16"
"Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa decimlineata","Sexual diplodiploidy","2n=33M 16+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","33","16","XO","17/16"
"Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa decimlineata","Sexual diplodiploidy","2n=35M/2n=36F 17+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2/2","35/36","17","XO","18/17"
"Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa decimlineata","Sexual diplodiploidy","2n=36M 17+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","36","17","Xyp","18/18"
"Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa defecta","Sexual diplodiploidy","2n=35M 17+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","35","17","XO","18/17"
"Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa haldemani","Sexual diplodiploidy","2n=35M 17+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","35","17","XO","18/17"
"Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa juncta","Sexual diplodiploidy","2n=35M 17+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","35","17","XO","18/17"
"Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa lineolata","Sexual diplodiploidy","2n=35M 17+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","35","17","XO","18/17"
"Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa peninsularis","Sexual diplodiploidy","2n=35M 17+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","35","17","XO","18/17"
"Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa rubiginosa","Sexual diplodiploidy","2n=35M 17+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","35","17","XO","18/17"
"Coleoptera","Polyphaga","Chrysomelidae","Leptinotarsa tumamoca","Sexual diplodiploidy","2n=35M 17+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","35","17","XO","18/17"
"Coleoptera","Polyphaga","Chrysomelidae","Lilioceris impressa","Sexual diplodiploidy","2n=20M 9+Xyr","Xyr","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","20","9","Xyr","10/10"
"Coleoptera","Polyphaga","Chrysomelidae","Lilioceris lilii","Sexual diplodiploidy","2n=22M 10+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","22","10","Xyp","11/11"
"Coleoptera","Polyphaga","Chrysomelidae","Lilioceris lilii","Sexual diplodiploidy","2n=20M","","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","20","","",""
"Coleoptera","Polyphaga","Chrysomelidae","Lochmaea capreae","Sexual diplodiploidy","2n=34M","","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","34","","",""
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus ballotae","Sexual diplodiploidy","2n=32M 15+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","32","15","XY","16/16"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus candidulus","Sexual diplodiploidy","2n=30M 14+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","30","14","XY","15/15"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus exsoletus","Sexual diplodiploidy","2n=32M 15+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","32","15","XY","16/16"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus holsaticus","Sexual diplodiploidy","2n=32M 15+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","32","15","XY","16/16"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus luridus","Sexual diplodiploidy","2n=30M 14+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","30","14","XY","15/15"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus lycopi","Sexual diplodiploidy","2n=28M 13+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","28","13","XY","14/14"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus melanocephalus","Sexual diplodiploidy","2n=32M 15+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","32","15","XY","16/16"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus niger","Sexual diplodiploidy","2n=26M 12+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","26","12","XY","13/13"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus nigrofasciatus","Sexual diplodiploidy","2n=26M 12+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","26","12","XY","13/13"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus nigrofasciatus","Sexual diplodiploidy","2n=28M 13+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","28","13","XY","14/14"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus obliteratoides","Sexual diplodiploidy","2n=30M 14+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","30","14","XY","15/15"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus ochroleucus","Sexual diplodiploidy","2n=30M 14+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","30","14","XY","15/15"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus pratensis","Sexual diplodiploidy","2n=26M 12+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","26","12","XY","13/13"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus reichei","Sexual diplodiploidy","2n=28M 13+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","28","13","XY","14/14"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus rubiginosus","Sexual diplodiploidy","2n=30M 14+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","30","14","XY","15/15"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus succineus","Sexual diplodiploidy","2n=30M 14+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","30","14","XY","15/15"
"Coleoptera","Polyphaga","Chrysomelidae","Longitarsus tabidus","Sexual diplodiploidy","2n=28M 13+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","28","13","XY","14/14"
"Coleoptera","Polyphaga","Chrysomelidae","Macrolenes dentipes","Sexual diplodiploidy","2n=22M","","NA","","","Petitpierre,Segarra,and Juan (1993)","2","22","","",""
"Coleoptera","Polyphaga","Chrysomelidae","Mantura rustica","Sexual diplodiploidy","2n=30M","","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","30","","",""
"Coleoptera","Polyphaga","Chrysomelidae","Microrhopala vittata","Sexual diplodiploidy","2n=32M 15+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","32","15","Xyp","16/16"
"Coleoptera","Polyphaga","Chrysomelidae","Monoxia obesula","Sexual diplodiploidy","2n=38M 18+Xyr","Xyr","NA","","","Santiago-Blay and Virkki (1996)","2","38","18","Xyr","19/19"
"Coleoptera","Polyphaga","Chrysomelidae","Neocrepidodera transversa","Sexual diplodiploidy","2n=38M 18+Xyp","Xyp","NA","","","Rozek,Lachowska,Petitpierre,and Holecova (2004)","2","38","18","Xyp","19/19"
"Coleoptera","Polyphaga","Chrysomelidae","Octotoma scabripennis","Sexual diplodiploidy","2n=20M 9+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","20","9","Xyp","10/10"
"Coleoptera","Polyphaga","Chrysomelidae","Odontota dorsalis","Sexual diplodiploidy","2n=16M 7+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","16","7","Xyp","8/8"
"Coleoptera","Polyphaga","Chrysomelidae","Oedionychus cinctus","Sexual diplodiploidy","2n=16M 7+Xy+","Xy+","NA","","","Petitpierre (2006)","2","16","7","Xy+","8/8"
"Coleoptera","Polyphaga","Chrysomelidae","Oedionychus limbatus","Sexual diplodiploidy","2n=16M 7+Xy+","Xy+","NA","","","Petitpierre (2006)","2","16","7","Xy+","8/8"
"Coleoptera","Polyphaga","Chrysomelidae","Oides bipunctata","Sexual diplodiploidy","2n=17M 8+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","17","8","XO","9/8"
"Coleoptera","Polyphaga","Chrysomelidae","Omophoita albicollis","Sexual diplodiploidy","2n=22M 10+Xy+","Xy+","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","22","10","Xy+","11/11"
"Coleoptera","Polyphaga","Chrysomelidae","Omophoita octoguttata","Sexual diplodiploidy","2n=22M 10+Xy+","Xy+","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","22","10","Xy+","11/11"
"Coleoptera","Polyphaga","Chrysomelidae","Omophoita sexnotata","Sexual diplodiploidy","2n=22M 10+Xy+","Xy+","NA","","","M. Almeida,Campaner,and Cella (2009)","2","22","10","Xy+","11/11"
"Coleoptera","Polyphaga","Chrysomelidae","Oocassida pudibunda","Sexual diplodiploidy","2n=38-40M 18-19+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","38/40","18/19","Xyp","19/20"
"Coleoptera","Polyphaga","Chrysomelidae","Ophraella conferta","Sexual diplodiploidy","2n=24M 11+NeoXY","NeoXY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","24","11","NeoXY","12/12"
"Coleoptera","Polyphaga","Chrysomelidae","Ophraella notata","Sexual diplodiploidy","2n=36M 17+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","36","17","XY","18/18"
"Coleoptera","Polyphaga","Chrysomelidae","Ophraella notulata","Sexual diplodiploidy","2n=36M 17+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","36","17","XY","18/18"
"Coleoptera","Polyphaga","Chrysomelidae","Ophraella pilosa","Sexual diplodiploidy","2n=34M 16+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","34","16","XY","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Ophraella sexvittata","Sexual diplodiploidy","2n=24M 11+NeoXY","NeoXY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","24","11","NeoXY","12/12"
"Coleoptera","Polyphaga","Chrysomelidae","Oulema melanopus","Sexual diplodiploidy","2n=16M 7+Xyp","Xyp","NA","","","Rozek,Lachowska,Petitpierre,and Holecova (2004)","2","16","7","Xyp","8/8"
"Coleoptera","Polyphaga","Chrysomelidae","Oulema tristis","Sexual diplodiploidy","2n=16M 7+Xyp","Xyp","NA","","","Rozek,Lachowska,Petitpierre,and Holecova (2004)","2","16","7","Xyp","8/8"
"Coleoptera","Polyphaga","Chrysomelidae","Paraselenis flava","Sexual diplodiploidy","2n=42M 20+Xyp","Xyp","NA","","","Lopes,Ferndes,and Schneider (2016)","2","42","20","Xyp","21/21"
"Coleoptera","Polyphaga","Chrysomelidae","Paratriarius curtisii","Sexual diplodiploidy","2n=23M 11+XO","XO","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","23","11","XO","12/11"
"Coleoptera","Polyphaga","Chrysomelidae","Paropsis aegrota","Sexual diplodiploidy","2n=24M 11+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","24","11","Xyp","12/12"
"Coleoptera","Polyphaga","Chrysomelidae","Paropsis atomaria","Sexual diplodiploidy","2n=24M 11+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","24","11","Xyp","12/12"
"Coleoptera","Polyphaga","Chrysomelidae","Paropsis porosa","Sexual diplodiploidy","2n=24M 11+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","24","11","Xyp","12/12"
"Coleoptera","Polyphaga","Chrysomelidae","Paropsis rubidipes","Sexual diplodiploidy","2n=24M 11+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","24","11","Xyp","12/12"
"Coleoptera","Polyphaga","Chrysomelidae","Pataya nitida","","2n=38M/2n=38F","","NA","","","Petitpierre and Elgueta (2012)","2/2","38/38","","",""
"Coleoptera","Polyphaga","Chrysomelidae","Phaedon cochleariae","Sexual diplodiploidy","2n=34M 16+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","34","16","Xyp","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Phaedon tumidulus","Sexual diplodiploidy","2n=34M 16+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","34","16","Xyp","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Phenrica austriaca","Sexual diplodiploidy","2n=48M 22+Xyyy","Xyyy","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","48","22","Xyyy","23/25"
"Coleoptera","Polyphaga","Chrysomelidae","Phratora laticollis","Sexual diplodiploidy","2n=34M 16+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","34","16","Xyp","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Phratora polaris","Sexual diplodiploidy","2n=34M 16+Xyp","Xyp","NA","","","Petitpierre and Mikhailov (2013)","2","34","16","Xyp","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Phratora tibialis","Sexual diplodiploidy","2n=34M 16+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","34","16","Xyp","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Phratora vulgatissima","Sexual diplodiploidy","2n=34M 16+Xyp","Xyp","NA","","","Petitpierre and Mikhailov (2013)","2","34","16","Xyp","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Phyllotreta diademata","Sexual diplodiploidy","2n=30M 14+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","30","14","Xyp","15/15"
"Coleoptera","Polyphaga","Chrysomelidae","Phyllotreta nemorum","Sexual diplodiploidy","2n=32M 15+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","32","15","Xyp","16/16"
"Coleoptera","Polyphaga","Chrysomelidae","Plagiodera versicolora","Sexual diplodiploidy","2n=28M 13+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","28","13","Xyp","14/14"
"Coleoptera","Polyphaga","Chrysomelidae","Platyphora aulica","Sexual diplodiploidy","2n=24M 11+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","24","11","Xyp","12/12"
"Coleoptera","Polyphaga","Chrysomelidae","Podagrica fuscicornis","Sexual diplodiploidy","2n=40M 19+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","40","19","Xyp","20/20"
"Coleoptera","Polyphaga","Chrysomelidae","Podagrica fuscipes","Sexual diplodiploidy","2n=40M 19+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","40","19","Xyp","20/20"
"Coleoptera","Polyphaga","Chrysomelidae","Podagrica malvae","Sexual diplodiploidy","2n=40M 19+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","40","19","Xyp","20/20"
"Coleoptera","Polyphaga","Chrysomelidae","Prasocuris junci","Sexual diplodiploidy","2n=34M","","NA","","","Petitpierre,Segarra,and Juan (1993)","2","34","","",""
"Coleoptera","Polyphaga","Chrysomelidae","Psylliodes affinis","Sexual diplodiploidy","2n=20M 9+NeoXY","NeoXY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","20","9","NeoXY","10/10"
"Coleoptera","Polyphaga","Chrysomelidae","Psylliodes chrysocephalus","Sexual diplodiploidy","2n=36M 17+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","36","17","Xyp","18/18"
"Coleoptera","Polyphaga","Chrysomelidae","Psylliodes circumdata","Sexual diplodiploidy","2n=32M 15+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","32","15","Xyp","16/16"
"Coleoptera","Polyphaga","Chrysomelidae","Psylliodes cupreus","Sexual diplodiploidy","2n=34M 16+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","34","16","Xyp","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Psylliodes dulcamarae","Sexual diplodiploidy","2n=28M 13+NeoXY","NeoXY","NA","yes","","Segarra and Petitpierrez (1989)","2","28","13","NeoXY","14/14"
"Coleoptera","Polyphaga","Chrysomelidae","Psylliodes marcidus","Sexual diplodiploidy","2n=34M 16+Xyp","Xyp","NA","","","Segarra and Petitpierrez (1989)","2","34","16","Xyp","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Psylliodes obscuroaeneus","Sexual diplodiploidy","2n=32M 15+Xyp","Xyp","NA","","","Petitpierre (2006)","2","32","15","Xyp","16/16"
"Coleoptera","Polyphaga","Chrysomelidae","Psylliodes thlaspis","Sexual diplodiploidy","2n=34M 16+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","34","16","Xyp","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Pyrrhalta viburni","Sexual diplodiploidy","2n=36M 17+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","36","17","Xyp","18/18"
"Coleoptera","Polyphaga","Chrysomelidae","Sagra femorata","Sexual diplodiploidy","2n=16M 7+NeoXY","NeoXY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","16","7","NeoXY","8/8"
"Coleoptera","Polyphaga","Chrysomelidae","Sermylassa halensis","Sexual diplodiploidy","2n=44M 21+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","44","21","Xyp","22/22"
"Coleoptera","Polyphaga","Chrysomelidae","Sphaeroderma rubidum","Sexual diplodiploidy","2n=52M 25+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","52","25","XY","26/26"
"Coleoptera","Polyphaga","Chrysomelidae","Sphaeroderma testaceum","Sexual diplodiploidy","2n=52M 25+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","52","25","XY","26/26"
"Coleoptera","Polyphaga","Chrysomelidae","Stolas lacordairei","Sexual diplodiploidy","2n=30M 14+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","30","14","Xyp","15/15"
"Coleoptera","Polyphaga","Chrysomelidae","Timarcha aurichalcea","Sexual diplodiploidy","2n=18M","","NA","","","Gomez-Zurita,Pons,and Petitpierre (2004)","2","18","","",""
