phylum	echabs92	scientific_name	genus	subspecies	comment	alt_taxon_id
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Narcissus humilis	Narcissus		(Cav.) Traub	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Narcissus nevadensis	Narcissus		Pugsley	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Nepeta dirphya	Nepeta		(Boiss.) Heldr. ex Halacsy	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Nepeta sphaciotica	Nepeta		P.H. Davis	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Odontites granatensis	Odontites		Boiss.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Odontites holliana	Odontites		(Lowe) Benth.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Onorpordum carduelinum	Onorpordum		Bolle	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Ophrys melitensis	Ophrys		(Salkowski) J et P Devillers-Terschuren	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Papaver laestadianum	Papaver		(Nordh.) Nordh.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Phagnalon benettii	Phagnalon		Lowe	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Pittosporum coriaceum	Pittosporum		Dryand. ex. Ait.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Plantago malato-belizii	Plantago		Lawalree	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Polygonum praelongum	Polygonum		Coode & Cullen	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Potentilla emilii-popii	Potentilla		Nyárády	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Pulsatilla subslavica	Pulsatilla		Futak ex Goliasova	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Ranunculus kykkoensis	Ranunculus		Meikle	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Ribes sardoum	Ribes		Martelli	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Sambucus palmensis	Sambucus		Link	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Scilla morrisii	Scilla		Meikle	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Semele maderensis	Semele		Costa	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Senecio elodes	Senecio		Boiss. ex DC.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Seseli intricatum	Seseli		Boiss.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Seseli leucospermum	Seseli		Waldst. et Kit	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Sideritis cypria	Sideritis		Post	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Sideritis serrata	Sideritis		Cav. ex Lag.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Silene mariana	Silene		Pau	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Sinapidendron rupestre	Sinapidendron		(Ait.) Lowe	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Sisymbrium supinum	Sisymbrium		L.	
