taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3193914	Stephanopyxis weissflogii Schmidt, 1888	10164003	Eupyxidicula weissflogii (A.W.F.Schmidt) S.Blanco & C.E.Wetzel, 2016	1	SPECIES	SYNONYM	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Melosirales	8080352	Stephanopyxidaceae	7150	Eupyxidicula	9486513	Eupyxidicula weissflogii	10164003	NE
4324467	Anthessius varidens Stock, Humes & Gooding, 1963	4324467	Anthessius varidens Stock, Humes & Gooding, 1963	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Copepoda	11545536	Cyclopoida	687	Anthessiidae	5037	Anthessius	2110795	Anthessius varidens	4324467	NE
7885728	Lenticulina rotulata (Lamarck, 1804)	7885728	Lenticulina rotulata (Lamarck, 1804)	1	SPECIES	ACCEPTED	Chromista	4	Foraminifera	8376456			Vaginulinida	11151631	Vaginulinidae	7923659	Lenticulina	7689691	Lenticulina rotulata	7885728	NE
8075748	Glycymeris undata (Linnaeus, 1758)	8075748	Glycymeris undata (Linnaeus, 1758)	5	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Arcida	9574493	Glycymerididae	6886	Glycymeris	2286264	Glycymeris undata	8075748	NE
9756711	Rissoina multicostata (C.B.Adams, 1850)	9756711	Rissoina multicostata (C.B.Adams, 1850)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Rissoinidae	4613076	Rissoina	2299295	Rissoina multicostata	9756711	NE
5192347	Microstelma vestale (Rehder, 1943)	5192347	Microstelma vestale (Rehder, 1943)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Zebinidae	8948150	Microstelma	2299613	Microstelma vestale	5192347	NE
2247740	Geodia globosa (Baer, 1906)	2247740	Geodia globosa (Baer, 1906)	1	SPECIES	ACCEPTED	Animalia	1	Porifera	105	Demospongiae	199	Tetractinellida	7544483	Geodiidae	3894	Geodia	2247563	Geodia globosa	2247740	NE
2258237	Antipathes lenta Pourtalès, 1871	2258237	Antipathes lenta Pourtalès, 1871	1	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Antipatharia	831	Antipathidae	8160	Antipathes	2258096	Antipathes lenta	2258237	NE
2304273	Muricopsis caribbaea (Bartsch & Rehder, 1939)	2304273	Muricopsis caribbaea (Bartsch & Rehder, 1939)	5	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Muricidae	2304120	Muricopsis	2304272	Muricopsis caribbaea	2304273	NE
2304598	Drillia albicoma Dall, 1889	7826787	Neodrillia albicoma (Dall, 1889)	4	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Drilliidae	6777	Neodrillia	2305289	Neodrillia albicoma	7826787	NE
7826787	Neodrillia albicoma (Dall, 1889)	7826787	Neodrillia albicoma (Dall, 1889)	2	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Drilliidae	6777	Neodrillia	2305289	Neodrillia albicoma	7826787	NE
