superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
Testudines, Cryptodira	Geoemydidae	Geoemyda japonica	in_progress			Chordata	VGP	VGP	VGP	VGP			
Testudines, Cryptodira	Kinosternidae	Sternotherus odoratus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Testudines, Cryptodira	Platysternidae	Platysternon megacephalum				Chordata	VGP						
Testudines, Cryptodira	Testudinidae	Gopherus evgoodei	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Testudines, Cryptodira	Trionychidae	Apalone spinifera	in_progress			Chordata	VGP	VGP	VGP	VGP			
Testudines, Pleurodira	Chelidae	Mesoclemmys tuberculata	in_progress			Chordata	VGP	VGP	VGP	VGP			
Testudines, Pleurodira	Pelomedusidae	Pelusios castaneus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Testudines, Pleurodira	Podocnemididae	Podocnemis expansa	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Serpentes (Boidae)	Candoia aspera	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Serpentes (Pythonidae)	Liasis olivaceus		VGP		Chordata	VGP						
Squamata	Serpentes (Elapidae/Crotalinae/Viperidae)	Vipera latastei	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Squamata	Serpentes (Viperidae)	Vipera ursinii		ERGA		Chordata	VGP						
Squamata	Serpentes (Viperidae)	Erythrolamprus reginae				Chordata	VGP						
Squamata	Serpentes (Colubridae)	Thamnophis elegans	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Serpentes (Anomalepidae)	Typhlophis squamosus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Iguania (Polychrotidae ???)	Anolis sagrei	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Iguania (Chamaeleoninae)	Chamaeleo chamaeleon				Chordata	VGP						
Squamata	Iguania (Iguanidae)	Cyclura pinguis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Anguimorpha (Xenosuaridae)	Anguis anguis				Chordata	VGP						
Squamata	Anguimorpha (Shinisaudridae)	Shinisaurus crocodilurus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Lacertoidea (Lacertidae)	Lacerta agilis	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Squamata	Lacertoidea (Lacertidae)	Podarcis raffonei				Chordata	VGP						
Squamata	Lacertoidea (Rhineuridae/Amphisbaenidae)	Rhineura floridana	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Lacertoidea (Teiidae)	Aspidoscelis stictogrammus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Scincoidea	Scincella lateralis				Chordata	VGP						
Squamata	Gekkota 	Euleptes europaea	in_progress			Chordata	VGP	VGP	VGP	VGP			
Squamata	Dibamidae	Dibamus novaeguineae				Chordata	VGP						
Rhynchocephalia	Sphenodontidae	Sphenodon punctatus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Archaeobatrachia > Discoglossoidea > Alytidae	Discoglossus pictus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Archaeobatrachia > Discoglossoidea > Bombinatoridae	Bombina bombina	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Archaeobatrachia > Discoglossoidea > Rhinophrynidae	Rhinophrynus dorsalis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Archaeobatrachia > Leiopelmatoidea > Ascaphidae | Leiopelmatidae	Ascaphus truei	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Archaeobatrachia > Pelobatoidea > Megophryidae	Scutiger boulengeri				Chordata	VGP						
Anura	Archaeobatrachia > Pelobatoidea > Pelobatidae	Pelobates cultripes	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Archaeobatrachia > Pelobatoidea > Pelodytidae	Pelodytes punctatus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Archaeobatrachia > Pelobatoidea > Scaphiopodidae	Spea bombifrons	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Archaeobatrachia > Pipoidea > Pipidae	Xenopus tropicalis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Hyloidea > Eleutherodactylidae	Eleutherodactylus coqui	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Afrobatrachia> Hyperoliidae | Brevicipitidae	Hyperolius riggenbachi	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Heleophrynidae | Rhinodermatidae	Hadromophryne natalensis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Hyloidea > Bufonidae	Bufo bufo	in_progress	DToL		Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Hyloidea > Hylidae | Hemiphractidae	Dendropsophus ebraccatus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Hyloidea > Hylidae | Hemiphractidae	Hyla sarda				Chordata	VGP						
Anura	Neobatrachia > Hyloidea > Dendrobatidae | Aromobatidae	Ranitomeya imitator	in_progress	Hypothalamus		Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Hyloidea > Leptodactylidae | Centrolenidae	Engystomops pustulosus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Myobatrachidae | Calyptocephalellidae	Pseudophryne corroboree	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Ranoidea > Dicroglossidae	Nanorana pleskei				Chordata	VGP						
Anura	Neobatrachia > Ranoidea > Microhylidae	Gastrophryne carolinensis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Ranoidea > Natatanura > Mantellidae | Ceratobatrachidae	Mantella aurantiaca	in_progress	DToL		Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Ranoidea > Natatanura > Ranidae | Pyxicephalidae	Rana temporaria	in_progress	DToL		Chordata	VGP	VGP	VGP	VGP			
Anura	Neobatrachia > Sooglossidae | Nasikabatrachidae	Sooglossus thomasseti				Chordata	VGP						
Caudata	Cryptobranchoidea > Hynobidae | Cryptobranchidae	Hynobius chinensis				Chordata	VGP						
Caudata	Plethodontoidea > Plethodontidae	Thorius aureus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Caudata	Proteoidea > Proteidae	Necturus alabamensis				Chordata	VGP						
Caudata	Salamandroidea > Ambystomatidae	Ambystoma mexicanum	in_progress			Chordata	VGP	VGP	VGP	VGP			
