"taxonID","parentNameUsageID","acceptedNameUsageID","datasetID","scientificName","scientificNameAuthorship","taxonRank","taxonConceptID","taxonomicStatus","nomenclaturalStatus","genus","family","order","class","phylum","kingdom","long_list"
"NHMSYS0020752387","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) jecusculum","(Bowerbank, 1866)","Species","NBNORG0000103941","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752388","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) koehleri","(Topsent, 1896)","Species","NBNORG0000103942","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752389","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) lenta","Descatoire, 1966","Species","NBNORG0000103943","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752390","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) longistylus","Lundbeck, 1910","Species","NBNORG0000103944","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752391","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) mucronata","(Topsent, 1904)","Species","NBNORG0000103945","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752392","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) mutabilis","Topsent, 1904","Species","NBNORG0000103946","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752393","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) norvegica","Thiele, 1903","Species","NBNORG0000103947","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752394","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) nummulus","Lundbeck, 1910","Species","NBNORG0000103948","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752395","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) occulta","Bowerbank in Norman, 1869","Species","NBNORG0000103949","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752398","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) peachi","Bowerbank, 1882","Species","NBNORG0000103952","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752399","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) perforata","Lundbeck, 1910","Species","NBNORG0000103953","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
