	Species_name	Subspecies	Common Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
3544	Estrilda poliopareia		Anambra Waxbill	Estrildidae		nan	nan	nan	nan	nan	B10K		
3546	Estrilda rufibarba		Arabian Waxbill	Estrildidae		nan	nan	nan	nan	nan	B10K		
3547	Estrilda thomensis		Cinderella Waxbill	Estrildidae		nan	nan	nan	nan	nan	B10K		
3563	Eudynamys melanorhynchus		Black-billed Koel	Cuculidae		nan	nan	nan	nan	nan	B10K		
3564	Eudynamys orientalis		Pacific Koel	Cuculidae		nan	nan	nan	nan	nan	B10K		
3565	Eudynamys scolopaceus	mindanensis	Common Koel	Cuculidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
3587	Eumyias additus		Streaky-breasted Jungle Flycatcher	Muscicapidae		nan	nan	nan	nan	nan	B10K		
3590	Eumyias oscillans		Flores Jungle Flycatcher	Muscicapidae		nan	nan	nan	nan	nan	B10K		
3592	Eumyias sordidus		Dull Verditer Flycatcher	Muscicapidae		nan	nan	nan	nan	nan	B10K		
3593	Eumyias stresemanni		Sumba Jungle Flycatcher	Muscicapidae		nan	nan	nan	nan	nan	B10K		
3602	Euphagus carolinus	carolinus	Rusty Blackbird	Icteridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
3623	Euphonia laniirostris	hypoxantha	Thick-billed Euphonia	Fringillidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
3627	Euphonia musica	aureata	Antillean Euphonia	Fringillidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
3657	Eupsittula nana	astec	Olive-throated Parakeet	Psittacidae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
3661	Euptilotus eutilotus		Puff-backed Bulbul	Pycnonotidae		nan	nan	nan	nan	nan	B10K		
3664	Eurillas gracilis	gracilis	Grey Greenbul	Pycnonotidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
3667	Eurillas virens	virens	Little Greenbul	Pycnonotidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
3668	Eurillas virens	virens	Little Greenbul	Pycnonotidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
3670	Eurocephalus ruppelli		White-rumped Shrike	Laniidae		B10K	B10K	B10K	nan	in_progress	B10K		
3671	Eurostopodus archboldi		Archbold's Nightjar	Caprimulgidae		nan	nan	nan	nan	nan	B10K		
3673	Eurostopodus diabolicus		Heinrich's Nightjar	Caprimulgidae		nan	nan	nan	nan	nan	B10K		
3674	Eurostopodus exul		Silver Nightjar	Caprimulgidae		nan	nan	nan	nan	nan	B10K		
3686	Euscarthmus meloryphus	fulviceps	Tawny-crowned Pygmy Tyrant	Tyrannidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
