	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
7021	Peucaea botterii		Botteri's Sparrow	Passerellidae							B10K		
7022	Peucaea carpalis		Rufous-winged Sparrow	Passerellidae							B10K		
7023	Peucaea cassinii		Cassin's Sparrow	Passerellidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7024	Peucaea humeralis		Black-chested Sparrow	Passerellidae							B10K		
7025	Peucaea mystacalis		Bridled Sparrow	Passerellidae							B10K		
7026	Peucaea ruficauda		Stripe-headed Sparrow	Passerellidae							B10K		
7027	Peucaea sumichrasti		Cinnamon-tailed Sparrow	Passerellidae							B10K		
7028	Peucedramus taeniatus		Peucedramus	Peucedramidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
7031	Pezoporus flaviventris		Western Ground Parrot	Psittaculidae							B10K		
7041	Phacellodomus striaticeps	striaticeps	Streak-fronted Thornbird	Furnariidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7042	Phacellodomus striaticollis	striaticollis	Freckle-breasted Thornbird	Furnariidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7044	Phaenicophaeus diardi		Black-bellied Malkoha	Cuculidae							B10K		
7045	Phaenicophaeus pyrrhocephalus		Red-faced Malkoha	Cuculidae							B10K		
7046	Phaenicophaeus sumatranus		Chestnut-bellied Malkoha	Cuculidae							B10K		
7047	Phaenicophaeus tristis		Green-billed Malkoha	Cuculidae							B10K		
7049	Phaenicophilus palmarum		Black-crowned Warbler Tanager	Phaenicophilidae		B10K	B10K	B10K	B10K	insdc_submitted	B10K		
7050	Phaenicophilus poliocephalus		Gray-crowned Warbler Tanager	Phaenicophilidae							B10K		
7061	Phaethornis augusti	incanescens	Sooty-capped Hermit	Trochilidae	Phase Genus	B10K				sample_collected	B10K	B10K	
7078	Phaethornis striigularis	saturatus	Stripe-throated Hermit	Trochilidae	Phase Genus						B10K	B10K	
7085	Phainopepla nitens		Phainopepla	Ptiliogonatidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
7086	Phainopepla nitens		Phainopepla	Ptiliogonatidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7087	Phainoptila melanoxantha		Black-and-yellow Silky-flycatcher	Ptiliogonatidae	Phase Genus						B10K	B10K	
7092	Phalacrocorax bougainvilliorum		Guanay Cormorant	Phalacrocoracidae							B10K		
7112	Phalacrocorax perspicillatus		Spectacled Cormorant	Phalacrocoracidae							B10K		
7128	Phapitreron amethystinus	amethystinus	Amethyst Brown Dove	Columbidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7142	Phedinopsis brazzae		Brazza's Martin	Hirundinidae							B10K		
7145	Pheucticus aureoventris	aureoventris	Black-backed Grosbeak	Cardinalidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
