nOrder	ARK	Superorder	Family	Accession	VGP_accession	Class	SpeciesE	Genus	Species	long_list
Anura		Batrachia	Microhylidae		aXenHuo	Amphibia	-	Xenorhina	huon	VGP
Anura		Batrachia	Strabomantidae		aPriFla	Amphibia	-	Pristimantis	flabellidiscus	VGP
Anura		Batrachia	Bufonidae		aMelLan	Amphibia	-	Melanophryniscus	langonei	VGP
Anura		Batrachia	Ceratobatrachidae		aPlaCor	Amphibia	Horned Forest Frog	Platymantis	cornutus	VGP
Anura		Batrachia	Dendrobatidae		aHylPec	Amphibia	-	Hyloxalus	peculiaris	VGP
Anura		Batrachia	Hylidae		aDenGra	Amphibia	Mazaruni Treefrog	Dendropsophus	grandisonae	VGP
Anura		Batrachia	Microhylidae		aCalCom	Amphibia	-	Callulops	comptus	VGP
Anura		Batrachia	Ptychadenidae		aPtyPer	Amphibia	-	Ptychadena	perplicata	VGP
Anura		Batrachia	Strabomantidae		aNobRit	Amphibia	-	Noblella	ritarasquinae	VGP
Anura		Batrachia	Arthroleptidae		aLepSte	Amphibia	-	Leptodactylodon	stevarti	VGP
Anura		Batrachia	Bufonidae		aMelMac	Amphibia	-	Melanophryniscus	macrogranulosus	VGP
Anura		Batrachia	Bufonidae		aSclRee	Amphibia	-	Sclerophrys	reesi	VGP
Anura		Batrachia	Dendrobatidae		aAllPic	Amphibia	-	Allobates	picachos	VGP
Anura		Batrachia	Hylidae		aDenGry	Amphibia	-	Dendropsophus	gryllatus	VGP
Anura		Batrachia	Megophryidae		aLepKec	Amphibia	-	Leptobrachella	kecil	VGP
Anura		Batrachia	Microhylidae		aXenMac	Amphibia	-	Xenorhina	macrodisca	VGP
Anura		Batrachia	Strabomantidae		aPsyBag	Amphibia	-	Psychrophrynella	bagrecito	VGP
Anura		Batrachia	Strabomantidae		aPriSeo	Amphibia	-	Pristimantis	seorsus	VGP
Anura		Batrachia	Megophryidae		aLepKha	Amphibia	-	Leptobrachella	khasiorum	VGP
Anura		Batrachia	Microhylidae		aCalDub	Amphibia	-	Callulops	dubius	VGP
Anura		Batrachia	Microhylidae		aXenMac	Amphibia	-	Xenorhina	macrops	VGP
Anura		Batrachia	Arthroleptidae		aLepWil	Amphibia	-	Leptodactylodon	wildi	VGP
Anura		Batrachia	Bufonidae		aMelMon	Amphibia	-	Melanophryniscus	montevidensis	VGP
Anura		Batrachia	Ptychadenidae		aPtyPuj	Amphibia	-	Ptychadena	pujoli	VGP
Anura		Batrachia	Ranixalidae		aIndLon	Amphibia	Rough-Skinned Frog	Indirana	longicrus	VGP
Anura		Batrachia	Arthroleptidae		aLepAnc	Amphibia	-	Leptopelis	anchietae	VGP
Anura		Batrachia	Bufonidae		aAteAnd	Amphibia	-	Atelopus	andinus	VGP
Anura		Batrachia	Dendrobatidae		aAllSan	Amphibia	-	Allobates	sanmartini	VGP
