	ORDER	FAMILY	SPECIES	JUSTIFICATION	COPO	NHM	WYTHAM	TOL_SCOTLAND	long_list	family_representative	sample_collected
390	Diptera	Trixoscelididae	Trixoscelis frontalis	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
395	Diptera	Xylophagidae	Xylophagus ater	Availability	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	DTOL
396	Diptera	Xylophagidae	Xylophagus cinctus	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
455	Hemiptera	Gerridae	Gerris odontogaster 	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
524	Hymenoptera	Astatidae	Astata boops	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
525	Hymenoptera	Astatidae	Dryudella pinguis	dispecific family	NOT COLLECTED	NHM	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	DTOL
528	Hymenoptera	Bembicidae	Nysson spinosus	Availability	COLLECTED	NOT COLLECTED	WW	NOT COLLECTED	DTOL	DTOL	DTOL
529	Hymenoptera	Bembicidae	Gorytes quadrifasciatus	Availability	NOT COLLECTED	NHM	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	DTOL
578	Hymenoptera	Heptamelidae	Heptamelus dahlbomi	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
579	Hymenoptera	Heptamelidae	Heptamelus ochroleucus	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
584	Hymenoptera	Ismaridae	Ismarus dorsiger		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
585	Hymenoptera	Ismaridae	Ismarus flavicornis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
594	Hymenoptera	Mellinidae	Mellinus arvensis	dispecific family	COLLECTED	NOT COLLECTED	WW	NOT COLLECTED	DTOL	DTOL	DTOL
595	Hymenoptera	Mellinidae	Mellinus crabroneus	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
605	Hymenoptera	Pemphredonidae	Pemphredon lugubris	Availability	COLLECTED	NOT COLLECTED	WW	NOT COLLECTED	DTOL	DTOL	DTOL
606	Hymenoptera	Pemphredonidae	Passaloecus gracilis	Availability	NOT COLLECTED	NOT COLLECTED	WW	NOT COLLECTED	DTOL	DTOL	DTOL
609	Hymenoptera	Philanthidae	Cerceris rybyensis	Availability	COLLECTED	NHM	WW	NOT COLLECTED	DTOL	DTOL	DTOL
