	gen	sp	fam	family_representative	long_list	other_priority
3162	Distaplia	rosea	Holozoidae	DTOL	DTOL	
3163	Distaplia	rosea	Holozoidae	DTOL	DTOL	
3177	Hyalopeziza	millepunctata	Hyaloscyphaceae		DTOL	
3196	Subulicystidium	longisporum	Hydnodontaceae		DTOL	
3217	Hydrolithon	boreale	Hydrolithaceae	DTOL	DTOL	
3218	Hydrolithon	cruciatum	Hydrolithaceae	DTOL	DTOL	
3223	Hygrobiella	laxifolia	Hygrobiellaceae	DTOL	DTOL	
3308	Acrogenospora	megalospora	Hysteriaceae		DTOL	
3309	Acrogenospora	sphaerocephala	Hysteriaceae		DTOL	
3319	Panaeolina	foenisecii	Incertae sedis		DTOL	
3320	Panaeolus	acuminatus	Incertae sedis		DTOL	
3321	Panaeolus	fimicola	Incertae sedis		DTOL	
3322	Panaeolus	papilionaceus	Incertae sedis		DTOL	
3323	Panaeolus	semiovatus	Incertae sedis		DTOL	
3331	Stypella	subhyalina	Incertae sedis		DTOL	
3332	Mollisiopsis	dennisii	Incertae sedis		DTOL	
3333	Trichaptum	abietinum	Incertae sedis		DTOL	
3334	Trichaptum	fuscoviolaceum	Incertae sedis		DTOL	
3335	Acremonium	strictum	Incertae sedis		DTOL	
3338	Ilyonectria	destructans	Incertae sedis		DTOL	
3342	Bispora	antennata	Incertae sedis		DTOL	
3346	Camposporium	pellucidum	Incertae sedis		DTOL	
3347	Candelabrum	spinulosum	Incertae sedis		DTOL	
3355	Cladoniicola	staurospora	Incertae sedis		DTOL	
3356	Cornutispora	lichenicola	Incertae sedis		DTOL	
3357	Cornutispora	triangularis	Incertae sedis		DTOL	
3364	Endococcus	alpestris	Incertae sedis		DTOL	
3371	Everniicola	flexispora	Incertae sedis		DTOL	
3372	Flabellospora	acuminata	Incertae sedis		DTOL	
3374	Hawksworthiana	peltigericola	Incertae sedis		DTOL	
3377	Hymenobia	aporea	Incertae sedis		DTOL	
3378	Intralichen	christiansenii	Incertae sedis		DTOL	
3379	Intralichen	lichenum	Incertae sedis		DTOL	
3380	Lauderlindsaya	borreri	Incertae sedis		DTOL	
3381	Leightoniomyces	phillipsii	Incertae sedis		DTOL	
3383	Libertiella	malmedyensis	Incertae sedis		DTOL	
3384	Lichenodiplis	lecanorae	Incertae sedis		DTOL	
3385	Lichenodiplis	opegraphae	Incertae sedis		DTOL	
3386	Lichenodiplis	pertusariicola	Incertae sedis		DTOL	
3387	Lichenopuccinia	poeltii	Incertae sedis		DTOL	
3392	Minutoexcipula	tephromelae	Incertae sedis		DTOL	
3393	Minutophoma	chrysophthalmae	Incertae sedis		DTOL	
3397	Nigromacula	uniseptata	Incertae sedis		DTOL	
3398	Petractis	clausa	Incertae sedis		DTOL	
3399	Phragmocephala	elliptica	Incertae sedis		DTOL	
3401	Psammina	inflata	Incertae sedis		DTOL	
3402	Psammina	palmata	Incertae sedis		DTOL	
3403	Psammina	simplex	Incertae sedis		DTOL	
3404	Psammina	stipitata	Incertae sedis		DTOL	
