	gen	sp	fam	family_representative	long_list	other_priority
3868	Myxosporium	platysporum	Incertae sedis		DTOL	
3869	Myxosporium	rosae	Incertae sedis		DTOL	
3873	Sclerotium	roseum	Incertae sedis		DTOL	
3874	Tridentaria	carnivora	Incertae sedis		DTOL	
3875	Papulaspora	sepedonioides	Incertae sedis		DTOL	
3877	Scolecobasidium	tshawytschae	Incertae sedis		DTOL	
3878	Trullula	olivascens	Incertae sedis		DTOL	
3879	Paradiachea	anglica	Incertae sedis		DTOL	
3880	Pyrenochaeta	cava	Incertae sedis		DTOL	
3881	Trisulcosporium	acerinum	Incertae sedis		DTOL	
3882	Schizothyrella	quercina	Incertae sedis		DTOL	
3883	Peltasterinostroma	rubi	Incertae sedis		DTOL	
3884	Pyrenochaeta	quercina	Incertae sedis		DTOL	
3885	Subulicium	minus	Incertae sedis		DTOL	
3887	Perisporium	kunzei	Incertae sedis		DTOL	
3888	Diplodiella	brassicae	Incertae sedis		DTOL	
3889	Disculina	betulina	Incertae sedis		DTOL	
3890	Diplodiella	fibricola	Incertae sedis		DTOL	
3891	Discosporina	deplanata	Incertae sedis		DTOL	
3894	Perisporium	arundinis	Incertae sedis		DTOL	
3895	Veronaea	carlinae	Incertae sedis		DTOL	
3899	Oncospora	pinastri	Incertae sedis		DTOL	
3902	Imimyces	hollowayensis	Incertae sedis		DTOL	
3905	Leptostromella	septorioides	Incertae sedis		DTOL	
3906	Leptostromella	pteridina	Incertae sedis		DTOL	
3907	Flabellospora	amphibia	Incertae sedis		DTOL	
3909	Macrodiplodia	libertiana	Incertae sedis		DTOL	
3913	Junctospora	pulchra	Incertae sedis		DTOL	
3915	Coniosporium	ilicinum	Incertae sedis		DTOL	
3916	Gloeodes	pomigena	Incertae sedis		DTOL	
3917	Endostilbum	cerasi	Incertae sedis		DTOL	
3918	Domingoella	arctostaphyli	Incertae sedis		DTOL	
3920	Micropera	sorbi	Incertae sedis		DTOL	
3923	Cleistophoma	dryina	Incertae sedis		DTOL	
3924	Ampulliferina	lauri	Incertae sedis		DTOL	
3925	Micropera	padina	Incertae sedis		DTOL	
3926	Massalongina	aquilina	Incertae sedis		DTOL	
3932	Acrodictyopsis	lauri	Incertae sedis		DTOL	
3933	Avesicladiella	britannica	Incertae sedis		DTOL	
3934	Cacumisporium	scopulae	Incertae sedis		DTOL	
3935	Acrophialophora	levis	Incertae sedis		DTOL	
3936	Hendersoniella	trabicola	Incertae sedis		DTOL	
3943	Mystrosporium	adustum	Incertae sedis		DTOL	
3944	Mystrosporium	stemphylium	Incertae sedis		DTOL	
3945	Ascotaiwania	pallida	Incertae sedis		DTOL	
3947	Amallospora	dacrydion	Incertae sedis		DTOL	
3948	Helicofilia	irregularis	Incertae sedis		DTOL	
3954	Frigidispora	colnensis	Incertae sedis		DTOL	
3956	Articulophora	variispora	Incertae sedis		DTOL	
3958	Fermentolunospora	polyblastis	Incertae sedis		DTOL	
3962	Krispiromyces	discoides	Incertae sedis		DTOL	
3966	Barbatosphaeria	barbirostris	Incertae sedis		DTOL	
3967	Dwayabeeja	sundara	Incertae sedis		DTOL	
3968	Miratio	nectrioides	Incertae sedis		DTOL	
3969	Milleromyces	rhyniensis	Incertae sedis		DTOL	
3970	Discosporina	sulphurea	Incertae sedis		DTOL	
3974	Cytosporium	pittospori	Incertae sedis		DTOL	
3975	Dasystictella	sphaerospora	Incertae sedis		DTOL	
3976	Celatogloea	simplicibasidium	Incertae sedis		DTOL	
3977	Capsicumyces	delicatus	Incertae sedis		DTOL	
3979	Dactylosporium	brevipes	Incertae sedis		DTOL	
3980	Botryosporium	pyramidale	Incertae sedis		DTOL	
3981	Dinemasporium	decipiens	Incertae sedis		DTOL	
3982	Microdiscula	rubicola	Incertae sedis		DTOL	
3985	Didymosporium	macrospermum	Incertae sedis		DTOL	
3987	Lyonomyces	pyriformis	Incertae sedis		DTOL	
3988	Coniosporium	bambusae	Incertae sedis		DTOL	
3989	Gyrothrix	microsperma	Incertae sedis		DTOL	
3990	Hypospila	immunda	Incertae sedis		DTOL	
3991	Chlamydomyces	sympodialis	Incertae sedis		DTOL	
3992	Leptostromella	graminis	Incertae sedis		DTOL	
3993	Glomites	rhyniensis	Incertae sedis		DTOL	
3994	Acrodontium	echinulatum	Incertae sedis		DTOL	
3995	Acrodontium	intermissum	Incertae sedis		DTOL	
3997	Gemmulina	botryosa	Incertae sedis		DTOL	
3998	Aegeritoidea	foliicola	Incertae sedis		DTOL	
3999	Fusoma	biseptatum	Incertae sedis		DTOL	
4000	Fusichalara	clavatispora	Incertae sedis		DTOL	
4001	Fusoma	triseptatum	Incertae sedis		DTOL	
4002	Crustodiplodina	lichenoides	Incertae sedis		DTOL	
4003	Crinigera	maritima	Incertae sedis		DTOL	
4005	Leptodermella	incarnata	Incertae sedis		DTOL	
4006	Cylindrophora	pulvinata	Incertae sedis		DTOL	
4007	Nigrospora	sacchari	Incertae sedis		DTOL	
4008	Rhodesiopsis	gelatinosa	Incertae sedis		DTOL	
4010	Neottiosporina	australiensis	Incertae sedis		DTOL	
4011	Paradiachea	howardii	Incertae sedis		DTOL	
4013	Stachylidium	trabeum	Incertae sedis		DTOL	
4014	Wilsoniella	ovalis	Incertae sedis		DTOL	
4015	Winfrenatia	reticulata	Incertae sedis		DTOL	
4017	Xepicula	leucotrichoides	Incertae sedis		DTOL	
4019	Xepicula	leucotricha	Incertae sedis		DTOL	
4020	Pyrenochaeta	gentianae	Incertae sedis		DTOL	
4021	Tridentaria	glossopaga	Incertae sedis		DTOL	
4022	Pyrenochaeta	graminis	Incertae sedis		DTOL	
4024	Triposporina	aquilina	Incertae sedis		DTOL	
4025	Pellionella	macrospora	Incertae sedis		DTOL	
4026	Pyrenochaeta	rubi-idaei	Incertae sedis		DTOL	
4032	Camposporium	japonicum	Incertae sedis		DTOL	
4038	Rhinocladium	coprogenum	Incertae sedis		DTOL	
4039	Myxosporium	rosarum	Incertae sedis		DTOL	
4040	Retiarius	bovicornutus	Incertae sedis		DTOL	
4041	Oncopodium	antoniae	Incertae sedis		DTOL	
4045	Myxosporium	phaeosporum	Incertae sedis		DTOL	
4046	Myxosporium	lanceola	Incertae sedis		DTOL	
4047	Myxosporium	pubescens	Incertae sedis		DTOL	
4048	Myxosporium	complanatum	Incertae sedis		DTOL	
4049	Tricellula	inaequalis	Incertae sedis		DTOL	
4052	Pseudocytoplacosphaeria	coniicola	Incertae sedis		DTOL	
4055	Sclerotium	muscorum	Incertae sedis		DTOL	
4056	Sclerotium	papyricola	Incertae sedis		DTOL	
4057	Sclerotium	pustula	Incertae sedis		DTOL	
4058	Sclerotium	rubi	Incertae sedis		DTOL	
4059	Scolicotrichum	stricticum	Incertae sedis		DTOL	
4060	Thyronectria	balsamea	Incertae sedis		DTOL	
4061	Sclerotium	salicinum	Incertae sedis		DTOL	
4062	Sclerozythia	brassicae	Incertae sedis		DTOL	
4063	Sclerotium	stercorarium	Incertae sedis		DTOL	
4065	Tetranacrium	gramineum	Incertae sedis		DTOL	
4066	Scytinostromella	olivaceoalba	Incertae sedis		DTOL	
4071	Septonema	spilomeum	Incertae sedis		DTOL	
4072	Septonema	strictum	Incertae sedis		DTOL	
4076	Spermospora	avenae	Incertae sedis		DTOL	
4077	Sphaeridium	sylvestris	Incertae sedis		DTOL	
4078	Spicaria	griseola	Incertae sedis		DTOL	
4080	Stilbospora	cistina	Incertae sedis		DTOL	
4083	Stigmatea	pelvetiae	Incertae sedis		DTOL	
4084	Sporidesmium	coniosporium	Incertae sedis		DTOL	
4085	Sporidesmium	cladosporii	Incertae sedis		DTOL	
4086	Sporidesmium	britannicum	Incertae sedis		DTOL	
4087	Trabrooksia	applanata	Incertae sedis		DTOL	
4088	Sirexcipula	kabatiana	Incertae sedis		DTOL	
4089	Sporidesmium	pyriforme	Incertae sedis		DTOL	
4090	Sporidesmium	polymorphum	Incertae sedis		DTOL	
4091	Sporidesmium	hourniense	Incertae sedis		DTOL	
4092	Petrakia	echinata	Incertae sedis		DTOL	
4093	Spermospora	bromivora	Incertae sedis		DTOL	
4097	Periconia	byssoides	Incertae sedis		DTOL	
4098	Periconia	cookei	Incertae sedis		DTOL	
4100	Periconia	minutissima	Incertae sedis		DTOL	
4101	Phlebiella	sulphurea	Incertae sedis		DTOL	
4102	Phlebiella	tulasnelloidea	Incertae sedis		DTOL	
4105	Diachea	leucopoda	Incertae sedis		DTOL	
4106	Baeospora	myosura	Incertae sedis		DTOL	
4107	Clitocybe	fragrans	Incertae sedis		DTOL	
4108	Clitocybe	nebularis	Incertae sedis		DTOL	
4109	Cystoderma	amianthinum	Incertae sedis		DTOL	
4111	Fistulina	hepatica	Incertae sedis		DTOL	
4112	Lepista	flaccida	Incertae sedis		DTOL	
4113	Lepista	nuda	Incertae sedis		DTOL	
4114	Megacollybia	platyphylla	Incertae sedis		DTOL	
4118	Bartheletia	paradoxa	Incertae sedis		DTOL	
4125	Frigidopyrenia	bryospila	Incertae sedis		DTOL	
4128	Crocicreas	cyathoideum	Incertae sedis		DTOL	
4137	Epicladonia	simplex	Incertae sedis		DTOL	
4138	Syzygites	megalocarpus	Incertae sedis		DTOL	
4139	Sirobasidium	brefeldianum	Incertae sedis		DTOL	
4140	Clitocybe	odora	Incertae sedis		DTOL	
4141	Cystoderma	jasonis	Incertae sedis		DTOL	
4142	Lepista	sordida	Incertae sedis		DTOL	
4143	Lepista	panaeolus	Incertae sedis		DTOL	
4145	Crucibulum	laeve	Incertae sedis		DTOL	
4149	Inocybe	rimosa	Inocybaceae		DTOL	
4161	Ismarus	dorsiger	Ismaridae	DTOL	DTOL	
4166	Ruttnera	maritima	Isochrysidaceae	DTOL	DTOL	
4226	Jungermannia	eucordifolia	Jungermanniaceae	DTOL	DTOL	
4322	Collaria	elegans	Lamprodermatidae		DTOL	
4323	Colloderma	oculatum	Lamprodermatidae		DTOL	
4324	Lamproderma	arcyrioides	Lamprodermatidae		DTOL	
4325	Lamproderma	scintillans	Lamprodermatidae		DTOL	
4326	Lamproderma	columbinum	Lamprodermatidae	DTOL	DTOL	
4363	Zwackhia	prosodea	Lecanographaceae		DTOL	
4402	Kavinia	alboviridis	Lentariaceae	DTOL	DTOL	
4403	Lentaria	afflata	Lentariaceae	DTOL	DTOL	
4419	Microglossum	microsporum	Leotiaceae		DTOL	
4457	Aphanomyces	cochlioides	Leptolegniaceae		DTOL	
4459	Aphanomyces	stellatus	Leptolegniaceae		DTOL	
4460	Aphanomyces	astaci	Leptolegniaceae	DTOL	DTOL	
4461	Aphanomyces	euteiches	Leptolegniaceae	DTOL	DTOL	
4479	Leptosphaeria	maculans	Leptosphaeriaceae		DTOL	
4525	Synalissa	symphorea	Lichinaceae		DTOL	
4561	Pseudolithoderma	extensum	Lithodermataceae	DTOL	DTOL	
4562	Pseudolithoderma	roscoffense	Lithodermataceae	DTOL	DTOL	
4565	Phymatolithon	calcareum	Lithothamniaceae	DTOL	DTOL	
4566	Phymatolithon	lenormandii	Lithothamniaceae	DTOL	DTOL	
4588	Lopadostoma	turgidum	Lopadostomataceae	DTOL	DTOL	
4652	Lycoperdon	pyriforme	Lycoperdaceae	DTOL	DTOL	
4664	Allogramma	formosa	Lyonsiellidae	DTOL	DTOL	
4665	Lyonsiella	abyssicola	Lyonsiellidae	DTOL	DTOL	
4727	Propolis	phacidioides	Marthamycetaceae	DTOL	DTOL	
4728	Polychidium	dendriscum	Massalongiaceae		DTOL	
4749	Graneledone	verrucosa	Megaleledonidae	DTOL	DTOL	
4750	Zeugophora	subspinosa	Megalopodidae	DTOL	DTOL	
4796	Melogramma	elongatum	Melogrammataceae		DTOL	
4797	Melogramma	campylosporum	Melogrammataceae	DTOL	DTOL	
4804	Meriderma	cribrarioides	Meridermatidae		DTOL	
4805	Meriderma	carestiae	Meridermatidae	DTOL	DTOL	
4838	Pseudallescheria	boydii	Microascaceae		DTOL	
4856	Microphor	crassipes	Microphoridae	DTOL	DTOL	
4862	Microsphaeropsis	olivacea	Microsphaeropsidaceae	DTOL	DTOL	
4999	Chaetocladium	brefeldii	Mucoraceae	DTOL	DTOL	
5036	Mycetobia	gemella	Mycetobiidae	DTOL	DTOL	
5072	Taeniolella	plantaginis	Mytilinidiaceae		DTOL	
5073	Taeniolella	stilbospora	Mytilinidiaceae		DTOL	
5088	Gwynia	capsula	NA	DTOL	DTOL	
5103	Natrix	helvetica	Natricidae	DTOL	DTOL	
5147	Lachnella	alboviolascens	Niaceae		DTOL	
5148	Lachnella	villosa	Niaceae		DTOL	
5149	Flagelloscypha	minutissima	Niaceae	DTOL	DTOL	
5150	Merismodes	anomala	Niaceae	DTOL	DTOL	
5163	Micropharynx	parasitica	No assigned Family	DTOL	DTOL	
5185	Nutomonas	kenti	Nutomonadidae	DTOL	DTOL	
5254	Halochlorococcum	moorei	Oltmannsiellopsidaceae	DTOL	DTOL	
5304	Opetia	nigra	Opetiidae	DTOL	DTOL	
5485	Oxyporus	corticola	Oxyporaceae		DTOL	
5486	Oxyporus	pearsonii	Oxyporaceae		DTOL	
5487	Oxyporus	populinus	Oxyporaceae		DTOL	
5488	Oxyporus	latemarginatus	Oxyporaceae	DTOL	DTOL	
5489	Oxyporus	obducens	Oxyporaceae	DTOL	DTOL	
5498	Sphaerocystis	schroeteri	Palmellaceae	DTOL	DTOL	
5505	Parmeliella	thriptophylla	Pannariaceae		DTOL	
5510	Panurus	biarmicus	Panuridae	DTOL	DTOL	
5537	Vorticella	microstoma	Parameciidae	DTOL	DTOL	
5538	Blastodacna	hellerella	Parametriotidae	DTOL	DTOL	
5566	Rhizodiscina	lignyota	Patellariaceae		DTOL	
5579	Melanogaster	ambiguus	Paxillaceae		DTOL	
5580	Melanogaster	broomeanus	Paxillaceae		DTOL	
5589	Ciliophrys	infusionum	Pedinellaceaea	DTOL	DTOL	
5590	Carcina	quercana	Peleopodidae	DTOL	DTOL	
5600	Pemphredon	lugubris	Pemphredonidae	DTOL	DTOL	
5613	Scytomonas	saepesedens	Peranemataceae	DTOL	DTOL	
5627	Elongisporangium	undulatum	Peronosporaceae	DTOL	DTOL	
5650	Petrospongium	berkeleyi	Petrospongiaceae	DTOL	DTOL	
5678	Lichenostigma	rugosum	Phaeococcomycetaceae	DTOL	DTOL	
5680	Sorapion	kjellmanii	Phaeophyceae familia incertae sedis	DTOL	DTOL	
5681	Sorapion	simulans	Phaeophyceae familia incertae sedis	DTOL	DTOL	
5697	Scotolemon	doriae	Phalangodidae	DTOL	DTOL	
5720	Phellia	gausapata	Phelliidae	DTOL	DTOL	
5722	Cerceris	quinquefasciata	Philanthidae	DTOL	DTOL	
5748	Colobopyga	kewensis	Phoenicococcidae	DTOL	DTOL	
5771	Mimulus	guttatus	Phrymaceae	DTOL	DTOL	
5913	Plasmodiophora	alni	Plasmodiophoridae		DTOL	
5928	Verticillium	nigrescens	Plectosphaerellaceae		DTOL	
5945	Connersia	rilstonei	Pleuroascaceae		DTOL	
5949	Pleurochrysis	carterae	Pleurochrysidaceae	DTOL	DTOL	
6084	Poa	humilis	Poaceae		DTOL	
6097	Schedonorus	arundinaceus	Poaceae		DTOL	
6099	Schedonorus	pratensis	Poaceae		DTOL	
6254	Harveylithon	samoënse	Porolithaceae	DTOL	DTOL	
6282	Weissia	x-mittenii	Pottiaceae		DTOL	
6423	Weissia	wimmeriana	Pottiaceae		DTOL	
6462	Protostelium	arachisporum	Protosteliida		DTOL	
6463	Protosteliopsis	fimicola	Protosteliida	DTOL	DTOL	
6464	Protostelium	mycophagum	Protosteliida	DTOL	DTOL	
6477	Psathyrella	candolleana	Psathyrellaceae		DTOL	
6481	Psen	ater	Psenidae	DTOL	DTOL	
6487	Lescuraea	incurvata	Pseudoleskeaceae		DTOL	
6488	Lescuraea	saxicola	Pseudoleskeaceae		DTOL	
6489	Lescuraea	patens	Pseudoleskeaceae	DTOL	DTOL	
6490	Lescuraea	plicata	Pseudoleskeaceae	DTOL	DTOL	
6491	Pseudoleskeella	nervosa	Pseudoleskeellaceae		DTOL	
6492	Pseudoleskeella	catenulata	Pseudoleskeellaceae	DTOL	DTOL	
6493	Pseudoleskeella	rupestris	Pseudoleskeellaceae	DTOL	DTOL	
6501	Wentiomyces	sibiricus	Pseudoperisporiaceae		DTOL	
6505	Coryneum	kunzei	Pseudovalsaceae		DTOL	
6506	Pseudovalsa	longipes	Pseudovalsaceae		DTOL	
6507	Pseudovalsa	modonia	Pseudovalsaceae		DTOL	
6508	Pseudovalsa	umbonata	Pseudovalsaceae		DTOL	
6509	Pseudovalsa	lanciformis	Pseudovalsaceae	DTOL	DTOL	
6537	Ptilidium	pulcherrimum	Ptilidiaceae	DTOL	DTOL	
6541	Cyrillia	linearis	Ptychatractidae	DTOL	DTOL	
6542	Raphitoma	purpurea	Ptychatractidae	DTOL	DTOL	
6576	Pyramimonas	urceolata	Pyramimonadophyceae	DTOL	DTOL	
6579	Rhinomonas	reticulata	Pyrenomonadacae	DTOL	DTOL	
6580	Rhodomonas	baltica	Pyrenomonadacae	DTOL	DTOL	
6763	Volvulella	acuminata	Rhizoridae	DTOL	DTOL	
6766	Rhodochorton	purpureum	Rhodochortonaceae	DTOL	DTOL	
6774	Rhogostoma	micra	Rhogostomidae	DTOL	DTOL	
6775	Rhogostoma	chuessleri	Rhogostomidae	DTOL	DTOL	
6779	Tetragoniomyces	uliginosus	Rhynchogastremaceae	DTOL	DTOL	
6801	Peniophorella	guttulifera	Rickenellaceae		DTOL	
6805	Peniophorella	praetermissa	Rickenellaceae		DTOL	
6806	Peniophorella	pubera	Rickenellaceae		DTOL	
6855	Potentilla	rupestris	Rosaceae		DTOL	
6920	Sorbus	scannelliana	Rosaceae		DTOL	
6943	Rozellopsis	inflata	Rozellopsidaceae	DTOL	DTOL	
6944	Rozellopsis	septigena	Rozellopsidaceae	DTOL	DTOL	
6984	Debaryomyces	hansenii	Saccharomycetaceae		DTOL	
7136	Schistochilopsis	opacifolia	Scapaniaceae		DTOL	
7163	Basidioradulum	radula	Schizoporaceae	DTOL	DTOL	
7174	Schmitziella	endophloea	Schmitziellaceae	DTOL	DTOL	
7198	Scoliciosporum	intrusum	Scoliciosporaceae		DTOL	
7199	Scoliciosporum	pruinosum	Scoliciosporaceae		DTOL	
7200	Scoliciosporum	umbrinum	Scoliciosporaceae		DTOL	
7201	Scoliciosporum	chlorococcum	Scoliciosporaceae	DTOL	DTOL	
7202	Scoliciosporum	curvatum	Scoliciosporaceae	DTOL	DTOL	
7254	Ciliospora	albida	Sebacinaceae		DTOL	
7329	Solen	capensis	Solenidae	DTOL	DTOL	
7330	Lasiobelonium	nidulus	Solenopeziaceae	DTOL	DTOL	
7353	Sparasion	cephalotes	Sparasionidae	DTOL	DTOL	
7437	Pascherina	tetras	Spondylimoraceae	DTOL	DTOL	
7469	Stauroneis	stimulans	Stauroneidaceae	DTOL	DTOL	
7477	Podocera	soniae	Stenomicridae	DTOL	DTOL	
7516	Strangospora	moriformis	Strangosporaceae		DTOL	
7627	Massjukiella	polycarpa	Teloschistaceae		DTOL	
7663	Pseudomogoplistes	vicentae	Tettigoniidae	DTOL	DTOL	
7667	Thalassionema	nitzschiodes	Thalassionemataceae	DTOL	DTOL	
7671	Allas	oxoniensis	Thaumatomonadida	DTOL	DTOL	
7677	Chromatochlamys	confusum	Thelenellaceae		DTOL	
7678	Julella	sericea	Thelenellaceae		DTOL	
7700	Scrippsiella	trochoidea	Thoracosphaeraceae	DTOL	DTOL	
7704	Platalea	leucorodia	Threskiornitidae	DTOL	DTOL	
7756	Dendryphiella	infuscans	Torulaceae	DTOL	DTOL	
7757	Dendryphiella	vinosa	Torulaceae	DTOL	DTOL	
7760	Sarea	resinae	Trapeliaceae		DTOL	
7764	Travisia	forbesii	Travisiidae	DTOL	DTOL	
7785	Trieres	mobiliensis	Tricertatiaceae	DTOL	DTOL	
7786	Trieres	chinensis	Tricertatiaceae	DTOL	DTOL	
7831	Trixoscelis	marginella	Trixoscelididae	DTOL	DTOL	
7838	Troglodytes	troglodytes	Troglodytidae	DTOL	DTOL	
7858	Troposporella	monospora	Tubeufiaceae		DTOL	
7901	Hormidiopsis	crenulata	Ulotrichaceae	DTOL	DTOL	
7902	Chlorocystis	salina	Ultrichaceae	DTOL	DTOL	
7947	Valerianella	carinata	Valerianaceae		DTOL	
7951	Valerianella	rimosa	Valerianaceae		DTOL	
7963	Vannella	anglica	Vannellida	DTOL	DTOL	
8046	Victorella	pavida	Victorellidae	DTOL	DTOL	
8096	Lambiella	gyrizans	Xylographaceae		DTOL	
8097	Lambiella	insularis	Xylographaceae		DTOL	
8098	Spiloma	auratum	Xylographaceae		DTOL	
8099	Spiloma	nigrum	Xylographaceae		DTOL	
8100	Xylographa	parallela	Xylographaceae	DTOL	DTOL	
8106	Hyperoodon	ampullatus	Ziphidae	DTOL	DTOL	
8107	Mesoplodon	bidens	Ziphidae		DTOL	DTOL
8108	Mesoplodon	densirostris	Ziphidae		DTOL	DTOL
8109	Mesoplodon	europaeus	Ziphidae		DTOL	DTOL
8110	Mesoplodon	grayi	Ziphidae		DTOL	DTOL
8111	Mesoplodon	mirus	Ziphidae		DTOL	DTOL
8112	Pseudorca	crassidens	Ziphidae		DTOL	DTOL
8113	Ziphius	cavirostris	Ziphidae		DTOL	DTOL
