SPECIES_IF_SF	GENUS_IF_SF	FAMILY_IF_SF	ORDER_IF_SF	sample_collected	sequencing_status
Inocybe tigrina	Candolleomyces			DTOL	sample_collected
Pseudosperma umbrinellum	Chuppomyces			DTOL	sample_collected
Hygrophoropsis rufa	Cylindrobasidium			DTOL	sample_collected
Aleuria sp.	Didymella			DTOL	sample_collected
Armillaria ostoyae	Dothiorella			DTOL	sample_collected
Armillaria ostoyae	Exophiala			DTOL	sample_collected
Cortinarius bolaris	Hyaloscypha			DTOL	sample_collected
Cortinarius bolaris	Ilyonectria			DTOL	sample_collected
Cortinarius anthracinus	Jattaea			DTOL	sample_collected
Craterellus tubaeformis	Jeremyomyces			DTOL	sample_collected
Cantharellus tubaeformis	Kodamaea			DTOL	sample_collected
Russula nobilis	Lecanicillium			DTOL	sample_collected
Mycena inclinata	Metapochonia			DTOL	sample_collected
Tricholoma lascivum	Neoascochyta			DTOL	sample_collected
Lactarius blennius	Paraphaeosphaeria			DTOL	sample_collected
Lactarius blennius	Parengyodontium			DTOL	sample_collected
Lactarius chrysorrheus	Pestalotiopsis			DTOL	sample_collected
Lactarius chrysorrheus	Pithomyces			DTOL	sample_collected
Volvopluteus gloiocephalus	Pseudogymnoascus			DTOL	sample_collected
Sarcodontia crocea	Roussoella			DTOL	sample_collected
Tricholoma saponaceum	Samsoniella			DTOL	sample_collected
Cortinarius hemitrichus	Trichocladium			DTOL	sample_collected
Lactarius tabidus	Coleophoma			DTOL	sample_collected
Xerocomus ferrugineus	Annulohypoxylon			DTOL	sample_collected
Inocybe lindrothii	Beauveria			DTOL	sample_collected
Psilocybe cyanescens	Microsphaeropsis			DTOL	sample_collected
Trechispora stevensonii	Nigrograna			DTOL	sample_collected
Rugosomyces carneus	Apiospora			DTOL	sample_collected
Microglossum tenebrosum	Cephalotrichum			DTOL	sample_collected
Clavaria atroumbrina	Neocucurbitaria			DTOL	sample_collected
Gomphidius roseus	Phialocephala			DTOL	sample_collected
Cuphophyllus pratensis	Calcarisporium			DTOL	sample_collected
Geoglossum umbratile	Botrytis			DTOL	sample_collected
Lepiota subalba	Protocreopsis			DTOL	sample_collected
Strobilurus esculentus	Phoma			DTOL	sample_collected
Stephanospora caroticolor	Blumeria			DTOL	sample_collected
Laccaria fraterna	Bremia			DTOL	sample_collected
Volvariella surrecta	Cercospora			DTOL	sample_collected
Lyophyllum leucophaeatum	Ceuthospora			DTOL	sample_collected
Hymenogaster luteus	Dendryphion			DTOL	sample_collected
Hygrophorus lindtneri	Dennisiella			DTOL	sample_collected
Ramariopsis kunzei	Diplocarpon			DTOL	sample_collected
Simplicillium lamellicola	Epichloe			DTOL	sample_collected
Ossicaulis lignatilis	Exobasidium			DTOL	sample_collected
Ascomycota sp.	Golovinomyces			DTOL	sample_collected
Armillaria mellea	Hyaloperonospora			DTOL	sample_collected
Apioperdon pyriforme	Hysterostegiella			DTOL	sample_collected
Ascobolus roseopurpurascens	Juglanconis			DTOL	sample_collected
Sarocladium junci	Microbotryum			DTOL	sample_collected
Flammula alnicola	Microthyrium			DTOL	sample_collected
Pholiota gummosa	Mycosphaerella			DTOL	sample_collected
Pholiota aurivella	Neoerysiphe			DTOL	sample_collected
Kretzschmaria deusta	Peronospora			DTOL	sample_collected
Panaeolus papilionaceus	Plasmopara			DTOL	sample_collected
Lacrymaria lacrymabunda	Podosphaera			DTOL	sample_collected
Hypocreales sp.	Sawadaea			DTOL	sample_collected
Isaria sp.	Septoria			DTOL	sample_collected
Calocera cornea	Stigmina			DTOL	sample_collected
Cyathus stercoreus	Stomiopeltis			DTOL	sample_collected
Flammulina rossica	Taphridium			DTOL	sample_collected
Leptosphaeria acuta	Tuberculina			DTOL	sample_collected
Diaporthe eres	Venturia			DTOL	sample_collected
Tolypocladium pustulatum	Acrospermum			DTOL	sample_collected
Melanconium hedericola	Tracya			DTOL	sample_collected
Ramularia unterseheri	Anthracoidea			DTOL	sample_collected
Ramularia vizellae	Neosetophoma			DTOL	sample_collected
Trichoderma sp.	Stagonospora			DTOL	sample_collected
Penicillium solitum	Lachnum			DTOL	sample_collected
Geomyces auratus	Capronia			DTOL	sample_collected
Ganoderma sp.	Phaeolus			DTOL	sample_collected
Leptographium flavum				DTOL	sample_collected
Aspergillus inflatus	Collybia			DTOL	sample_collected
Sugiyamaella paludigena	Terriera			DTOL	sample_collected
Sporothrix dentifunda	Bulbillomyces farinosus			DTOL	sample_collected
Ophiostoma dentifundum	Jackrogersella			DTOL	sample_collected
Oidiodendron sp.	Phanerochaete			DTOL	sample_collected
Aspergillaceae sp.	Glyphium			DTOL	sample_collected
Penicillium cf. restrictum	Chalciporus			DTOL	sample_collected
Gliomastix murorum	Menispora			DTOL	sample_collected
Acremonium murorum	Cortinarius citreisporus			DTOL	sample_collected
Entomortierella parvispora	Tomentella			DTOL	sample_collected
Mortierella parvispora	Claviceps			DTOL	sample_collected
Mariannaea sp.	Capitotricha			DTOL	sample_collected
Coniophora olivacea	Russula subfoetens			DTOL	sample_collected
Rasamsonia sp.	Pseudoboletus			DTOL	sample_collected
Penicillium roseopurpureum	Panus			DTOL	sample_collected
Sydowia polyspora	Lichenomphalia			DTOL	sample_collected
Rhizosphaera pinicola	Humaria			DTOL	sample_collected
Rhizosphaera kalkhoffii	Phlebiella			DTOL	sample_collected
Trichoderma lentiforme	Incrucipulum			DTOL	sample_collected
Chlorociboria aeruginosa	Gorgoniceps			DTOL	sample_collected
