	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
10311	Xenoperdix udzungwensis		Udzungwa Forest Partridge	Phasianidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10312	Xenopipo atronitens		Black Manakin	Pipridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10313	Xenopipo uniformis		Olive Manakin	Pipridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10314	Xenopirostris damii		Van Dam's Vanga	Vangidae							B10K		
10315	Xenopirostris polleni		Pollen's Vanga	Vangidae							B10K		
10316	Xenopirostris xenopirostris		Lafresnaye's Vanga	Vangidae							B10K		
10317	Xenops minutus		Plain Xenops	Furnariidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10318	Xenops rutilus		Streaked Xenops	Furnariidae							B10K		
10319	Xenops tenuirostris		Slender-billed Xenops	Furnariidae							B10K		
10321	Xenornis setifrons		Spiny-faced Antshrike	Thamnophilidae							B10K		
10322	Xenospingus concolor		Slender-billed Finch	Thraupidae							B10K		
10323	Xenospiza baileyi		Sierra Madre Sparrow	Passerellidae							B10K		
10324	Xenotriccus callizonus		Belted Flycatcher	Tyrannidae		B10K	B10K	B10K		in_progress	B10K		
10325	Xenotriccus mexicanus		Pileated Flycatcher	Tyrannidae							B10K		
10326	Xenus cinereus		Terek Sandpiper	Scolopacidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10327	Xiphidiopicus percussus		Cuban Green Woodpecker	Picidae							B10K		
10328	Xiphocolaptes albicollis		White-throated Woodcreeper	Dendrocolaptidae							B10K		
10329	Xiphocolaptes falcirostris		Moustached Woodcreeper	Dendrocolaptidae							B10K		
10330	Xiphocolaptes major		Great Rufous Woodcreeper	Dendrocolaptidae							B10K		
10331	Xiphocolaptes promeropirhynchus		Strong-billed Woodcreeper	Dendrocolaptidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10332	Xipholena atropurpurea		White-winged Cotinga	Cotingidae							B10K		
10333	Xipholena lamellipennis		White-tailed Cotinga	Cotingidae							B10K		
10334	Xipholena punicea		Pompadour Cotinga	Cotingidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10335	Xiphorhynchus elegans		Elegant Woodcreeper	Dendrocolaptidae	Phase Family	B10K	B10K	B10K		in_progress	B10K		B10K
10336	Xiphorhynchus erythropygius		Spotted Woodcreeper	Dendrocolaptidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10337	Xiphorhynchus flavigaster		Ivory-billed Woodcreeper	Dendrocolaptidae							B10K		
10338	Xiphorhynchus fuscus		Lesser Woodcreeper	Dendrocolaptidae							B10K		
10339	Xiphorhynchus guttatus		Buff-throated Woodcreeper	Dendrocolaptidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10340	Xiphorhynchus guttatus	costaricensis	Buff-throated Woodcreeper	Dendrocolaptidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10341	Xiphorhynchus lachrymosus	lachrymosus	Black-striped Woodcreeper	Dendrocolaptidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10342	Xiphorhynchus obsoletus		Striped Woodcreeper	Dendrocolaptidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10343	Xiphorhynchus ocellatus		Ocellated Woodcreeper	Dendrocolaptidae							B10K		
10344	Xiphorhynchus pardalotus	pardalotus	Chestnut-rumped Woodcreeper	Dendrocolaptidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10345	Xiphorhynchus spixii		Spix's Woodcreeper	Dendrocolaptidae							B10K		
10346	Xiphorhynchus susurrans		Cocoa Woodcreeper	Dendrocolaptidae							B10K		
10347	Xiphorhynchus triangularis		Olive-backed Woodcreeper	Dendrocolaptidae							B10K		
10349	Xolmis coronatus		Black-crowned Monjita	Tyrannidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10352	Xolmis pyrope		Fire-eyed Diucon	Tyrannidae							B10K		
10353	Xolmis rubetra		Rusty-backed Monjita	Tyrannidae							B10K		
10355	Xolmis velatus		White-rumped Monjita	Tyrannidae							B10K		
10356	Yuhina bakeri		White-naped Yuhina	Zosteropidae							B10K		
10357	Yuhina brunneiceps		Taiwan Yuhina	Zosteropidae							B10K		
