institutionCode	otherCatalogNumbers	preservative	phylum	class	order	family	genus	specificEpithet	year	sequencing_status	sample_collected	sample_collected_by
NHMUK	NHMUK:ecatalogue:9589000	100% ethanol	Bryozoa				Membranipora	membranacea	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9614226	100% ethanol	Bryozoa				Membranipora	membranacea	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9824352	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9824353	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9824349	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9824350	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9824351	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Mesochorus	dilobatus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9413293	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Tiphiidae	Tiphia	femorata	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9294618	Liquid Nitrogen	Arthropoda	Insecta	Coleoptera	Cerambycidae	Rhagium	mordax	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9832211	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Cosmoconus	elongator	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9474050	80% ethanol	Annelida	Polychaeta	Terebellida	Terebellidae	Amphitrite	cirrata	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9473835	Dry frozen (-80°C)	Echinodermata	Ophiuroidea	Ophiurida	Ophiuridae	Ophiura	albida	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9420478	100% ethanol	Arthropoda	Chilopoda	Scolopendromorpha	Cryptopidae	Cryptops	hortensis	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9172835	Dry frozen (-200°C)	Arthropoda	Insecta	Plecoptera	Nemouridae	Nemoura	dubitans	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9968216	Dry frozen (-80°C)	Arthropoda	Chilopoda	Lithobiomorpha	Lithobiidae	Lithobius	microps		sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9173554	Dry frozen (-200°C)	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Enochrus	testaceus	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9173300	Dry frozen (-200°C)	Arthropoda	Insecta	Ephemeroptera	Heptageniidae	Ecdyonurus	venosus	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9172817	Dry frozen (-200°C)	Arthropoda	Insecta	Ephemeroptera	Baetidae	Centroptilum	luteolum	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9420954	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Curculionidae	Phyllobius	roboretanus	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248254	Liquid Nitrogen	Arthropoda	Insecta	Hemiptera	Aphrophoridae	Neophilaenus	lineatus	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9968217	Dry frozen (-80°C)	Arthropoda	Chilopoda	Lithobiomorpha	Lithobiidae	Lithobius	forficatus		sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9968236	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera					sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9294752	Liquid Nitrogen		Insecta	Siphonaptera	Pulicidae	Archaeopsylla	erinacei	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9473889	Dry frozen (-80°C)	Arthropoda	Malacostraca	Amphipoda	Talitridae	Talitrus	saltator	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9505089	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Netelia		2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248123	Liquid Nitrogen	Arthropoda	Insecta	Hemiptera	Pentatomidae	Nezara	viridula	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9173713	Dry frozen (-200°C)	Arthropoda	Insecta	Plecoptera	Nemouridae	Nemoura	lacustris	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9172927	Dry frozen (-200°C)	Arthropoda	Insecta	Plecoptera	Leuctridae	Leuctra	fusca	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9173363	Dry frozen (-200°C)	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Hydrobius	fuscipes	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9823989	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Hadrodactylus	graminicola	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9173367	Dry frozen (-200°C)	Arthropoda	Insecta	Plecoptera	Chloroperlidae	Chloroperla	tripunctata	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9413275	Dry frozen (-80°C)		Insecta	Lepidoptera	Lymantriidae	Euproctis	similis	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9289883	Liquid Nitrogen	Arthropoda	Insecta	Diptera	Asilidae	Machimus	cingulatus	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9173008	Dry frozen (-200°C)	Arthropoda	Insecta	Trichoptera	Leptoceridae	Adicella	reducta	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9422585	Dry frozen (-80°C)	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Polyommatus	icarus	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9413250	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Oedemeridae	Oedemera	lurida	2021	sample_collected	DTOL	NHM
