superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	open	insdc_open	published
Actinopterygii (Ray-finned Fishes)	incertae sedis in Carangimorphariae	Toxotes jaculatrix	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Istiophoriformes	Xiphias gladius	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	incertae sedis in Ovalentaria	Parambassis ranga	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	insertae sedis in Eupercaria	Scatophagus argus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Mugiliformes	Chelon labrosus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Beloniformes	Xenentodon cancila	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Pholidichthyiformes	Pholidichthys leucotaenia	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Uranoscopiformes	Hyperoplus immaculatus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Blenniiformes	Salarias fasciatus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Trachichthyiformes	Anoplogaster cornuta	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Centrarchiformes	Micropterus salmoides	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Ephippiformes	Drepane punctata				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Chaetodontiformes	Chelmon rostratus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Acanthuriformes	Luvarus imperialis				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Spariformes	Sparus aurata	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Lophiiformes	Antennarius maculatus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Tetraodontiformes	Takifugu rubripes	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Actinopterygii (Ray-finned Fishes)	Pempheriformes	Pempheris oualensis	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Kurtiformes	Sphaeramia orbicularis	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Chondrichthyes (Cartilaginous Fishes)	Chimaeriformes	Callorhinchus milii				Chordata	VGP						
Chondrichthyes (Cartilaginous Fishes)	Heterodontiformes	Heterodontus francisci	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Chondrichthyes (Cartilaginous Fishes)	Orectolobiformes	Hemiscyllium ocellatum	open			Chordata	VGP	VGP	VGP	VGP	VGP		
		Hemiscyllium ocellatum				Chordata	VGP						
Chondrichthyes (Cartilaginous Fishes)	Lamniformes	Carcharodon carcharias	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Chondrichthyes (Cartilaginous Fishes)	Carcharhiniformes	Scyliorhinus canicula	open	Sanger 25G		Chordata	VGP	VGP	VGP	VGP	VGP		
Chondrichthyes (Cartilaginous Fishes)	Hexanchiformes	Chlamydoselachus anguineus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Chondrichthyes (Cartilaginous Fishes)	Squaliformes	Squalus acanthias	in_progress			Chordata	VGP	VGP	VGP	VGP			
Chondrichthyes (Cartilaginous Fishes)	Squatiniformes	Squatina dumeril				Chordata	VGP						
Chondrichthyes (Cartilaginous Fishes)	Pristiophoriformes	Pristiophorus nudipinnis				Chordata	VGP						
Chondrichthyes (Cartilaginous Fishes)	Torpediniformes	Narcine bancroftii	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Chondrichthyes (Cartilaginous Fishes)	Rajiformes	Amblyraja radiata	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Agnatha (Jawless Fishes)	Myxiniformes	Myxine glutinosa	in_progress			Chordata	VGP	VGP	VGP	VGP			
Agnatha (Jawless Fishes)	Petromyzontiformes	Petromyzon marinus	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Deuterostomes	Amphioxiformes	Branchiostoma belcheri	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Deuterostomes	Amphioxiformes	Branchiostoma floridae				Chordata	VGP						
Deuterostomes	Amphioxiformes	Branchiostoma lanceolatum		DToL		Chordata	VGP						
Deuterostomes	Forcipulatida	Asterias rubens	open			Echinodermata	VGP	VGP	VGP	VGP	VGP		
