Species	Phylum	Class	Order	Family	Genus	Status	project
Asterionella formosa	Stramenopiles/Ochrophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Asterionella	sample_collected	DTOL
Asterionellopsis glacialis	Stramenopiles/Ochrophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Asterionellopsis	sample_collected	DTOL
Amphora sp.	Stramenopiles/Ochrophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora	sample_collected	DTOL
Micrasterias rotata	Streptophyta/Charophyta	Zygnemophyceae/Conjugatophyceae	Desmidiales	Desmidiaceae	Micrasterias	sample_collected	DTOL
Spirogyra varians	Streptophyta/Charophyta	Zygnemophyceae/Conjugatophyceae	Zygnematales	Zygnemataceae	Spirogyra	sample_collected	DTOL
Pteromonas angulosa	Chlorophyta	Chlorophyceae	Chlamydomonadales	Phacotaceae	Pteromonas	sample_collected	DTOL
Gloeotila scopulina	Chlorophyta	Trebouxiophyceae	Chlorellales		Gloeotila	sample_collected	DTOL
Mallomonas cratis	Stramenopiles/Ochrophyta	Synurophyceae	Synurales	Mallomonadaceae	Mallomonas		DTOL
Agitata tremulans	Cercozoa				Agitata		DTOL
Coleochaete scutata	Streptophyta	Coleochaetophyceae	Coleochaetales	Coleochaetaceae	Coleochaete	sample_collected	DTOL
Paracercomonas minima	Cercozoa		Cercomonadida	Cercomonadidae	Paracercomonas		DTOL
Phacus triqueter	Euglenozoa	Euglenophyceae	Euglenales	Phacaceae	Phacus	sample_collected	DTOL
Euglypha rotunda	Rhizaria	Cercozoa	Euglyphida	Euglyphidae	Euglypha	sample_collected	DTOL
Cercomonas longicauda	Cercozoa		Cercomonadida	Cercomonadidae	Cercomonas		DTOL
Klebsormidium fluitans	Chlorophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	sample_collected	DTOL
Rhogostoma schuessleri	Cercozoa	Thecofilosea	Cryomonadida	Rhogostomidae	Rhogostoma		DTOL
Ochromonas tuberculata	Stramenopiles/Ochrophyta	Chrysophycaeae	Chromulinales	Chromulinaceae	Ochromonas	sample_collected	DTOL
Chromulina ochromonoides	Stramenopiles/Ochrophyta	Chrysophycaeae	Chromulinales	Chromulinaceae	Chromulina	sample_collected	DTOL
Spumella elongata	Stramenopiles/Ochrophyta	Chrysophycaeae	Chromulinales	Chromulinaceae	Spumella		DTOL
Paraphysomonas acuminata	Stramenopiles/Ochrophyta	Chrysophycaeae	Chromulinales	Paraphysomonadaceae	Paraphysomonas	sample_collected	DTOL
Prymnesium parvum	Haptophyta	?/Prymnesiophyceae	Prymnesiales	Prymnesiaceae	Prymnesium	sample_collected	DTOL
Coleps hirtus	Alveolata/Ciliophora	Prostomatea	Prorodontida	Colepidae	Coleps	sample_collected	DTOL
