scientific_name	tax_id	long_list
Tylodina perversa	154632	ASG
Hippopus hippopus	80818	ASG
Euprymna albatrossae	2038121	ASG
Euprymna hyllebergi	243073	ASG
Euprymna tasmanica	70205	ASG
Lusepiola birostrata	243074	ASG
Rondeletiola minor	70344	ASG
Sepietta neglecta	243076	ASG
Sepiola affinis	70192	ASG
Sepioloidea lineolata	61742	ASG
Uroteuthis edulis	55720	ASG
Acropora cytherea	46686	ASG
Acropora intermedia	114500	ASG
Acropora muricata	159855	ASG
Acropora palmata	6131	ASG
Acropora pulchra	140239	ASG
Acropora spathulata	141011	ASG
Acropora valida	55976	ASG
Agaricia agaricites	89882	ASG
Alveopora japonica	979799	ASG
Balanophyllia europaea	214959	ASG
Blastomussa merleti	214961	ASG
Blastomussa wellsi	419443	ASG
Cladocopium goreaui	2562237	ASG
Colpophyllia natans	242718	ASG
Dendrogyra cylindrus	214965	ASG
Diploria labyrinthiformis	242715	ASG
Echinopora lamellosa	46694	ASG
Effrenium voratum	2562239	ASG
Freudenthalidium endolithicum	2705341	ASG
Freudenthalidium heronense	2705340	ASG
Fugacium kawagutii	2697096	ASG
Galaxea fascicularis	46745	ASG
Goniastrea retiformis	465062	ASG
Halluxium pauxillum	2705339	ASG
Isopora brueggemanni	105614	ASG
Micromussa lordhowensis	1216036	ASG
Montastraea cavernosa	63558	ASG
Montipora capitata	46704	ASG
Montipora digitata	46705	ASG
Mussismilia hispida	242724	ASG
Oculina arbuscula	1282862	ASG
Orbicella franksi	48499	ASG
Pocillopora damicornis	46731	ASG
Pocillopora grandis	2759717	ASG
Porites cylindrica	126659	ASG
Porites rus	262591	ASG
Pseudodiploria strigosa	1428006	ASG
Pseudodiploria strigosa	1428006	ASG
Seriatopora hystrix	51070	ASG
Siderastrea radians	214988	ASG
Siderastrea siderea	130672	ASG
Siderastrea stellata	247026	ASG
Stylophora subseriata	1911931	ASG
Turbinaria reniformis	1381352	ASG
Caloplaca maritima	153700	ASG
Collemopsidium angermannicum	1835007	ASG
Collemopsidium foveolatum	159991	ASG
Collemopsidium halodytes	159992	ASG
Collemopsidium ostrearum	159993	ASG
Collemopsidium pelvetiae	1834957	ASG
Cystocoleus ebeneus	476042	ASG
Hydropunctaria amphibia	1093102	ASG
Hydropunctaria aractina	1093103	ASG
Hydropunctaria maura	468105	ASG
Hydropunctaria oceanica	1170263	ASG
Hydropunctaria orae	1168745	ASG
Lichina confinis	174425	ASG
Lichina pygmaea	157483	ASG
Mastodia tessellata	732290	ASG
Pelvetia canaliculata	74467	ASG
Racodium rupestre	476044	ASG
Ramalina cuspidata	2606998	ASG
Ramalina siliquosa	56482	ASG
Rhizocarpon geographicum	88642	ASG
Verrucaria funckii	429476	ASG
Verrucaria halizoa	732292	ASG
Verrucaria macrostoma	468104	ASG
Verrucaria praetermissa	429479	ASG
Wahlenbergiella mucosa	468106	ASG
Wahlenbergiella striatula	468111	ASG
Wahlenbergiella tavaresiae	2080287	ASG
Xanthoria aureola	262315	ASG
Xanthoria ucrainica	553268	ASG
Caloplaca littorea		ASG
Verrucaria fusconigrescens		ASG
Verrucaria prominula		ASG
Verrucaria tesselatula		ASG
Nitzschia sp.	1884248	ASG
Durinskia oculata	400754	ASG
Rhynchopus	160598	ASG
Rhynchopus	160598	ASG
Rhynchopus	160598	ASG
Rhynchopus	160598	ASG
Amphiscolops	31266	ASG
Arctapodema	2099359	ASG
Atolla	86042	ASG
Cassiopea	12992	ASG
Cassiopea	12992	ASG
Cassiopea	12992	ASG
Cassiopea	12992	ASG
Nausithoe	168761	ASG
Nausithoe	168761	ASG
Porpita	168782	ASG
Velella vellela	264060	ASG
Velella vellela	264060	ASG
Velella vellela	264060	ASG
Oscarella	121493	ASG
Ircinia fasciculata	1234657	ASG
Cyclidium	35099	ASG
Heterometopus	2021966	ASG
Metopus	5964	ASG
Metopus	5964	ASG
Metopus	5964	ASG
Pseudovorticella	310678	ASG
Scuticociliatia	35094	ASG
Scuticociliatia	35094	ASG
Scuticociliatia	35094	ASG
Strombidium	60005	ASG
Strombidium	60005	ASG
Strombidium	60005	ASG
Trimyema	35112	ASG
Trimyema	35112	ASG
Trimyema	35112	ASG
Vorticella	60849	ASG
Plagiopyla	35116	ASG
Trochochilodon	1170547	ASG
Breviolum	2499526	ASG
Phyllodesmium	219670	ASG
Spongilla	6054	ASG
Euphyllia	46749	ASG
Fragum scruposum/whitleyi	561459/1699438	ASG
Millepora complanata	5444496	ASG
Mycetophyllia aliciae/ferox	242734/1428005	ASG
Noctiluca Scintillans	2966	ASG
Alaysia	69603	ASG
Ampharete	394738	ASG
Amphicteis	153631	ASG
Aristonerilla	319714	ASG
Bispira	754250	ASG
Cirratulus	104698	ASG
Dero	66487	ASG
Mesonerilla	36117	ASG
Myxicola	76263	ASG
Osedax	283775	ASG
Pomatoceros	222019	ASG
Protula	51281	ASG
Sclerolinum	167798	ASG
Speleonerilla	2558908	ASG
Trochonerilla	317907	ASG
Siboglinum fjordicum	27908	ASG
Tevnia jerichoana	53621	ASG
Austriella	244465	ASG
Xylophaga	183506	ASG
Aeolidia filomenae	1758757	ASG
Cuthona sibogae	219663	ASG
Spurilla neapolitana	929453	ASG
Strombus urceus	387474	ASG
Rossia	216821	ASG
Euprymna parva	2302672	ASG
Cladocopium	2486696	ASG
Freudenthalidium	2726157	ASG
Gerakladium	2697099	ASG
Caloplaca citrina	1301329	ASG
Caloplaca marina	1301332	ASG
Caloplaca thallincola	2005602	ASG
Caloplaca verruculifera	1301507	ASG
Netrostoma setouchianum		ASG
Thysanostoma loriferum		ASG
Convoluta paradoxa		ASG
Phyllidia flava		ASG
Collemopsidium elegans		ASG
