Family	Genus	Species	NCBI name (if different)	Status	2020	lowest_priority	RBGE_2021	RBGK_2021	RBGE_2022	RBGK_2022	sample_collected	other_priority	family_representative	long_list
Asteraceae	Erigeron	acris		dtol										DTOL
Asteraceae	Erigeron	borealis		dtol					yes		DTOL			DTOL
Asteraceae	Eupatorium	cannabinum		dtol_other_priority	yes						DTOL	DTOL		DTOL
Asteraceae	Filago	lutescens		dtol						yes	DTOL			DTOL
Asteraceae	Filago	pyramidata		dtol				yes			DTOL			DTOL
Asteraceae	Galatella	linosyris		dtol						yes	DTOL			DTOL
Asteraceae	Glebionis	segetum		dtol										DTOL
Asteraceae	Gnaphalium	uliginosum		dtol						yes	DTOL			DTOL
Asteraceae	Helminthotheca	echioides		dtol				yes			DTOL			DTOL
Asteraceae	Homogyne	alpina		dtol										DTOL
Asteraceae	Hypochaeris	glabra		dtol										DTOL
Asteraceae	Hypochaeris	maculata		dtol						yes	DTOL			DTOL
Asteraceae	Hypochaeris	radicata		dtol			yes				DTOL			DTOL
Asteraceae	Inula	conyzae		dtol				yes			DTOL			DTOL
Asteraceae	Inula	helenium		dtol										DTOL
Asteraceae	Inula	salicina		dtol										DTOL
Asteraceae	Jacobaea	aquatica		dtol										DTOL
Asteraceae	Jacobaea	erucifolia		dtol						yes	DTOL			DTOL
Asteraceae	Jacobaea	paludosa		dtol										DTOL
Asteraceae	Jacobaea	vulgaris		dtol					yes	yes	DTOL			DTOL
Asteraceae	Lactuca	saligna		dtol_other_priority				yes			DTOL	DTOL		DTOL
Asteraceae	Lactuca	serriola		dtol										DTOL
Asteraceae	Lactuca	virosa		dtol										DTOL
Asteraceae	Lapsana	communis		dtol			yes				DTOL			DTOL
Asteraceae	Leontodon	hispidus		dtol			yes				DTOL			DTOL
Asteraceae	Leontodon	saxatilis		dtol						yes	DTOL			DTOL
Asteraceae	Leucanthemum	vulgare		dtol						yes	DTOL			DTOL
Asteraceae	Limbarda	crithmoides		dtol										DTOL
Asteraceae	Logfia	gallica		dtol										DTOL
Asteraceae	Logfia	minima		dtol						yes	DTOL			DTOL
Asteraceae	Matricaria	chamomilla	Matricaria recutita	dtol						yes	DTOL			DTOL
Asteraceae	Mycelis	muralis		dtol_other_priority	yes						DTOL	DTOL		DTOL
Asteraceae	Omalotheca	norvegica		dtol										DTOL
Asteraceae	Omalotheca	supina		dtol										DTOL
Asteraceae	Omalotheca	sylvatica		dtol										DTOL
Asteraceae	Onopordum	acanthium		dtol										DTOL
Asteraceae	Petasites	albus		dtol					yes		DTOL			DTOL
Asteraceae	Petasites	fragrans		dtol				yes			DTOL			DTOL
Asteraceae	Petasites	hybridus		dtol					yes		DTOL			DTOL
Asteraceae	Petasites	japonicus		dtol					yes		DTOL			DTOL
Asteraceae	Picris	hieracioides		dtol										DTOL
Asteraceae	Pilosella	officinarum		dtol					yes		DTOL			DTOL
Asteraceae	Pilosella	peleteriana		dtol										DTOL
Asteraceae	Pulicaria	dysenterica		dtol_other_priority	yes						DTOL	DTOL		DTOL
Asteraceae	Pulicaria	vulgaris		dtol						yes	DTOL			DTOL
Asteraceae	Saussurea	alpina		dtol										DTOL
Asteraceae	Scorzonera	humilis		dtol						yes	DTOL			DTOL
Asteraceae	Scorzoneroides	autumnalis		dtol			yes				DTOL			DTOL
Asteraceae	Senecio	cambrensis		dtol										DTOL
Asteraceae	Senecio	sylvaticus		dtol						yes	DTOL			DTOL
Asteraceae	Senecio	vulgaris		dtol				yes			DTOL			DTOL
Asteraceae	Serratula	tinctoria		dtol										DTOL
Asteraceae	Silybum	marianum		dtol										DTOL
Asteraceae	Solidago	virgaurea		dtol			yes				DTOL			DTOL
Asteraceae	Sonchus	arvensis		dtol			yes				DTOL			DTOL
Asteraceae	Sonchus	asper		dtol			yes				DTOL			DTOL
Asteraceae	Sonchus	oleraceus		dtol					yes		DTOL			DTOL
Asteraceae	Sonchus	palustris		dtol										DTOL
Asteraceae	Tanacetum	parthenium		dtol						yes	DTOL			DTOL
Asteraceae	Tanacetum	vulgare		dtol_family_representative	yes						DTOL		DTOL	DTOL
Asteraceae	Tephroseris	palustris		dtol										DTOL
Asteraceae	Tragopogon	pratensis	Tragopogon pratensis subsp. minus	dtol						yes	DTOL			DTOL
Asteraceae	Tripleurospermum	inodorum		dtol										DTOL
Asteraceae	Tripleurospermum	maritimum		dtol			yes				DTOL			DTOL
Asteraceae	Tripolium	pannonicum		dtol			yes				DTOL			DTOL
Asteraceae	Tussilago	farfara		dtol				yes			DTOL			DTOL
Balsaminaceae	Impatiens	glandulifera		dtol_family_representative	yes						DTOL		DTOL	DTOL
Balsaminaceae	Impatiens	noli-tangere		dtol_other_priority	yes						DTOL	DTOL		DTOL
Berberidaceae	Berberis	vulgaris		dtol_family_representative			yes				DTOL		DTOL	DTOL
Berberidaceae	Mahonia	aquifolium	Berberis aquifolium	dtol_family_representative				yes			DTOL		DTOL	DTOL
Betulaceae	Alnus	glutinosa		dtol_family_representative	yes						DTOL		DTOL	DTOL
Betulaceae	Alnus	incana		dtol					yes		DTOL			DTOL
Betulaceae	Betula	nana		dtol_family_representative	yes						DTOL		DTOL	DTOL
Betulaceae	Betula	pendula		dtol						yes	DTOL			DTOL
Betulaceae	Betula	pubescens		dtol			yes				DTOL			DTOL
Betulaceae	Carpinus	betulus		dtol				yes			DTOL			DTOL
Betulaceae	Corylus	avellana		dtol				yes			DTOL			DTOL
Boraginaceae	Borago	officinalis		dtol	yes						DTOL			DTOL
Boraginaceae	Buglossoides	arvensis		dtol										DTOL
Boraginaceae	Cynoglossum	germanicum		dtol						yes	DTOL			DTOL
Boraginaceae	Cynoglossum	officinale		dtol										DTOL
Boraginaceae	Echium	plantagineum		dtol										DTOL
Boraginaceae	Echium	vulgare		dtol_family_representative			yes				DTOL		DTOL	DTOL
Boraginaceae	Lithospermum	officinale		dtol										DTOL
Boraginaceae	Mertensia	maritima		dtol										DTOL
Boraginaceae	Myosotis	alpestris		dtol					yes		DTOL			DTOL
Boraginaceae	Myosotis	arvensis		dtol										DTOL
Boraginaceae	Myosotis	discolor		dtol										DTOL
Boraginaceae	Myosotis	laxa		dtol										DTOL
Boraginaceae	Myosotis	ramosissima		dtol					yes		DTOL			DTOL
Boraginaceae	Myosotis	scorpioides		dtol					yes		DTOL			DTOL
Boraginaceae	Myosotis	secunda		dtol										DTOL
Boraginaceae	Myosotis	sicula		dtol										DTOL
Boraginaceae	Myosotis	stolonifera		dtol										DTOL
Boraginaceae	Myosotis	sylvatica		dtol_family_representative			yes	yes			DTOL		DTOL	DTOL
