Dryopteris	affinis	Dryopteridaceae	DTOL			NA	NA
Dryopteris	carthusiana	Dryopteridaceae	DTOL			NA	NA
Dryopteris	cristata	Dryopteridaceae	DTOL			NA	NA
Dryopteris	dilatata	Dryopteridaceae	DTOL			NA	NA
Dryopteris	expansa	Dryopteridaceae	DTOL			NA	NA
Dryopteris	filix-mas	Dryopteridaceae	DTOL			NA	NA
Dryopteris	oreades	Dryopteridaceae	DTOL			NA	NA
Dryopteris	remota	Dryopteridaceae	DTOL			NA	NA
Dryopteris	submontana	Dryopteridaceae	DTOL			NA	NA
Polystichum	aculeatum	Dryopteridaceae	DTOL			NA	NA
Polystichum	lonchitis	Dryopteridaceae	DTOL	DTOL	DTOL	NA	NA
Polystichum	setiferum	Dryopteridaceae	DTOL			NA	NA
Polypodium	cambricum	Polypodiaceae	DTOL	DTOL	DTOL	NA	NA
Polypodium	interjectum	Polypodiaceae	DTOL			NA	NA
Polypodium	vulgare	Polypodiaceae	DTOL	DTOL		NA	NA
Pinus	sylvestris	Pinaceae	DTOL	DTOL	DTOL	NA	NA
Pseudotsuga	menziesii	Pinaceae	DTOL	DTOL	DTOL	NA	NA
Juniperus	communis	Cupressaceae	DTOL	DTOL	DTOL	NA	NA
Taxus	baccata	Taxaceae	DTOL	DTOL	DTOL	NA	NA
Cabomba	caroliniana	Cabombaceae	DTOL	DTOL	DTOL	NA	NA
Nuphar	lutea	Nymphaeaceae	DTOL			NA	NA
Nuphar	pumila	Nymphaeaceae	DTOL	DTOL	DTOL	NA	NA
Nymphaea	alba	Nymphaeaceae	DTOL	DTOL	DTOL	NA	NA
Ceratophyllum	demersum	Ceratophyllaceae	DTOL	DTOL	DTOL	NA	NA
Ceratophyllum	submersum	Ceratophyllaceae	DTOL	DTOL	DTOL	NA	NA
Ceratocapnos	claviculata	Papaveraceae	DTOL			NA	NA
Chelidonium	majus	Papaveraceae	DTOL	DTOL	DTOL	NA	NA
Fumaria	bastardii	Papaveraceae	DTOL			NA	NA
Fumaria	capreolata	Papaveraceae	DTOL			NA	NA
Fumaria	densiflora	Papaveraceae	DTOL			NA	NA
Fumaria	muralis	Papaveraceae	DTOL			NA	NA
Fumaria	occidentalis	Papaveraceae	DTOL			NA	NA
Fumaria	officinalis	Papaveraceae	DTOL	DTOL		NA	NA
Fumaria	parviflora	Papaveraceae	DTOL			NA	NA
Fumaria	purpurea	Papaveraceae	DTOL			NA	NA
Fumaria	vaillantii	Papaveraceae	DTOL			NA	NA
Glaucium	flavum	Papaveraceae	DTOL			NA	NA
Papaver	dubium	Papaveraceae	DTOL	DTOL		NA	NA
Papaver	lecoqii	Papaveraceae	DTOL			NA	NA
Papaver	rhoeas	Papaveraceae	DTOL	DTOL	DTOL	NA	NA
Papaver	somniferum	Papaveraceae	DTOL	DTOL	DTOL	NA	NA
Roemeria	hybrida	Papaveraceae	DTOL			NA	NA
Berberis	vulgaris	Berberidaceae	DTOL	DTOL	DTOL	NA	NA
Actaea	spicata	Ranunculaceae	DTOL	DTOL	DTOL	NA	NA
Adonis	annua	Ranunculaceae	DTOL			NA	NA
Anemone	nemorosa	Ranunculaceae	DTOL			NA	NA
Aquilegia	vulgaris	Ranunculaceae	DTOL			NA	NA
Caltha	palustris	Ranunculaceae	DTOL			NA	NA
Clematis	vitalba	Ranunculaceae	DTOL	DTOL		NA	NA
Ficaria	verna	Ranunculaceae	DTOL			NA	NA
Helleborus	foetidus	Ranunculaceae	DTOL			NA	NA
Helleborus	viridis	Ranunculaceae	DTOL			NA	NA
Myosurus	minimus	Ranunculaceae	DTOL			NA	NA
Ranunculus	acris	Ranunculaceae	DTOL	DTOL	DTOL	NA	NA
Ranunculus	aquatilis	Ranunculaceae	DTOL			NA	NA
Ranunculus	arvensis	Ranunculaceae	DTOL			NA	NA
Ranunculus	auricomus	Ranunculaceae	DTOL			NA	NA
Ranunculus	baudotii	Ranunculaceae	DTOL			NA	NA
Ranunculus	bulbosus	Ranunculaceae	DTOL			NA	NA
Ranunculus	circinatus	Ranunculaceae	DTOL			NA	NA
Ranunculus	flammula	Ranunculaceae	DTOL			NA	NA
Ranunculus	fluitans	Ranunculaceae	DTOL			NA	NA
Ranunculus	hederaceus	Ranunculaceae	DTOL			NA	NA
Ranunculus	lingua	Ranunculaceae	DTOL			NA	NA
Ranunculus	omiophyllus	Ranunculaceae	DTOL			NA	NA
Ranunculus	ophioglossifolius	Ranunculaceae	DTOL			NA	NA
Ranunculus	paludosus	Ranunculaceae	DTOL			NA	NA
Ranunculus	parviflorus	Ranunculaceae	DTOL			NA	NA
Ranunculus	peltatus	Ranunculaceae	DTOL			NA	NA
Ranunculus	penicillatus	Ranunculaceae	DTOL			NA	NA
Ranunculus	repens	Ranunculaceae	DTOL			NA	NA
Ranunculus	reptans	Ranunculaceae	DTOL			NA	NA
Ranunculus	sardous	Ranunculaceae	DTOL			NA	NA
Ranunculus	sceleratus	Ranunculaceae	DTOL			NA	NA
Ranunculus	trichophyllus	Ranunculaceae	DTOL			NA	NA
Ranunculus	tripartitus	Ranunculaceae	DTOL			NA	NA
Thalictrum	alpinum	Ranunculaceae	DTOL			NA	NA
Thalictrum	flavum	Ranunculaceae	DTOL			NA	NA
Thalictrum	minus	Ranunculaceae	DTOL			NA	NA
Trollius	europaeus	Ranunculaceae	DTOL	DTOL		NA	NA
