Family	species	collected	received	PacBio HiFi	ONT	Hi-C	60x PacBio CLR	Bionano	10x chromium (>50x)	ISO-seq	RNA seq data	assembly	TOGA annotation	project	sequencing_status	family_representative
Phyllostomidae	Micronycteris microtis	sample_collected	sample_acquired	in_progress		in_progress				in_progress	in_progress	in_progress	1	BAT1K	in_progress	
Phyllostomidae	Phyllostomus discolor	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress			in_progress	2, annotation updated after 6bats paper	BAT1K	in_progress	
Phyllostomidae	Phyllostomus hastatus	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress	in_progress		in_progress	1	BAT1K	in_progress	BAT1K
Phyllostomidae	Platyrrhinus guianensis	sample_collected	sample_acquired											BAT1K	sample_acquired	
Phyllostomidae	Platyrrhinus helleri	sample_collected	sample_acquired	in_progress		in_progress				in_progress	in_progress	in_progress		BAT1K	in_progress	
Phyllostomidae	Rhinophylla pumilio	sample_collected	sample_acquired	in_progress		in_progress						in_progress		BAT1K	in_progress	
Phyllostomidae	Sturnira parvidens	sample_collected	sample_acquired	in_progress		in_progress				in_progress	in_progress	in_progress		BAT1K	in_progress	
Phyllostomidae	Trachops cirrhosus	sample_collected	sample_acquired	in_progress		in_progress								BAT1K	in_progress	
Phyllostomidae	Trinycteris nicefori	sample_collected	sample_acquired	in_progress		in_progress								BAT1K	in_progress	
Phyllostomidae	Uroderma convexum	sample_collected	sample_acquired	in_progress		in_progress								BAT1K	in_progress	
Phyllostomidae	Gardnerycteris keenani	sample_collected	sample_acquired	in_progress		in_progress								BAT1K	in_progress	
Phyllostomidae	Vampyressa thyone	sample_collected	sample_acquired	in_progress		in_progress								BAT1K	in_progress	
Pteropodidae	Aethalops alecto	sample_collected	sample_acquired	in_progress										BAT1K	in_progress	
Pteropodidae	Cynopterus horsfieldii	sample_collected	sample_acquired											BAT1K	sample_acquired	
Pteropodidae	Epomophorus wahlbergi	sample_collected	sample_acquired											BAT1K	sample_acquired	
Pteropodidae	Rousettus spinalatus	sample_collected	sample_acquired											BAT1K	sample_acquired	
Pteropodidae	Hypsignathus monstrosus	sample_collected	sample_acquired			in_progress	in_progress	in_progress						BAT1K	in_progress	
Pteropodidae	Rousettus aegyptiacus	sample_collected	sample_acquired			in_progress	in_progress	in_progress		in_progress		in_progress	2	BAT1K	in_progress	
Rhinolophidae	Rhinolophus affinis	sample_collected	sample_acquired			in_progress	in_progress			in_progress		in_progress	1	BAT1K	in_progress	
Rhinolophidae	Rhinolophus clivosus	sample_collected	sample_acquired											BAT1K	sample_acquired	
Rhinolophidae	Rhinolophus sinicus	sample_collected	sample_acquired									in_progress	2	BAT1K	in_progress	
Rhinolophidae	Vespertilio murinus	sample_collected	sample_acquired	in_progress		in_progress						in_progress	1	BAT1K	in_progress	
Rhinolophidae	Rhinolophus ferrumequinum	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress	in_progress		in_progress	2	BAT1K	in_progress	BAT1K
Rhinolophidae	Rhinolophus hildebrandtii	sample_collected	sample_acquired											BAT1K	sample_acquired	BAT1K
Rhinolophidae	Rhinolophus hipposideros	sample_collected												BAT1K	sample_collected	
Rhinolophidae	Rhinolophus darlingi	sample_collected	sample_acquired											BAT1K	sample_acquired	
Rhinolophidae	Rhinolophus trifoliatus	sample_collected	sample_acquired	in_progress		in_progress	in_progress					in_progress	1	BAT1K	in_progress	
Rhinonycteridae	Triaenops persicus	sample_collected	sample_acquired	in_progress		in_progress						in_progress		BAT1K	in_progress	
Rhinopomatidae	Rhinopoma microphyllum	sample_collected	sample_acquired	in_progress		in_progress						in_progress	1	BAT1K	in_progress	
Rhinopomatidae	Rhinopoma muscatellum	sample_collected	sample_acquired	in_progress		in_progress						in_progress		BAT1K	in_progress	
Thyropteridae	Thyroptera tricolor	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress			in_progress	1	BAT1K	in_progress	BAT1K
Vespertilionidae	Antrozous pallidus	sample_collected	sample_acquired			in_progress	in_progress	in_progress				in_progress	1	BAT1K	in_progress	
Vespertilionidae	Barbastella barbastellus	sample_collected	sample_acquired											BAT1K	sample_acquired	
Vespertilionidae	Corynorhinus townsendii	sample_collected	sample_acquired											BAT1K	sample_acquired	
Vespertilionidae	Eptesicus chiriquinus	sample_collected	sample_acquired											BAT1K	sample_acquired	
Vespertilionidae	Eptesicus fuscus	sample_collected	sample_acquired			in_progress	in_progress							BAT1K	in_progress	
Vespertilionidae	Eptesicus nilssonii	sample_collected	sample_acquired	in_progress		in_progress					in_progress			BAT1K	in_progress	
Vespertilionidae	Eptesicus furinalis	sample_collected	sample_acquired	in_progress		in_progress					in_progress	in_progress		BAT1K	in_progress	
Vespertilionidae	Ia io	sample_collected	sample_acquired											BAT1K	sample_acquired	
Vespertilionidae	Ia io	sample_collected	sample_acquired											BAT1K	sample_acquired	
Vespertilionidae	Lasiurus ega	sample_collected	sample_acquired	in_progress		in_progress				in_progress	in_progress	in_progress		BAT1K	in_progress	
Vespertilionidae	Myotis daubentonii	sample_collected	sample_acquired	in_progress		in_progress					in_progress			BAT1K	in_progress	
Vespertilionidae	Myotis lucifugus													BAT1K		
Vespertilionidae	Myotis myotis	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress			in_progress	2	BAT1K	in_progress	BAT1K
Vespertilionidae	Myotis nesopolus	sample_collected	sample_acquired											BAT1K	sample_acquired	
Vespertilionidae	Myotis nigricans	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress			in_progress	1	BAT1K	in_progress	
Vespertilionidae	Pipistrellus kuhlii	sample_collected	sample_acquired			in_progress	in_progress	in_progress	in_progress	in_progress	in_progress	in_progress		BAT1K	in_progress	
Vespertilionidae	Pipistrellus nathusii													BAT1K		
Vespertilionidae	Pipistrellus pipistrellus	sample_collected	sample_acquired	in_progress		in_progress						in_progress	1	BAT1K	in_progress	
Vespertilionidae	Pipistrellus pygmaeus	sample_collected	sample_acquired	in_progress		in_progress								BAT1K	in_progress	
Vespertilionidae	Plecotus auritus	sample_collected	sample_acquired	in_progress		in_progress								BAT1K	in_progress	
Vespertilionidae	Plecotus austriacus	sample_collected	sample_acquired											BAT1K	sample_acquired	
Vespertilionidae	Rhogeessa parvula	sample_collected	sample_acquired											BAT1K	sample_acquired	
Vespertilionidae	Nyctalus leisleri	sample_collected	sample_acquired											BAT1K	sample_acquired	
Vespertilionidae	Myotis mystacinus	sample_collected	sample_acquired											BAT1K	sample_acquired	
Vespertilionidae	Laephotis botswanae	sample_collected	sample_acquired											BAT1K	sample_acquired	
