	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	project	data_generation	in_assembly	sample_acquired	family_representative	long_list
125	411755	Leptogenys	diminuta	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
126	1885322	Megaponera	analis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
128	613454	Odontomachus	monticola	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
129	486644	Odontomachus	hastatus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
130	77147	Platythyrea	punctata	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
131	1885326	Pseudoneoponera	rufipes	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
132	609309	Discothyrea	kamiteta	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
135	621600	Proceratium	itoi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
136	600682	Pseudomyrmex	spinicola	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
137	28640	Tetraponera	rufonigra	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
138	611969	Messor	aciculatus	Formicidae	long_list	data_generation		GAGA	GAGA		GAGA		GAGA
139	602287	Aenictus	fuchuanensis	Formicidae	long_list	data_generation		GAGA	GAGA		GAGA		GAGA
2		Stigmatomma	rubiginoum	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
13		Camponotus	fedtschenkoi	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
54		Aphaenogaster	exasperata	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
57		Carebara	altinoda	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
58		Carebara	capreola	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
61		Carebara	lignata	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
62		Carebara	bengalensis	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
63		Carebara	trechideros	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
69		Formicoxenus	nitidulus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
73		Kartidris	nyos	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
87		Myrmica	urbanii	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
93		Pheidole	selathorax	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
108		Tetramorium	atratulus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
123		Leptogenys	binghamii	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
133		Probolomyrmex	longiscapus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
