NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status_illumina	synonym	sequencing_status_pacbio	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_open	published
48711	Orchesella	flavescens	Orchesellidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2581074	Orthonychiurus	folsomi	Onychiuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2041961	Paratullbergia	callipygos	Tullbergiidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
511703	Pogonognathellus	flavescens	Tomoceridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
707266	Pogonognathellus	longicornis	Tomoceridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
301521	Proisotoma	minuta	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187684	Protaphorura	armata	Onychiuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187683	Protaphorura	glebata	Onychiuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187683	Protaphorura	quadriocellata	Onychiuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187683	Protaphorura	tricampata	Onychiuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1302326	Pseudosinella	alba	Entomobryidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
281415	Sminthurides	aquaticus	Sminthurididae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1496267	Sminthurinus	aureus	Katiannidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187699	Sminthurinus	bimaculatus	Katiannidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1190784	Sminthurinus	elegans	Katiannidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2584529	Sminthurinus	signatus	Katiannidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
212016	Sphaeridia	pumilis	Sminthuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2583954	Thalassaphorura	encarpata	Onychiuridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187706	Tomocerus	minor	Tomoceridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
58788	Tomocerus	mixtus	Tomoceridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
