	ORDER	FAMILY	SPECIES	JUSTIFICATION	COPO	NHM	WYTHAM	TOL_SCOTLAND	long_list	family_representative	other_priority	sample_collected
833	Lepidoptera	Lycaenidae	Satyrium pruni	All butterflies	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
835	Asparagales	Lycaenidae	Satyrium w-album	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
837	Lepidoptera	Lycaenidae	Thecla betulae	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
839	Lepidoptera	Lyonetiidae	Lyonetia clerkella		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
841	Lepidoptera	Lypusidae	Amphisbatis incongruella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
843	Lepidoptera	Micropterigidae	Micropterix aruncella	Availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
844	Lepidoptera	Micropterigidae	Micropterix tunbergella	Availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
845	Lepidoptera	Momphidae	Mompha subbistrigella		NOT COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
847	Lepidoptera	Nepticulidae	Stigmella zelleriella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
849	Lepidoptera	Noctuidae	Noctua pronuba	Availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
850	Lepidoptera	Noctuidae	Oligia strigilis	Community survey	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
851	Lepidoptera	Nolidae	Nola cucullatella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
853	Lepidoptera	Notodontidae	Phalera bucephala	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
855	Lepidoptera	Notodontidae	Thaumetopoea processionea		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
857	Lepidoptera	Nymphalidae	Aglais io	All butterflies	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
859	Lepidoptera	Nymphalidae	Aglais urticae	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
861	Lepidoptera	Nymphalidae	Apatura iris	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
863	Lepidoptera	Nymphalidae	Aphantopus hyperantus	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
865	Lepidoptera	Nymphalidae	Argynnis aglaja	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
867	Lepidoptera	Nymphalidae	Boloria euphrosyne	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
869	Lepidoptera	Nymphalidae	Boloria selene	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
871	Lepidoptera	Nymphalidae	Coenonympha pamphilus	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
873	Lepidoptera	Nymphalidae	Coenonympha tullia	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
875	Lepidoptera	Nymphalidae	Erebia aethiops	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
877	Lepidoptera	Nymphalidae	Erebia epiphron	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
879	Lepidoptera	Nymphalidae	Euphydryas aurinia	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
881	Lepidoptera	Nymphalidae	Fabriciana adippe	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
883	Lepidoptera	Nymphalidae	Hipparchia semele	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
885	Lepidoptera	Nymphalidae	Lasiommata megera	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
887	Lepidoptera	Nymphalidae	Limenitis camilla	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
889	Lepidoptera	Nymphalidae	Maniola jurtina	All butterflies	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
891	Lepidoptera	Nymphalidae	Melanargia galathea	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
893	Lepidoptera	Nymphalidae	Melitaea athalia	All butterflies	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
895	Lepidoptera	Nymphalidae	Melitaea cinxia	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
897	Lepidoptera	Nymphalidae	Nymphalis polychloros	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
899	Lepidoptera	Nymphalidae	Pararge aegeria	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
901	Lepidoptera	Nymphalidae	Polygonia c-album	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
903	Lepidoptera	Nymphalidae	Vanessa atalanta	All butterflies	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
905	Lepidoptera	Nymphalidae	Vanessa cardui	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
907	Lepidoptera	Oecophoridae	Hofmannophila pseudospretella		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
909	Lepidoptera	Opostegidae	Opostega salaciella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
911	Lepidoptera	Papilionidae	Papilio machaon		COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
913	Lepidoptera	Parametriotidae	Blastodacna hellerella		NOT COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
915	Lepidoptera	Peleopodidae	Carcina quercana		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
917	Lepidoptera	Pieridae	Anthocharis cardamines	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
919	Lepidoptera	Pieridae	Colias croceus	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
921	Lepidoptera	Pieridae	Gonepteryx rhamni	All butterflies	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
923	Lepidoptera	Pieridae	Leptidea sinapis	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
925	Lepidoptera	Pieridae	Pieris brassicae	All butterflies	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
927	Lepidoptera	Pieridae	Pieris napi	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
929	Lepidoptera	Pieridae	Pieris rapae	All butterflies	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
931	Lepidoptera	Plutellidae	Plutella xylostella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
933	Lepidoptera	Praydidae	Prays fraxinella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
935	Lepidoptera	Prodoxidae	Lampronia corticella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
937	Lepidoptera	Psychidae	Taleporia tubulosa		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
939	Lepidoptera	Pterophoridae	Pterophorus pentadactyla		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
941	Lepidoptera	Pyralidae	Endotricha flammealis		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
943	Lepidoptera	Riodinidae	Hamearis lucina		COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
945	Lepidoptera	Roeslerstammiidae	Roeslerstammia erxlebella		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
947	Lepidoptera	Saturniidae	Saturnia pavonia		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
949	Lepidoptera	Schreckensteiniidae	Schreckensteinia festaliella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
951	Lepidoptera	Scythrididae	Scythris siccella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
953	Lepidoptera	Scythropiidae	Scythropia crataegella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
955	Lepidoptera	Sesiidae	Sesia apiformis		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
957	Lepidoptera	Sphingidae	Hemaris tityus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
959	Lepidoptera	Stathmopodidae	Stathmopoda pedella		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
961	Lepidoptera	Tineidae	Eudarcia richardsoni		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
963	Lepidoptera	Tischeriidae	Tischeria ekebladella	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
965	Lepidoptera	Tortricidae	Tortrix viridana		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
967	Lepidoptera	Yponomeutidae	Yponomeuta evonymella		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
969	Lepidoptera	Ypsolophidae	Ypsolopha parenthesella		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
971	Lepidoptera	Zygaenidae	Zygaena filipendulae		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
973	Mecoptera	Boreidae	Boreus hyemalis		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
975	Mecoptera	Panorpidae	Panorpa germanica		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
977	Megaloptera	Sialidae	Sialis lutaria		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
979	Neuroptera	Chrysopidae	Chrysoperla carnea	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
981	Neuroptera	Coniopterygidae	Conwentzia pineticola		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
983	Neuroptera	Hemerobiidae	Drepanepteryx phalaenoides		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
985	Neuroptera	Myrmeleontidae	Euroleon nostras	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
987	Neuroptera	Osmylidae	Osmylus fulvicephalus		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
989	Neuroptera	Sisyridae	Sisyra nigra		COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
991	Odonata	Aeshnidae	Aeshna cyanea	Community survey	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
993	Odonata	Calopterygidae	Calopteryx splendens	Community survey	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
995	Odonata	Coenagrionidae	Coenagrion mercuriale	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
996	Odonata	Coenagrionidae	Ischnura elegans	Community survey	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
997	Odonata	Cordulegastridae	Cordulegaster boltonii	Monospecific family	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
999	Odonata	Corduliidae	Somatochlora arctica		COLLECTED	NOT COLLECTED	NOT COLLECTED	COLLECTED	DTOL	DTOL		DTOL
1001	Odonata	Gomphidae	Gomphus vulgatissimus	Monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1003	Odonata	Lestidae	Lestes sponsa		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1005	Odonata	Libellulidae	Sympetrum striolatum		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1007	Odonata	Platycnemididae	Platycnemis pennipes		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1009	Orthoptera	Acrididae	Chorthippus brunneus	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1010	Orthoptera	Acrididae	Chorthippus parallelus	Community survey	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1011	Orthoptera	Conocephalidae	Conocephalus fuscus	Dispecific family	NOT COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1012	Orthoptera	Conocephalidae	Conocephalus dorsalis	Dispecific family	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1013	Orthoptera	Gryllidae	Gryllus campestris	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1014	Orthoptera	Gryllidae	Gryllus bimaculatus	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1015	Orthoptera	Gryllotalpidae	Gryllotalpa gryllotalpa	Monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1017	Orthoptera	Tetrigidae	Tetrix undulata	Availability	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1018	Orthoptera	Tetrigidae	Tetrix subulata	Availability	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1019	Orthoptera	Tettigoniidae	Tettigonia viridissima	Community survey	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1020	Orthoptera	Tettigoniidae	Meconema thalassinum	Availability	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1021	Phasmida	Phasmatidae	Clitarchus hookeri	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1022	Phasmida	Phasmatidae	Acanthoxyla prasina	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1023	Psocodea	Echinophthiriidae	Echinophthirius horridus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1025	Psocodea	Haematopinidae	Haematopinus eurysternus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1027	Psocodea	Hoplopleuridae	Hoplopleura sciuricola		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1029	Psocodea	Linognathidae	Linognathus ovillus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1031	Psocodea	Pediculidae	Pediculus humanus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1033	Psocodea	Philopteridae	Quadraceps obliquus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1035	Psocodea	Phthiridae	Pthirus pubis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1037	Psocodea	Polyplacidae	Polyplax spinigera		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1039	Plecoptera	Capniidae	Capnia vidua		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1041	Plecoptera	Chloroperlidae	Chloroperla tripunctata		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1043	Plecoptera	Leuctridae	Leuctra inermis		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1045	Plecoptera	Nemouridae	Nemoura avicularis		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1047	Plecoptera	Perlidae	Perla bipunctata		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1049	Plecoptera	Perlodidae	Isogenus nubecula		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1051	Plecoptera	Taeniopterygidae	Brachyptera putata		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1053	Poduromorpha	Neanuridae	Anurida maritima		COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1055	Psocodea	Amphipsocidae	Kolbia quisquiliarum		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1057	Psocodea	Caeciliusidae	Caecilius fuscopterus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1059	Psocodea	Ectopsocidae	Ectopsocus briggsi		NOT COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1061	Psocodea	Elipsocidae	Elipsocus hyalinus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1063	Psocodea	Epipsocidae	Bertkauia lucifuga		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1065	Psocodea	Lachesillidae	Lachesilla pedicularia		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1067	Psocodea	Lepidopsocidae	Pteroxanium kelloggi		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1069	Psocodea	Liposcelididae	Liposcelis bostrychophila		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1071	Psocodea	Mesopsocidae	Mesopsocus immunis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1073	Psocodea	Pachytroctidae	Tapinella castanea		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1075	Psocodea	Paracaeciliidae	Chilenocaecilius ornatipennis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	COLLECTED	DTOL	DTOL		DTOL
1077	Psocodea	Peripsocidae	Peripsocus phaeopterus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1079	Psocodea	Philotarsidae	Philotarsus parviceps		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	COLLECTED	DTOL	DTOL		DTOL
1081	Psocodea	Psocidae	Metylophorus nebulosus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	COLLECTED	DTOL	DTOL		DTOL
1083	Psocodea	Psoquillidae	Psoquilla marginepunctata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1085	Psocodea	Psyllipsocidae	Psyllipsocus ramburii		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1087	Psocodea	Sphaeropsocidae	Badonnelia titei		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1089	Psocodea	Stenopsocidae	Stenopsocus immaculatus		NOT COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1091	Psocodea	Trichopsocidae	Trichopsocus brincki		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1093	Psocodea	Trogiidae	Cerobasis guestfalica		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1095	Raphidioptera	Raphidiidae	Xanthostigma xanthostigma	Availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1097	Siphonaptera	Ceratophyllidae	Dasypsyllus gallinulae		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1099	Siphonaptera	Ctenophthalmidae	Ctenophthalmus bisoctodentatus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1101	Siphonaptera	Ctenophthalmidae	Palaeopsylla soricis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1103	Siphonaptera	Hystrichopsyllidae	Hystrichopsylla talpae		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1105	Siphonaptera	Ischnopsyllidae	Nycteridopsylla longiceps		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1107	Siphonaptera	Pulicidae	Xenopsylla cheopis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1109	Siphonaptera	Vermipsyllidae	Chaetopsylla trichosa		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1111	Strepsiptera	Elenchidae	Elenchus tenuicornis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1113	Strepsiptera	Halictophagidae	Halictophagus curtisi		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1115	Strepsiptera	Stylopidae	Stylops melittae	Availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1117	Strepsiptera	Xenidae	Pseudoxenos heydeni		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1119	Thysanoptera	Aeolothripidae	Aeolothrips albicinctus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1121	Thysanoptera	Melanthripidae	Melanthrips fuscus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1123	Thysanoptera	Phlaeothripidae	Megathrips lativentris		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1125	Thysanoptera	Thripidae	Limothrips denticornis	Community survey	NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1127	Trichoptera	Apataniidae	Apatania muliebris		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1129	Trichoptera	Beraeidae	Beraea pullata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1131	Trichoptera	Brachycentridae	Brachycentrus subnubilus		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1133	Trichoptera	Ecnomidae	Ecnomus tenellus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1135	Trichoptera	Glossosomatidae	Glossosoma intermedium		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1137	Trichoptera	Goeridae	Silo pallipes		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1139	Trichoptera	Hydropsychidae	Hydropsyche pellucidula		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1141	Trichoptera	Hydroptilidae	Hydroptila sparsa		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1143	Trichoptera	Lepidostomatidae	Lepidostoma hirtum		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1145	Trichoptera	Leptoceridae	Athripsodes cinereus		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1147	Trichoptera	Limnephilidae	Limnephilus affinis		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1149	Trichoptera	Molannidae	Molanna angustata		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1151	Trichoptera	Odontoceridae	Odontocerum albicorne		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1153	Trichoptera	Philopotamidae	Philopotamus montanus		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
1155	Trichoptera	Phryganeidae	Hagenella clathrata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
1157	Trichoptera	Polycentropodidae	Plectrocnemia conspersa		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
