	ORDER	FAMILY	SPECIES	JUSTIFICATION	COPO	NHM	WYTHAM	TOL_SCOTLAND	long_list	family_representative	other_priority	sample_collected
360	Diptera	Opomyzidae	Opomyza germinationis		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
362	Diptera	Pallopteridae	Palloptera muliebris		NOT COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
364	Diptera	Pediciidae	Pedicia rivosa		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
366	Diptera	Periscelididae	Periscelis annulata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
368	Diptera	Phoridae	Megaselia abdita	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
370	Diptera	Piophilidae	Parapiophila vulgaris		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
372	Diptera	Pipunculidae	Dorylomorpha clavifemora		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
374	Diptera	Platypezidae	Platypeza fasciata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
376	Diptera	Platystomatidae	Platystoma seminationis		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
378	Diptera	Polleniidae	Pollenia rudis		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
380	Diptera	Pseudopomyzidae	Pseudopomyza atrimana		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
382	Diptera	Psilidae	Psila fimetaria		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
384	Diptera	Psychodidae	Psychoda phalaenoides		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
386	Diptera	Ptychopteridae	Ptychoptera contaminata		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
388	Diptera	Rhagionidae	Rhagio scolopaceus		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
390	Diptera	Rhiniidae	Stomorhina lunata		COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
